,Datetime,Horse,Type,Location,Price,Midpoint Price,Venue,Midpoint Percentage,SELECTION_NAME,WIN_LOSE,BSP,Turnover
153,08-12-2022,Schnoots,RaceType.HORSE_RACE,AUS,3.1,3.037381329113924,Geraldton,0.979800428746427,Schnoots,0,3.0015169856695465,103.28110801306975
154,08-12-2022,Silverscape,RaceType.HORSE_RACE,USA,4.0,3.8289473684210527,Remington Park,0.9572368421052632,Silverscape,0,3.963142061535181,100.9300180990873
155,08-12-2022,Sir Smitty,RaceType.HORSE_RACE,AUS,6.0,5.665909090909091,Wyong,0.9443181818181818,Sir Smitty,0,5.7,105.26315789473684
156,08-12-2022,Spitfire,RaceType.HORSE_RACE,AUS,2.45,2.38576923076923,Wyong,0.9737833594976449,Spitfire,0,2.54,96.45669291338584
157,08-12-2022,Squillions,RaceType.HORSE_RACE,USA,3.2,3.072,Remington Park,0.96,Squillions,1,3.5341517818963624,90.54506420442807
158,08-12-2022,Tipple Valley,RaceType.GREYHOUND_RACE,AUS,2.9,2.812,Casino,0.9696551724137931,Tipple Valley,0,3.4839335767641746,83.23924483926231
159,08-12-2022,Toffee Street,RaceType.HORSE_RACE,AUS,3.5,3.3963414634146343,Warrnambool,0.9703832752613241,Toffee Street,0,3.276481835405211,106.82189543001527
160,08-12-2022,Wiradjuri Queen,RaceType.GREYHOUND_RACE,AUS,3.7,3.641071428571428,Gunnedah,0.9840733590733588,Wiradjuri Queen,0,4.499819536,82.22551972137578
161,14-12-2022,Ashlee Nitro,RaceType.TROT_RACE,AUS,7.5,7.168627450980392,Redcliffe,0.9558169934640522,Ashlee Nitro,0,5.977184474259011,125.47713781127312
162,14-12-2022,Baby Thor,RaceType.GREYHOUND_RACE,AUS,6.5,6.32,Rockhampton,0.9723076923076923,Baby Thor,0,7.6,85.52631578947368
163,14-12-2022,Call Me Kiah,RaceType.GREYHOUND_RACE,AUS,2.8,2.73,Ballarat,0.9750000000000001,Call Me Kiah,0,2.24,124.99999999999997
164,14-12-2022,Coulter Bale,RaceType.GREYHOUND_RACE,AUS,5.0,4.712646370023419,Traralgon,0.9425292740046839,Coulter Bale,0,4.8,104.16666666666667
165,14-12-2022,Heres Caza,RaceType.GREYHOUND_RACE,AUS,7.5,7.27,Capalaba,0.9693333333333333,Heres Caza,0,5.9538033916955495,125.96989699829706
166,14-12-2022,I Am Pearl,RaceType.HORSE_RACE,AUS,9.0,8.780000000000001,Doomben,0.9755555555555557,I Am Pearl,0,9.0,100.0
167,14-12-2022,Kezzamac,RaceType.TROT_RACE,AUS,4.4,99995.0,Bathurst,22726.13636363636,Kezzamac,0,5.0279974364043305,87.50998893003754
168,14-12-2022,Lady Joker,RaceType.HORSE_RACE,AUS,7.5,7.394495412844037,Launceston,0.9859327217125383,Lady Joker,0,5.8,129.31034482758622
169,14-12-2022,Lazio Lass,RaceType.TROT_RACE,AUS,3.9,3.655,Swan Hill,0.9371794871794872,Lazio Lass,0,4.345507663116443,89.74785692134895
170,14-12-2022,Louie,RaceType.GREYHOUND_RACE,AUS,1.85,1.8411111111111111,The Meadows,0.9951951951951952,Louie,1,1.9278755605361584,95.9605504561456
171,14-12-2022,My Buddy B,RaceType.HORSE_RACE,USA,2.2,2.113913043478261,Mountaineer Park,0.9608695652173913,My Buddy B,0,2.1836253866392505,100.7498819834638
172,14-12-2022,Perfect Tyrant,RaceType.GREYHOUND_RACE,AUS,1.6,1.599955947136564,Capalaba,0.9999724669603525,Perfect Tyrant,1,1.55,103.2258064516129
173,14-12-2022,Rothwell Random,RaceType.GREYHOUND_RACE,AUS,2.25,2.155,Geelong,0.9577777777777777,Rothwell Random,0,2.19177242564765,102.65664325689035
174,14-12-2022,Scenic Eclipse,RaceType.HORSE_RACE,AUS,4.4,4.386111111111111,Belmont,0.9968434343434343,Scenic Eclipse,0,5.027605803815096,87.51680564655945
175,14-12-2022,Shuffle Dancer,RaceType.HORSE_RACE,AUS,8.0,7.754773869346733,Sandown,0.9693467336683417,Shuffle Dancer,1,7.84866251,101.92819464217222
176,14-12-2022,Triumph,RaceType.GREYHOUND_RACE,AUS,1.28,1.26098,Ballarat,0.985140625,Triumph,0,1.2712650522703917,100.68710672994654
177,14-12-2022,Whats Up Honey,RaceType.HORSE_RACE,AUS,10.0,9.795744680851064,Doomben,0.9795744680851064,Whats Up Honey,0,8.161310736721376,122.5293377815593
178,14-12-2022,Yering Rose,RaceType.TROT_RACE,AUS,3.9,3.930357142857143,Swan Hill,1.0077838827838828,Yering Rose,0,3.334038466124693,116.97525507356099
179,15-12-2022,All That Magic,RaceType.HORSE_RACE,USA,2.25,2.231555555555556,Penn National,0.9918024691358026,All That Magic,0,2.228769235,100.9525779819013
180,15-12-2022,Almighty Mack,RaceType.GREYHOUND_RACE,AUS,2.7,2.6100000000000003,Warragul,0.9666666666666667,Almighty Mack,0,2.16,125.0
181,15-12-2022,Apollo One,RaceType.GREYHOUND_RACE,AUS,3.7,3.5928571428571425,Shepparton,0.9710424710424709,Apollo One,0,3.639823354,101.65328479289713
182,15-12-2022,Attahua Ace,RaceType.TROT_RACE,AUS,4.6,4.125742574257425,Tamworth,0.8969005596211795,Attahua Ace,0,4.930164742,93.30317019252254
183,15-12-2022,Ballon Bleu,RaceType.HORSE_RACE,AUS,8.0,8.049056603773584,Hawkesbury,1.006132075471698,Ballon Bleu,0,8.4,95.23809523809523
184,15-12-2022,Bears Estate,RaceType.HORSE_RACE,USA,7.5,7.256,Mountaineer Park,0.9674666666666667,Bears Estate,0,7.77735027,96.43387194389535
185,15-12-2022,Bubbas Bay,RaceType.HORSE_RACE,AUS,3.2,3.1348484848484848,Hawkesbury,0.9796401515151515,Bubbas Bay,1,2.9090225436000217,110.00258513087641
186,15-12-2022,Cash Em In Shannon,RaceType.TROT_RACE,AUS,2.15,2.0696,Tamworth,0.9626046511627907,Cash Em In Shannon,0,2.2602612692839457,95.12174672979835
187,15-12-2022,Centrestone,RaceType.HORSE_RACE,AUS,1.7,1.6852,Ipswich,0.9912941176470589,Centrestone,1,1.6927210542530695,100.43001448635862
188,15-12-2022,Emjay,RaceType.HORSE_RACE,USA,7.5,6.955555555555556,Mountaineer Park,0.9274074074074075,Emjay,0,8.541839844284695,87.80309788901293
