,Way Too Soft,Frankys Dream,Mississippi Blue,Terrific Molly,Diplomatic Man,Influencer,Agent Eleven,Irene
06-01-2023 12:25:31.979088,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:33.141596,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:34.360285,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:35.582039,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:36.774504,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 130.0)","(7.5, 16.5, 10.433333333333334)","(9.0, 24.0, 20.25)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:37.897513,"(7.0, 13.0, 7.311111111111111)","(10.0, 19.0, 18.32857142857143)","(31.0, 230.0, 130.0)","(7.5, 16.5, 10.433333333333334)","(9.0, 24.0, 20.25)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:38.925215,"(7.0, 13.0, 7.311111111111111)","(10.0, 19.0, 18.32857142857143)","(31.0, 230.0, 130.0)","(7.5, 16.5, 10.433333333333334)","(9.0, 24.0, 20.25)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:40.120698,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:41.350601,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:42.633536,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:43.901391,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:45.075293,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:46.214161,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
