,Zipping Noelle,One For Luck,Cruzin Ace,Witch Earner,War Hammer,Sankey,Lend The Moose,Poppy Bluey
11-01-2023 12:40:49.984359,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:51.439882,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:52.703053,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:53.901227,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:55.130092,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 20.5)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:56.353247,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:57.582023,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:40:58.809465,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:00.053990,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:01.198307,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:02.339796,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:03.555287,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:04.781268,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:05.960299,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:07.074288,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:08.181277,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:09.371150,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:10.523112,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:11.598888,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:12.621841,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:13.678928,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:14.793994,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:15.931347,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:17.049037,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 22.307692307692307)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:18.184914,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:19.355707,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:20.512667,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:21.641415,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:22.707068,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:23.792984,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:24.979670,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:26.244173,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:27.392052,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:28.579771,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:29.646957,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:30.735579,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:31.873434,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:33.025968,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:34.204417,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:35.346270,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:36.440606,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:37.526995,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:38.645007,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 17.8125)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:39.800304,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 270.7692307692308)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:40.969872,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 270.7692307692308)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:42.111124,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 270.7692307692308)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:43.242521,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 270.7692307692308)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:44.355307,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 270.7692307692308)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:45.460480,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 10.440000000000001)","(10.0, 30.0, 21.875)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:46.671962,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:47.837980,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:48.962441,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:50.024539,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:51.070423,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:52.201389,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:53.414367,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:54.536966,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:55.629919,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:56.764711,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:57.836589,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:41:58.923264,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:00.086859,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:01.155892,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:02.220743,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:03.292992,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:04.483442,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:05.582756,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:06.666957,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:07.792822,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:08.965871,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:10.101940,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:11.235975,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:12.425067,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:13.585751,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:14.708425,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 18.4375)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
11-01-2023 12:42:15.841379,"(5.0, 10.0, 5.95)","(6.5, 12.5, 7.5125)","(4.4, 6.4, 6.370068027210885)","(3.9, 4.9, 4.893788819875777)","(7.5, 13.5, 11.8)","(10.0, 30.0, 21.0)","(51.0, 410.0, 229.0)","(4.0, 7.0, 5.720000000000001)"
