,Phantom Divine,Mister Hemsworth,Bucks Party,Sir Tom,Competition,Rabairneach,Ranhita,Highland Cathedral,Stella Simone,Luisana,Golden Honour,Dhyani,Diaco
07-01-2023 15:07:01.248450,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:02.587925,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:03.946820,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:05.298640,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:06.588121,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:08.261311,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:09.642206,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:11.022558,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:12.450453,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:07:13.816949,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.75)","(7.5, 17.5, 10.728571428571428)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
