,Free To Move,Beaufort Park,Blesk,Comanche Brave,Saucey Horsey,Kiss Me If You Can,Lovin Laughs,Lafargue,Standoff,Ceasar,Marketing,Worsfold
07-12-2022 18:19:57.716258,"(18.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(21.0, 34.0, 31.367088607594937)","(19.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(20.0, 38.0, 35.888888888888886)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.266666666666666)","(3.6, 4.0, 3.972824074074074)","(51.0, 55.0, 51.36363636363637)","(4.4, 4.8, 4.73781512605042)"
07-12-2022 18:19:59.176981,"(19.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(26.0, 34.0, 31.367088607594937)","(20.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 50.859375)","(21.0, 36.0, 35.888888888888886)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.266666666666666)","(3.7, 4.0, 3.996774193548387)","(51.0, 55.0, 46.69230769230769)","(4.4, 4.8, 4.755688622754491)"
07-12-2022 18:20:00.760184,"(19.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(26.0, 34.0, 32.0377358490566)","(20.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.9)","(31.0, 55.0, 51.10294117647059)","(21.0, 36.0, 35.142857142857146)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.266666666666666)","(3.7, 4.0, 3.9965384615384614)","(51.0, 55.0, 46.69230769230769)","(4.4, 4.8, 4.778205128205128)"
07-12-2022 18:20:02.270329,"(19.0, 99999, 99990)","(9.0, 11.5, 11.320512820512821)","(26.0, 32.0, 30.58823529411765)","(20.0, 32.0, 30.434782608695652)","(5.5, 7.0, 6.892307692307692)","(31.0, 55.0, 51.10294117647059)","(21.0, 36.0, 35.142857142857146)","(7.5, 9.2, 9.166666666666666)","(26.0, 38.0, 37.266666666666666)","(3.7, 4.0, 3.9980561555075593)","(51.0, 55.0, 49.31578947368421)","(4.4, 4.8, 4.781818181818181)"
07-12-2022 18:20:03.774006,"(20.0, 99999, 99990)","(10.0, 11.5, 11.320512820512821)","(26.0, 32.0, 30.966666666666665)","(20.0, 32.0, 30.37037037037037)","(5.5, 7.0, 6.890566037735849)","(31.0, 55.0, 51.10294117647059)","(21.0, 36.0, 35.47826086956522)","(7.5, 9.2, 9.074074074074074)","(26.0, 38.0, 37.41379310344828)","(3.7, 4.0, 3.999229074889868)","(51.0, 55.0, 48.53846153846154)","(4.4, 4.8, 4.78087431693989)"
07-12-2022 18:20:05.294030,"(20.0, 99999, 99990)","(10.0, 11.5, 11.320512820512821)","(26.0, 32.0, 30.866666666666667)","(20.0, 32.0, 30.322580645161292)","(5.5, 7.0, 6.895495495495496)","(31.0, 55.0, 51.10294117647059)","(21.0, 36.0, 35.47826086956522)","(7.5, 9.4, 9.096551724137932)","(26.0, 38.0, 37.41379310344828)","(3.7, 4.0, 3.9798397863818424)","(51.0, 55.0, 48.53846153846154)","(4.4, 4.8, 4.78087431693989)"
07-12-2022 18:20:06.874331,"(20.0, 99999, 99990)","(10.0, 11.5, 11.482758620689655)","(26.0, 32.0, 30.866666666666667)","(20.0, 32.0, 30.322580645161292)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.30769230769231)","(7.5, 9.4, 9.091803278688525)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.979973474801061)","(51.0, 55.0, 48.5)","(4.4, 4.8, 4.829460580912864)"
07-12-2022 18:20:08.404678,"(20.0, 99999, 99990)","(10.0, 11.5, 11.48360655737705)","(26.0, 30.0, 30.72222222222222)","(20.0, 32.0, 30.27777777777778)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.30769230769231)","(7.5, 9.4, 9.091803278688525)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.9831710709318497)","(51.0, 55.0, 48.5)","(4.4, 4.9, 4.836244541484716)"
07-12-2022 18:20:09.785410,"(20.0, 99999, 99990)","(10.0, 11.5, 11.48360655737705)","(26.0, 32.0, 30.72222222222222)","(20.0, 32.0, 30.27777777777778)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.30769230769231)","(7.5, 9.4, 9.027118644067796)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.9831710709318497)","(51.0, 55.0, 51.208333333333336)","(4.4, 4.9, 4.922535211267606)"
07-12-2022 18:20:11.463469,"(20.0, 99999, 99990)","(10.0, 11.5, 11.345070422535212)","(26.0, 32.0, 30.72222222222222)","(20.0, 32.0, 29.73170731707317)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.30769230769231)","(7.5, 9.4, 9.211965811965813)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983124128312413)","(51.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.922535211267606)"
07-12-2022 18:20:12.925854,"(20.0, 99999, 99990)","(10.0, 11.5, 11.345070422535212)","(26.0, 32.0, 30.634146341463413)","(20.0, 32.0, 30.363636363636363)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.416666666666664)","(7.5, 9.4, 9.211965811965813)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983124128312413)","(51.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.922535211267606)"
07-12-2022 18:20:14.502845,"(20.0, 99999, 99990)","(10.0, 11.5, 11.415384615384616)","(26.0, 32.0, 30.634146341463413)","(20.0, 32.0, 30.363636363636363)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.416666666666664)","(7.5, 9.4, 9.211965811965813)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983124128312413)","(51.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.922535211267606)"
07-12-2022 18:20:15.995123,"(20.0, 99999, 99990)","(10.0, 11.5, 11.415384615384616)","(26.0, 32.0, 30.634146341463413)","(20.0, 32.0, 30.956521739130434)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.416666666666664)","(7.5, 9.4, 9.211965811965813)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.941798941798941)"
07-12-2022 18:20:17.404527,"(20.0, 99999, 99990)","(10.0, 11.5, 11.415384615384616)","(26.0, 32.0, 30.634146341463413)","(20.0, 32.0, 31.333333333333332)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.416666666666664)","(7.5, 9.4, 9.139393939393939)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 54.357142857142854)","(4.4, 5.0, 4.940217391304348)"
07-12-2022 18:20:18.775778,"(20.0, 99999, 99990)","(10.0, 11.5, 11.415384615384616)","(26.0, 32.0, 30.59090909090909)","(20.0, 32.0, 31.333333333333332)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.416666666666664)","(7.5, 9.2, 9.139393939393939)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 54.53333333333333)","(4.4, 5.0, 4.951965065502184)"
07-12-2022 18:20:20.226798,"(20.0, 99999, 99990)","(10.0, 11.5, 11.457627118644067)","(26.0, 32.0, 30.41025641025641)","(20.0, 32.0, 31.333333333333332)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.125)","(7.5, 9.2, 9.127777777777776)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 54.53333333333333)","(4.4, 5.0, 4.946218487394958)"
07-12-2022 18:20:21.643131,"(20.0, 99999, 99990)","(10.0, 11.5, 11.457627118644067)","(26.0, 32.0, 30.875)","(20.0, 32.0, 31.571428571428573)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.125)","(7.5, 9.2, 9.127777777777776)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 53.25)","(4.4, 5.0, 4.946218487394958)"
07-12-2022 18:20:23.109827,"(20.0, 99999, 99990)","(10.0, 11.5, 11.457627118644067)","(26.0, 32.0, 30.875)","(20.0, 32.0, 31.571428571428573)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.125)","(7.5, 9.2, 9.2625)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.982917532917533)","(51.0, 55.0, 53.25)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:24.540946,"(20.0, 99999, 99990)","(10.0, 11.5, 11.457627118644067)","(26.0, 32.0, 30.875)","(20.0, 32.0, 31.571428571428573)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.125)","(7.5, 9.4, 9.28)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:26.317608,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 30.875)","(20.0, 32.0, 31.571428571428573)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(21.0, 36.0, 35.125)","(7.5, 9.4, 9.28)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:28.012789,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 30.875)","(20.0, 32.0, 31.1)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.125)","(7.5, 9.4, 9.28)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:29.504284,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 30.17391304347826)","(20.0, 32.0, 31.375)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.125)","(7.5, 9.4, 9.28)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:30.899741,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 30.17391304347826)","(20.0, 32.0, 31.444444444444443)","(5.5, 7.0, 6.894202898550724)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.125)","(7.5, 9.4, 9.277551020408163)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.943362831858407)"
07-12-2022 18:20:32.379691,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 29.9)","(20.0, 32.0, 31.076923076923077)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.125)","(7.5, 9.4, 9.277551020408163)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.608695652173914)","(4.4, 5.0, 4.942081447963801)"
07-12-2022 18:20:33.928096,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 29.9)","(20.0, 32.0, 31.076923076923077)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.333333333333336)","(7.5, 9.4, 9.277551020408163)","(26.0, 38.0, 37.34426229508197)","(3.7, 4.0, 3.983378287255563)","(51.0, 55.0, 52.96296296296296)","(4.4, 5.0, 4.942081447963801)"
07-12-2022 18:20:35.383874,"(20.0, 99999, 99990)","(10.0, 11.5, 11.461538461538462)","(26.0, 32.0, 29.9)","(20.0, 32.0, 31.076923076923077)","(5.5, 7.0, 6.90077519379845)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.702127659574465)","(7.5, 9.4, 9.276923076923078)","(26.0, 38.0, 37.51807228915663)","(3.7, 4.0, 3.9850967351874247)","(51.0, 55.0, 52.96296296296296)","(4.4, 5.0, 4.862946428571429)"
07-12-2022 18:20:36.954381,"(20.0, 99999, 99990)","(10.0, 11.5, 11.386138613861386)","(26.0, 29.0, 28.59090909090909)","(20.0, 34.0, 33.46666666666667)","(5.5, 7.0, 6.830909090909091)","(31.0, 55.0, 50.8955223880597)","(26.0, 36.0, 35.65853658536585)","(7.5, 9.4, 9.276923076923078)","(26.0, 38.0, 37.53488372093023)","(3.7, 4.0, 3.9850967351874247)","(51.0, 55.0, 52.96296296296296)","(4.4, 4.9, 4.935064935064935)"
07-12-2022 18:20:38.446934,"(20.0, 99999, 99990)","(10.0, 11.5, 11.386138613861386)","(26.0, 29.0, 28.59090909090909)","(20.0, 34.0, 33.46666666666667)","(5.5, 7.0, 6.8546875)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.4, 9.276923076923078)","(26.0, 38.0, 37.53488372093023)","(3.7, 4.0, 3.8973002159827215)","(51.0, 55.0, 52.96296296296296)","(4.4, 5.0, 4.9623188405797105)"
07-12-2022 18:20:40.141139,"(20.0, 99999, 99990)","(10.0, 11.5, 11.49367088607595)","(26.0, 29.0, 28.464285714285715)","(20.0, 34.0, 33.833333333333336)","(5.5, 7.0, 6.8546875)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.4, 9.1)","(26.0, 38.0, 37.46666666666667)","(3.7, 3.9, 3.8502212389380532)","(51.0, 55.0, 52.96296296296296)","(4.4, 5.0, 5.074285714285714)"
07-12-2022 18:20:41.909767,"(20.0, 99999, 99990)","(10.0, 11.5, 11.493589743589743)","(26.0, 29.0, 28.333333333333332)","(20.0, 34.0, 33.84615384615385)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.07142857142857)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.2, 9.16)","(26.0, 38.0, 37.53488372093023)","(3.7, 3.9, 3.8502212389380532)","(51.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.060176991150443)"
07-12-2022 18:20:43.574772,"(20.0, 99999, 99990)","(10.0, 11.0, 10.940140845070422)","(26.0, 29.0, 28.333333333333332)","(20.0, 34.0, 33.84615384615385)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.4, 9.341666666666667)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8502212389380532)","(51.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.060176991150443)"
07-12-2022 18:20:45.102807,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943521594684386)","(21.0, 29.0, 28.384615384615383)","(20.0, 34.0, 33.84615384615385)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.57692307692308)","(7.5, 9.4, 9.341666666666667)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8502212389380532)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.060176991150443)"
07-12-2022 18:20:46.679706,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943521594684386)","(21.0, 29.0, 28.384615384615383)","(20.0, 34.0, 33.84615384615385)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.4, 9.33469387755102)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8502212389380532)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.060176991150443)"
07-12-2022 18:20:48.209381,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943708609271523)","(21.0, 29.0, 28.3125)","(20.0, 34.0, 33.84615384615385)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.55102040816327)","(7.5, 9.4, 9.33469387755102)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8502212389380532)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.060176991150443)"
07-12-2022 18:20:49.888679,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943708609271523)","(21.0, 29.0, 29.195652173913043)","(20.0, 34.0, 36.44444444444444)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.33469387755102)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8513888888888888)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.060176991150443)"
07-12-2022 18:20:51.335777,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943708609271523)","(21.0, 30.0, 29.176470588235293)","(20.0, 38.0, 35.87096774193549)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.33469387755102)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8805555555555555)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.053703703703704)"
07-12-2022 18:20:52.976734,"(20.0, 99999, 99990)","(10.0, 11.0, 10.943708609271523)","(21.0, 30.0, 29.176470588235293)","(20.0, 38.0, 35.87096774193549)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.382513661202186)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.9, 3.8921524663677127)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.2, 5.06551724137931)"
07-12-2022 18:20:54.630680,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 30.0, 29.176470588235293)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.879699248120301)","(31.0, 55.0, 51.18055555555556)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.95, 3.9454802259887005)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.06551724137931)"
07-12-2022 18:20:56.371816,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.615384615384617)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.835051546391752)","(31.0, 55.0, 51.12676056338028)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 3.95, 3.9551839464882943)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.06551724137931)"
07-12-2022 18:20:58.284153,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.5)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.835051546391752)","(31.0, 55.0, 51.12676056338028)","(26.0, 36.0, 35.80952380952381)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 4.0, 3.957093425605536)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.06551724137931)"
07-12-2022 18:20:59.802948,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.5)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.809523809523809)","(31.0, 55.0, 51.12676056338028)","(26.0, 36.0, 35.78378378378378)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 4.0, 3.9295454545454547)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.06551724137931)"
07-12-2022 18:21:01.481600,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.5)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.809090909090909)","(31.0, 55.0, 51.05263157894737)","(26.0, 36.0, 35.78378378378378)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 4.0, 3.9295454545454547)","(41.0, 55.0, 54.565217391304344)","(4.4, 5.1, 5.06551724137931)"
07-12-2022 18:21:03.168161,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.5)","(20.0, 38.0, 36.166666666666664)","(5.5, 7.0, 6.809090909090909)","(31.0, 55.0, 51.05263157894737)","(26.0, 36.0, 35.81395348837209)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.473684210526315)","(3.7, 4.0, 3.9297142857142857)","(41.0, 55.0, 52.666666666666664)","(4.4, 5.1, 5.058333333333334)"
07-12-2022 18:21:04.699517,"(20.0, 99999, 99990)","(10.0, 11.0, 10.939068100358423)","(21.0, 29.0, 28.322033898305087)","(20.0, 38.0, 36.35294117647059)","(5.5, 7.0, 6.808247422680412)","(31.0, 55.0, 50.833333333333336)","(26.0, 36.0, 35.75)","(7.5, 9.4, 9.33053892215569)","(26.0, 38.0, 37.166666666666664)","(3.7, 4.0, 3.9422535211267604)","(41.0, 55.0, 52.666666666666664)","(4.4, 5.1, 4.982105263157894)"
