,Florey Bale,Ivanka Tea,Ten Dollar Slaps,Who Told Mel,Lifes Gal,Our Girls Shout,Dynamo Dash,Zipping Tula
06-01-2023 16:44:41.234367,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:42.694743,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:43.971862,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:45.380974,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 14.2)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:46.625731,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 17.15)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:47.758143,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 17.15)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:48.884567,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:50.033161,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:51.285766,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:52.526907,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:53.775896,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:54.934069,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:55.962215,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:57.218005,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:58.334763,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:44:59.499183,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:00.742931,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 18.066666666666666)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:01.866589,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.575)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:02.893656,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.575)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:03.964721,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 18.575)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:05.174283,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:06.364337,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:07.553291,"(2.0, 2.28, 2.077777777777778)","(10.0, 50.0, 22.3625)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 67.5)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:08.680249,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 15.585714285714285)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:09.799352,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.163636363636364)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.545454545454547)"
06-01-2023 16:45:10.986592,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.163636363636364)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:12.122813,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:13.295339,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:14.392319,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:15.515975,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:16.701842,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:17.741974,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:18.797660,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:19.933873,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:21.052602,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:22.183313,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:23.276291,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 25.433333333333334)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:24.331705,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:25.362857,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 16.576923076923077)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:26.469825,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:27.562744,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 17.0)"
06-01-2023 16:45:28.618727,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:29.739406,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:30.914726,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:32.009705,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:33.008166,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:34.042174,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:35.169905,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:36.314116,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:37.427083,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:38.478808,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:39.571019,"(2.0, 2.24, 2.068888888888889)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:40.623161,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:41.700806,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.225)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:42.752417,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:43.784558,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:44.896618,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:46.001387,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:47.094902,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:48.179046,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:49.286610,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:50.449651,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:51.571405,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:52.593532,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:53.605082,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:54.686817,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:55.892659,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:57.079025,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:58.244605,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:45:59.401576,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:00.544379,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:01.647886,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:02.665028,"(2.0, 2.22, 2.045)","(10.0, 50.0, 18.414285714285715)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:03.775407,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:04.925702,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:06.066568,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
06-01-2023 16:46:07.154252,"(2.0, 2.22, 2.045)","(10.0, 50.0, 22.5)","(4.8, 7.8, 6.3)","(10.0, 19.5, 18.37777777777778)","(10.0, 26.0, 17.9)","(21.0, 110.0, 56.875)","(8.0, 20.0, 17.72)","(8.0, 22.0, 16.5)"
