,Under Study,Jackey Moon,Ambrose Bale,Yasmin Belle,Mepunga Web,Georges Fancy,Catch Me Nero,Ravers Army
09-01-2023 17:15:15.811477,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 240.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:17.301954,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:18.813264,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:20.166042,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:21.558192,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:22.997911,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:24.390286,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:25.712562,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:27.134344,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:28.525376,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:29.844158,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:31.207471,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:32.460098,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:33.764755,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:35.027188,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:36.314933,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:37.597944,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 103.77777777777777)","(41.0, 220.0, 116.0)","(8.0, 16.0, 8.727272727272727)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:38.969669,"(16.0, 44.0, 28.72222222222222)","(51.0, 550.0, 131.66666666666669)","(41.0, 220.0, 149.16666666666669)","(8.0, 16.0, 9.0)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:40.398269,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 230.0, 149.16666666666669)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:41.791434,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 230.0, 149.16666666666669)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:43.115867,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 230.0, 149.16666666666669)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:44.471084,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 230.0, 149.16666666666669)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:45.838366,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 230.0, 149.16666666666669)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:47.274024,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:48.625115,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:49.895341,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:51.207625,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:52.461676,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:53.759445,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:55.190470,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:56.574134,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:57.870705,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:15:59.230536,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 6.0)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:16:00.574902,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.636)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:16:01.942879,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.636)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:16:03.308023,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.636)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:16:04.613189,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.636)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:16:06.047737,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.636)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:17:29.754724,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 16.0, 10.781818181818181)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.117857142857143)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:17:31.062449,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 15.0, 12.82857142857143)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.117857142857143)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:17:32.352840,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 15.0, 12.82857142857143)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.117857142857143)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:17:33.639401,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 15.0, 12.82857142857143)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.117857142857143)","(2.3, 2.84, 2.6266666666666665)"
09-01-2023 17:17:34.957475,"(16.0, 44.0, 26.8125)","(51.0, 550.0, 131.66666666666669)","(41.0, 270.0, 102.85714285714286)","(8.0, 15.0, 12.82857142857143)","(4.2, 7.6, 4.706666666666667)","(5.0, 8.0, 4.977777777777778)","(4.8, 8.6, 5.117857142857143)","(2.3, 2.84, 2.6266666666666665)"
