,Jessore,Under Study,Velocity Zaylia,On The Tequila,Cyclone Jane,Jax Bale
04-01-2023 14:03:00.511438,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:01.669466,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:02.836559,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:03.951404,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:04.936522,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:05.939219,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:07.001242,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:08.075279,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:09.133193,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:10.179155,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:11.223514,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:12.214787,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:13.262339,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:14.410607,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:15.632320,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:16.767300,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:17.792364,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:18.826979,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:19.928405,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:20.979539,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:22.101069,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:23.133225,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:24.218260,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:25.297272,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:26.429247,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:27.610831,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:28.773401,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:29.809984,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:30.868899,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:32.023112,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:33.175702,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:34.352263,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:35.434716,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:36.558684,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:37.684003,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 30.5)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:38.952904,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:40.164687,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:41.327573,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:42.425047,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:43.574602,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:44.749392,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:45.944127,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:47.111939,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:48.247404,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:49.348349,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:50.436576,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:51.598006,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:52.783280,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:53.910991,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:54.947938,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:56.062403,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:57.186557,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:58.313385,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:03:59.464731,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:00.649585,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:01.747754,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:03.042480,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:04.403217,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:05.555101,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:06.686123,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:07.813599,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:08.931834,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:10.045987,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:11.116877,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:12.315589,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:13.515573,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:14.690271,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:15.803764,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:16.917584,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:18.099141,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:19.304911,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:20.491585,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:21.590788,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:22.655144,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:23.836963,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:25.185931,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:26.436953,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:27.604672,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:29.289163,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:30.564234,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:32.204266,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:33.358293,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:34.491182,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:35.642897,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:36.784578,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 23.81818181818182)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 14.2)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:37.952681,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 26.9375)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:39.125341,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:40.266779,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:41.390115,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:42.484413,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:43.633447,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:44.725576,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:45.895975,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:47.066301,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:48.210652,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
04-01-2023 14:04:49.348003,"(2.45, 4.1, 2.61875)","(15.0, 46.0, 34.07692307692308)","(5.0, 9.0, 7.728888888888889)","(3.8, 5.6, 5.201388888888888)","(8.5, 20.0, 17.05)","(4.2, 6.6, 6.228571428571428)"
