,Whiskey Chaser,Call Me Jim,Deadly Ambition,Jills A Star,Kelseys Girl,Blue Scotch Boy,Brooklyn Star,Smug Doug
04-01-2023 13:36:25.569810,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.555555555555555)","(2.5, 3.7, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:26.854219,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.555555555555555)","(2.5, 3.7, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:28.096475,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.625)","(2.5, 3.7, 3.22)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:29.281108,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.625)","(2.5, 3.7, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:30.415930,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.5)","(2.5, 3.65, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:31.670531,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.75)","(2.5, 3.65, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:32.925035,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 72.8)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.333333333333332)","(2.5, 3.65, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:34.140823,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 54.66666666666667)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.75)","(2.5, 3.65, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:35.299275,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 54.66666666666667)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 11.230769230769232)","(2.5, 3.65, 2.93125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:36.495183,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 54.66666666666667)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.333333333333332)","(2.5, 3.65, 2.610526315789474)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:37.680542,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 54.66666666666667)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 11.230769230769232)","(2.5, 3.9, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:38.871737,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 11.538461538461538)","(2.5, 3.6, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:40.003898,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 11.538461538461538)","(2.5, 3.6, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:41.118841,"(3.1, 4.7, 3.95)","(21.0, 80.0, 37.81818181818181)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 11.538461538461538)","(2.5, 3.6, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:42.332553,"(3.1, 4.7, 3.95)","(21.0, 80.0, 46.85714285714286)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 15.473684210526315)","(2.5, 3.6, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:43.624224,"(3.1, 4.7, 3.95)","(21.0, 80.0, 46.85714285714286)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 14.0)","(2.5, 3.6, 2.9125)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:44.833594,"(3.1, 4.7, 3.95)","(21.0, 80.0, 46.85714285714286)","(26.0, 260.0, 53.77777777777778)","(18.0, 44.0, 23.636363636363637)","(5.5, 24.0, 13.600000000000001)","(2.5, 3.6, 2.610526315789474)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 15.5625)"
04-01-2023 13:36:46.097747,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.600000000000001)","(2.5, 3.9, 2.89375)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:47.313050,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.153846153846153)","(2.5, 3.55, 2.89375)","(5.0, 8.4, 5.872222222222223)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:48.544362,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 11.846153846153847)","(2.5, 3.55, 2.89375)","(5.0, 8.4, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:49.799310,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 13.600000000000001)","(2.5, 3.55, 2.89375)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:51.059396,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.153846153846153)","(2.5, 3.55, 2.89375)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:52.276757,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 14.0)","(2.5, 3.55, 2.89375)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:53.481077,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.153846153846153)","(2.5, 3.55, 2.610526315789474)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:54.607322,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.153846153846153)","(2.5, 3.9, 2.875)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
04-01-2023 13:36:55.735856,"(3.1, 4.7, 3.95)","(21.0, 80.0, 42.5)","(26.0, 260.0, 66.66666666666666)","(18.0, 44.0, 29.75)","(5.5, 24.0, 12.307692307692308)","(2.5, 3.5, 2.875)","(5.0, 8.2, 7.6499999999999995)","(10.0, 24.0, 20.5)"
