,Aston Charlie,Chilli On Ice,Fizzy Crest,Gable,Woodside Gracie,Stella Star
04-01-2023 10:09:30.700348,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:31.557554,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:32.389381,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:33.212375,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 5.75)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:34.099901,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:34.944069,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:35.780341,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:36.636310,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:37.500959,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:38.353552,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
