,Bello Beau,Russian Roni,Royal And Tough,Happy Clan,Sharmas Last,Cornelian Bay,Froland,Geegees Gemstone,Jaguar Stone
06-01-2023 16:04:23.624416,"(1.95, 2.22, 2.1430000000000002)","(2.35, 2.92, 2.910804597701149)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:24.847177,"(1.95, 2.22, 2.1430000000000002)","(2.35, 2.92, 2.910804597701149)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:26.187488,"(1.95, 2.22, 2.1430000000000002)","(2.35, 2.92, 2.8200000000000003)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:27.454977,"(1.95, 2.22, 2.1430000000000002)","(2.35, 2.92, 2.8200000000000003)","(10.0, 24.0, 17.333333333333332)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:28.725671,"(1.95, 2.22, 2.186153846153846)","(2.35, 2.92, 2.8200000000000003)","(10.0, 24.0, 18.285714285714285)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:29.994775,"(1.95, 2.22, 2.186153846153846)","(2.35, 2.92, 2.84)","(10.0, 24.0, 18.57142857142857)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:31.201607,"(1.95, 2.22, 2.1843243243243244)","(2.35, 2.9, 2.8025)","(10.0, 24.0, 18.57142857142857)","(91.0, 140.0, 122.85714285714286)","(20.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:32.354340,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.9, 2.5307692307692307)","(11.0, 24.0, 18.57142857142857)","(91.0, 140.0, 122.85714285714286)","(19.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:33.564814,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.9, 2.5307692307692307)","(11.0, 24.0, 19.5)","(91.0, 140.0, 122.85714285714286)","(19.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:34.828953,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.9, 2.5307692307692307)","(11.0, 24.0, 19.5)","(91.0, 140.0, 122.85714285714286)","(19.0, 48.0, 32.61904761904762)","(91.0, 220.0, 193.0)","(101.0, 630.0, 505.0)","(101.0, 190.0, 171.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:36.072195,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.5633333333333335)","(11.0, 24.0, 19.5)","(91.0, 140.0, 122.85714285714286)","(19.0, 48.0, 33.0)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:37.370987,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.58)","(11.0, 24.0, 21.0)","(91.0, 140.0, 130.0)","(19.0, 40.0, 33.0)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:38.649034,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.58)","(11.0, 24.0, 21.0)","(91.0, 140.0, 130.0)","(19.0, 40.0, 33.0)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:40.000312,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.58)","(11.0, 24.0, 21.0)","(91.0, 140.0, 130.0)","(19.0, 40.0, 31.444444444444443)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:41.268871,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 19.75)","(91.0, 140.0, 130.0)","(19.0, 40.0, 31.444444444444443)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:42.541645,"(1.9, 2.22, 2.1843243243243244)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 120.0)","(19.0, 40.0, 31.444444444444443)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:43.794934,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 120.0)","(19.0, 40.0, 31.444444444444443)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:45.010912,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 40.0, 33.5)","(91.0, 220.0, 184.28571428571428)","(101.0, 630.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:46.246244,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:47.502691,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:48.749608,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:50.065885,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:51.317245,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:52.577547,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.8184615384615386)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:53.779196,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.705)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:55.088964,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.705)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:56.291501,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.705)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:57.499588,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.772307692307692)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:04:58.771331,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.772307692307692)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:00.008933,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.772307692307692)","(11.0, 24.0, 20.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:01.339824,"(1.9, 2.22, 2.176)","(2.3, 2.88, 2.704)","(11.0, 24.0, 18.07142857142857)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:02.653803,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 23.0, 18.07142857142857)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:04.037758,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:05.349374,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:06.723122,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:07.937370,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:09.115177,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:10.244316,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:11.360503,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:12.477294,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.666666666666668)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:13.646796,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:14.826407,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:16.021401,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:17.333378,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:18.493107,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:19.663712,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.704)","(11.0, 22.0, 18.6)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:20.862081,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 19.714285714285715)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:22.035392,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 19.714285714285715)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:23.230764,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 19.5)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:24.362586,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 19.5)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 184.28571428571428)","(101.0, 620.0, 424.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:25.530601,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 21.25)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 210.0, 203.33333333333334)","(101.0, 620.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:26.733266,"(1.9, 2.22, 2.176)","(2.3, 2.86, 2.68)","(11.0, 22.0, 21.25)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:27.872748,"(1.9, 2.22, 2.17875)","(2.3, 2.84, 2.7257142857142855)","(11.0, 22.0, 19.0)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:29.056684,"(1.9, 2.22, 2.17875)","(2.3, 2.84, 2.7257142857142855)","(11.0, 22.0, 19.4)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:30.242962,"(1.9, 2.22, 2.17875)","(2.3, 2.84, 2.7257142857142855)","(11.0, 22.0, 19.625)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:31.411703,"(1.9, 2.22, 2.17875)","(2.3, 2.84, 2.7257142857142855)","(11.0, 21.0, 21.2)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:32.716495,"(1.9, 2.22, 2.17875)","(2.3, 2.84, 2.7257142857142855)","(11.0, 25.0, 21.2)","(91.0, 140.0, 130.0)","(19.0, 38.0, 33.5)","(91.0, 220.0, 203.33333333333334)","(101.0, 630.0, 505.0)","(101.0, 190.0, 178.0)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:33.913972,"(1.9, 2.22, 2.17875)","(2.35, 2.84, 2.7)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:35.104509,"(1.9, 2.22, 2.17875)","(2.35, 2.84, 2.7)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:36.274987,"(1.9, 2.22, 2.17875)","(2.35, 2.84, 2.7)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:37.407845,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.82)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:38.493635,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8433333333333333)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:39.591222,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8433333333333333)","(11.0, 25.0, 21.2)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 158.33333333333334)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:40.702031,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8433333333333333)","(11.0, 25.0, 21.4)","(91.0, 140.0, 107.5)","(20.0, 38.0, 33.5)","(91.0, 220.0, 152.5)","(101.0, 630.0, 505.0)","(101.0, 190.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:41.819952,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8433333333333333)","(11.0, 23.0, 20.2)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:42.936679,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.858)","(11.0, 23.0, 19.75)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:44.131784,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.858)","(11.0, 23.0, 19.75)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:45.420205,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.858)","(11.0, 23.0, 19.75)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:46.605472,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8642857142857143)","(11.0, 23.0, 19.75)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
06-01-2023 16:05:47.834173,"(1.9, 2.22, 2.17875)","(2.35, 2.88, 2.8642857142857143)","(11.0, 23.0, 19.75)","(91.0, 130.0, 102.5)","(20.0, 38.0, 33.5)","(91.0, 210.0, 168.33333333333331)","(101.0, 630.0, 505.0)","(101.0, 180.0, 151.66666666666666)","(11.0, 16.0, 15.0)"
