,Dr Kye,Midnight Breeze,Say You Will,Fuse To Burn,Enraged,Wagner Bale
12-01-2023 17:36:56.155035,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:57.092890,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:57.991781,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:59.004859,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:36:59.932283,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:00.812054,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:01.786228,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 3.732142857142857)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:02.828583,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.4, 5.5, 4.8734177215189876)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:03.707769,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:04.656849,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:05.670412,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:06.675629,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:07.642710,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.0)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:08.575018,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:09.538983,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:10.535068,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:11.591339,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:12.571509,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:13.567453,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:14.440960,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:15.367030,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:16.426610,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:17.453500,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 40.125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.389024390243902)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:18.506712,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.5)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:19.505638,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.5)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:20.497187,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.5)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:21.408440,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:22.370300,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:23.382367,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:24.362488,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:25.350013,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:26.364711,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:27.329839,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:28.337423,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:29.274242,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:30.172904,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 43.8125)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:31.196003,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:32.261547,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:33.222883,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:34.203437,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:35.127610,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:36.032322,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:37.007458,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:38.099557,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 4.973404255319149)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:39.148395,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.810714285714286)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:40.128467,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.810714285714286)","(4.2, 6.4, 4.578571428571429)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:41.168063,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.810714285714286)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:42.111527,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.810714285714286)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:43.036240,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.810714285714286)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:44.114412,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:45.154043,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:46.070478,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.4, 4.397933884297521)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:47.068303,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:48.031923,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:48.964583,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:49.976457,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:51.004563,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:51.889486,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:52.903075,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:53.895373,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:54.826626,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:55.783037,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:56.763715,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:57.767159,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.75)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:58.839240,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.5)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:37:59.854652,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.5)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.55)"
12-01-2023 17:38:00.787068,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.6, 4.209090909090909)"
12-01-2023 17:38:01.832138,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.209090909090909)"
12-01-2023 17:38:02.972187,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.209090909090909)"
12-01-2023 17:38:04.168233,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.209090909090909)"
12-01-2023 17:38:05.309580,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.209090909090909)"
12-01-2023 17:38:06.374751,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.209090909090909)"
12-01-2023 17:38:07.394942,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.7, 4.11551724137931)"
12-01-2023 17:38:08.461764,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 39.625)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.9, 4.11551724137931)"
12-01-2023 17:38:09.530548,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.650000000000006)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.9, 4.014864864864865)"
12-01-2023 17:38:10.496597,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.650000000000006)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.9, 4.014864864864865)"
12-01-2023 17:38:11.525240,"(5.5, 9.6, 6.5285714285714285)","(15.0, 48.0, 44.650000000000006)","(3.5, 5.5, 3.723076923076923)","(4.2, 6.2, 5.701515151515151)","(4.0, 6.6, 5.275)","(3.9, 5.9, 4.014864864864865)"
