,Willy Can Do,Rose Danae,Why Not Jules,Still In Love,Why Not Lilah,Forever A Dream
10-01-2023 15:45:49.765550,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:50.666659,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:51.584802,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:52.612052,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:53.510283,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:54.443856,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:55.456849,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:56.417395,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:57.320008,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:58.313479,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:45:59.195381,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:00.123563,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:01.141639,"(2.05, 3.4, 2.1895238095238096)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:02.247559,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:03.340192,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:04.248453,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.0, 7.7384615384615385)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.928571428571428)"
10-01-2023 15:46:05.181187,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 7.843478260869565)"
10-01-2023 15:46:06.153792,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:07.190369,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:08.140385,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:09.092279,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:10.154619,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:11.169908,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:12.098571,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:13.004960,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:13.979103,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.835714285714285)"
10-01-2023 15:46:14.898644,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 6.430434782608695)"
10-01-2023 15:46:15.869435,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:16.879448,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:17.868893,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:18.784936,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:19.774757,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:20.788063,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:21.736809,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:22.853691,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:23.941683,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:24.816474,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:25.805471,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:26.806475,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:27.759864,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:28.841501,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:29.900163,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:30.914010,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:31.943567,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:32.885377,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:33.865983,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:34.984451,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:36.018002,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:36.984364,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:38.038729,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:39.103409,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:40.044515,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:40.989580,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 8.225)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:42.009143,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 19.473684210526315)","(5.5, 9.4, 8.015384615384615)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:43.065169,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 9.4, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:44.052700,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:45.037831,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:46.006199,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:46.985872,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:48.002223,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:49.042363,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 4.742857142857143)"
10-01-2023 15:46:50.007450,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:51.043408,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:52.096645,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:53.019765,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:53.944859,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:54.966606,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:55.941524,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.5434782608695645)"
10-01-2023 15:46:57.036069,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 8.071698113207546)"
10-01-2023 15:46:58.044816,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 8.071698113207546)"
10-01-2023 15:46:58.959894,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:46:59.969137,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:00.891316,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:01.819599,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:02.965250,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:04.027523,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:04.978720,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 8.283333333333333)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:05.991774,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:06.995583,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:07.908722,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.195)","(5.0, 9.0, 7.3875)","(7.0, 12.5, 10.057142857142857)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:08.936594,"(2.05, 3.35, 2.292222222222222)","(11.0, 23.0, 13.545454545454547)","(5.5, 10.0, 7.25)","(5.0, 9.0, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:09.997676,"(2.05, 3.3, 2.236)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:10.995240,"(2.05, 3.3, 2.236)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:12.038010,"(2.05, 3.3, 2.236)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.2, 6.275)"
10-01-2023 15:47:13.070295,"(2.05, 3.3, 2.236)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.2, 6.415)"
10-01-2023 15:47:14.037173,"(2.05, 3.3, 2.236)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.6, 6.415)"
10-01-2023 15:47:14.984251,"(2.05, 3.3, 2.2095652173913045)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 10.666666666666668)","(5.0, 9.6, 6.415)"
10-01-2023 15:47:16.028102,"(2.05, 3.3, 2.2095652173913045)","(11.0, 23.0, 14.875)","(5.5, 10.0, 7.25)","(5.0, 8.8, 7.98)","(7.0, 12.5, 10.666666666666668)","(5.0, 9.6, 6.415)"
10-01-2023 15:47:17.066046,"(2.05, 3.3, 2.2095652173913045)","(11.0, 23.0, 14.875)","(5.5, 10.0, 6.1499999999999995)","(5.0, 8.8, 7.98)","(7.0, 12.5, 10.666666666666668)","(5.0, 9.6, 6.415)"
10-01-2023 15:47:18.103270,"(2.05, 3.3, 2.2095652173913045)","(11.0, 23.0, 13.545454545454547)","(5.5, 10.0, 6.1499999999999995)","(5.0, 8.8, 7.98)","(7.0, 12.5, 9.85)","(5.0, 9.6, 5.699999999999999)"
