,Frankntank,Yoursnmine,Mytime,Spring Delight,Hes A Modern Boy,Amphijet,Micton Mouse,Filcarlo
10-01-2023 17:38:43.016528,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:44.351086,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:45.800897,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:47.344850,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:48.783158,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:50.184489,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:52.039959,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:53.614001,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:55.072963,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:56.613974,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
