,Blue Vein,Belles Echo,Heidi Belle,Elcheikhali,Clickety Click,Tobias,Horlistic
12-01-2023 10:45:54.350764,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:55.423073,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:56.500898,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:57.681042,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:58.793933,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:45:59.831812,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:01.056397,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:02.108187,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:03.082387,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:04.260281,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:05.567825,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:06.812484,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:08.104509,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:09.446140,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:10.731433,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:11.899971,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:13.012649,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:14.177719,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.7, 3.9363636363636365)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.9)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:15.204174,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:16.289738,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:17.404608,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:18.445078,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:19.582574,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:20.636092,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:21.717139,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:22.897010,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:23.978561,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:25.033660,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:26.162558,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:27.279833,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:28.411737,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:29.397730,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.6, 3.8692307692307693)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:30.402769,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:31.508897,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:32.648541,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:33.693398,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:34.732780,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 127.0)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:35.795946,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 101.66666666666667)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:36.885709,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 120.83333333333334)","(6.5, 14.0, 13.584615384615384)"
12-01-2023 10:46:37.994853,"(3.9, 6.2, 5.228571428571429)","(3.5, 4.5, 3.881818181818182)","(4.2, 5.9, 5.0600000000000005)","(4.6, 8.6, 6.8)","(11.0, 20.0, 14.333333333333334)","(26.0, 140.0, 120.83333333333334)","(6.5, 14.0, 13.166666666666668)"
