,Graces Pace,Eura Northern Sky,Mo Silver,Fly Condor,Forever Lights,Gotothewindow,Indian Aces
16-12-2022 12:14:20.081827,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:21.016154,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:21.939168,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.315)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:22.889488,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.4831578947368422)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:23.850268,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.4831578947368422)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:24.807801,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.4831578947368422)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:25.759756,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:26.745539,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:27.694526,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:28.653984,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:29.656103,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:30.641668,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:31.598188,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:32.559540,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:33.550440,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.0736842105263165)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:34.491038,"(6.5, 12.0, 11.600000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:35.431227,"(6.5, 11.5, 9.850000000000001)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.3046153846153845)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:36.362353,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.4926315789473685)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:37.300903,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.4275)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:38.226224,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.5220000000000002)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:39.142606,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.5220000000000002)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:40.057060,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.4275)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:40.972816,"(6.5, 11.0, 10.666666666666666)","(4.4, 7.2, 5.892307692307693)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.4275)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:41.953429,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:42.957314,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:43.965437,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:44.941013,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:45.929436,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:46.888593,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.332307692307692)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:47.909174,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:48.866737,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:49.914386,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:50.946372,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:51.990007,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:53.023640,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:54.077525,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:55.125348,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:56.157756,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.42)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:57.144462,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:58.128082,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:14:59.143457,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:00.153244,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:01.151496,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:02.142686,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:03.154081,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 7.2)","(2.0, 2.9, 2.36)","(21.0, 530.0, 273.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:04.174735,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.4, 6.654545454545454)","(2.0, 2.9, 2.36)","(21.0, 530.0, 258.5)","(31.0, 130.0, 78.5)"
16-12-2022 12:15:05.174186,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.2, 6.654545454545454)","(2.0, 2.9, 2.36)","(21.0, 500.0, 258.5)","(31.0, 130.0, 34.53333333333333)"
16-12-2022 12:15:06.231723,"(6.5, 11.0, 10.666666666666666)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.191666666666666)","(2.0, 2.9, 2.444)","(21.0, 500.0, 419.58333333333337)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:07.323905,"(6.5, 11.0, 10.04)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.444)","(21.0, 500.0, 419.58333333333337)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:08.396240,"(6.5, 11.0, 10.4)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.444)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:09.463933,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.444)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:10.563917,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.4771428571428573)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:11.624193,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:12.697277,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.794444444444444)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:13.821262,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 8.0, 6.776470588235294)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.53333333333333)"
16-12-2022 12:15:14.878241,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.8, 6.776470588235294)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:15.979598,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.4, 6.885714285714286)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:17.065409,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.885714285714286)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:18.111016,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 5.977777777777778)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:19.137569,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 5.977777777777778)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:20.181568,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 5.95)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:21.110865,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 5.95)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:22.096898,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.6)","(2.0, 2.9, 2.571111111111111)","(21.0, 500.0, 259.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:23.158878,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.7125)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:24.290620,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.7125)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:25.431944,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.789473684210526)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:26.621978,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.8, 7.385714285714285)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:27.771085,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.6, 7.385714285714285)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:28.945782,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.6, 7.385714285714285)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:30.303749,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.6, 6.515789473684211)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:31.526945,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.4, 6.7)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:32.699219,"(6.5, 11.0, 10.563636363636363)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.7)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:33.877406,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.366666666666667)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:34.997675,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.963636363636364)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 264.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:36.137771,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 6.963636363636364)","(2.0, 2.9, 2.571111111111111)","(21.0, 510.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:37.471553,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:38.802398,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:40.031231,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:41.237968,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:42.468401,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
16-12-2022 12:15:43.807601,"(6.5, 11.0, 10.71764705882353)","(4.4, 6.6, 5.735714285714286)","(15.0, 29.0, 20.5)","(5.0, 7.2, 7.014285714285714)","(2.0, 2.9, 2.571111111111111)","(21.0, 470.0, 244.0)","(31.0, 140.0, 34.0625)"
