,Catch The King,Inga Izzy,Crooked Shadows,Inga Sid,Little Linton,Fletcher Flash,Chasing Barbie,Tamborine Girl
09-01-2023 14:17:25.149457,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:26.556642,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:27.912044,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:29.211821,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:30.412013,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:31.670557,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:32.939423,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:34.152597,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:35.383148,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:36.573518,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:37.885221,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:39.307090,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:40.852713,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:42.200283,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:43.593546,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:45.013462,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:46.439684,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:47.774757,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:49.013393,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:50.192972,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:51.453646,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:52.678027,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:53.850076,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:55.098082,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:56.284683,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:57.450409,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:58.649685,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:17:59.838456,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:00.978294,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:02.098472,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:03.256537,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:04.379712,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:05.424835,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:06.483909,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:07.571366,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:08.719396,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:09.899795,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:11.124982,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:12.342002,"(2.4, 3.3, 2.55)","(21.0, 60.0, 36.94444444444444)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:13.565228,"(2.4, 3.3, 2.55)","(21.0, 60.0, 34.375)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:14.782900,"(2.4, 3.3, 2.55)","(21.0, 60.0, 34.375)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:15.991208,"(2.4, 3.3, 2.55)","(21.0, 60.0, 34.375)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:17.248420,"(2.4, 3.3, 2.55)","(21.0, 60.0, 34.375)","(5.0, 9.2, 7.4799999999999995)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:18.453452,"(2.4, 3.3, 2.55)","(21.0, 60.0, 34.375)","(5.0, 9.2, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:19.600860,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:20.679949,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:21.844563,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:22.965223,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:24.127292,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:25.300856,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:26.482377,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:27.628873,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:28.808687,"(2.4, 3.45, 2.526388888888889)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:30.009802,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:31.144270,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:32.330490,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:33.542911,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:34.790329,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:36.069111,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:37.316459,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:38.496827,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:39.959723,"(2.4, 3.5, 2.6666666666666665)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:41.359080,"(2.4, 3.5, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:42.727915,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:43.954571,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 5.314285714285715)"
09-01-2023 14:18:45.230163,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:46.501601,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:47.748036,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:49.114042,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:50.351508,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:51.645070,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:52.926891,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:54.143869,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
09-01-2023 14:18:55.341651,"(2.4, 3.65, 2.5821428571428573)","(21.0, 60.0, 34.375)","(5.0, 9.4, 7.6000000000000005)","(26.0, 110.0, 56.25)","(71.0, 580.0, 494.16666666666663)","(2.9, 4.9, 3.28125)","(71.0, 570.0, 485.0)","(3.7, 6.4, 4.086956521739131)"
