,Tick And Flick,Free From Desire,Tokin Beach,Cash Strap,Step Up,Burnt Me,Baby Thor,Shonas Fury
14-12-2022 19:17:55.219682,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:56.269806,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:57.302755,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:58.395760,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:17:59.553921,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:00.673332,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:01.758539,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:02.886414,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:04.003779,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:05.116339,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:06.219156,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:07.269541,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:08.292069,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:09.369964,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:10.451237,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:11.573476,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:12.671674,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:13.816062,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8671875)","(9.0, 18.0, 12.0)","(6.0, 13.5, 7.1125)"
14-12-2022 19:18:14.947332,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:16.092358,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:17.208994,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:18.226877,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:19.267773,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:20.389964,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:21.467281,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:22.604701,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:23.710639,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:24.831269,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:25.935373,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:27.021838,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:28.074487,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:29.115829,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:30.127726,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:31.220012,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
14-12-2022 19:18:32.251522,"(5.0, 8.8, 7.5)","(31.0, 210.0, 119.5)","(6.5, 12.0, 7.949999999999999)","(4.4, 6.8, 6.26)","(16.0, 46.0, 37.18421052631579)","(2.6, 3.55, 2.8124137931034485)","(9.0, 18.0, 12.0)","(6.0, 13.5, 10.093333333333334)"
