,Asva,Okay Cupid,Preferral,Kaisa,Pioneer Lass,Gleefilly,Lutine Belle
07-01-2023 11:53:09.691523,"(1.55, 1.74, 1.731219512195122)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:10.627910,"(1.55, 1.74, 1.7140384615384614)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:11.660242,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:12.689483,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:13.715982,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:14.682002,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:15.709860,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:16.812417,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:17.920169,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:18.967409,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:20.037158,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:21.098094,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:22.117624,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:23.121988,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:24.102647,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:25.120426,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:26.045404,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:27.021979,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:28.035268,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:29.071666,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:30.163674,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:31.157765,"(1.55, 1.74, 1.7281578947368421)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:32.183489,"(1.55, 1.74, 1.7328571428571429)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:33.117528,"(1.55, 1.74, 1.7328571428571429)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:34.006024,"(1.55, 1.74, 1.7328571428571429)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:35.041691,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:35.985286,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:36.982591,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:38.017447,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:39.069496,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:40.203232,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:41.242683,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:42.286754,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:43.249467,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:44.212420,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:45.270764,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:46.259363,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:47.254434,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:48.187536,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:49.247090,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:50.369280,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:51.399650,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:52.411333,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:53.392211,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.215384615384615)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:54.385037,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.127272727272727)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:55.424658,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.36)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:56.437446,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.36)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:57.454310,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:58.440952,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:53:59.430489,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:00.452321,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:01.449660,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:02.413427,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:03.386149,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:04.352889,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:05.393085,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 48.0)"
07-01-2023 11:54:06.386117,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 55.42857142857143)"
07-01-2023 11:54:07.360715,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 55.42857142857143)"
07-01-2023 11:54:08.263760,"(1.55, 1.74, 1.7316666666666667)","(10.0, 21.0, 19.3)","(15.0, 34.0, 26.176470588235293)","(16.0, 90.0, 28.75)","(6.5, 12.0, 11.2)","(4.6, 7.0, 5.8)","(17.0, 100.0, 55.42857142857143)"
