,Bella Rouge,Coco Rox,Vaccine,Very Intoxicating,Amathuba,Carartie,Olentia,Hellavadancer,Xtra Gear,Parisian Lady,Latakia
07-01-2023 15:34:55.041591,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(8.5, 10.5, 10.422535211267606)"
07-01-2023 15:34:56.487872,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 420.0)","(8.5, 10.5, 10.422535211267606)"
07-01-2023 15:34:57.948327,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 630.0, 346.66666666666663)","(8.5, 10.5, 10.422535211267606)"
07-01-2023 15:34:59.392278,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.422535211267606)"
07-01-2023 15:35:00.834646,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 36.3448275862069)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.422535211267606)"
07-01-2023 15:35:02.274656,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.208519855595668)","(21.0, 38.0, 37.36)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.365853658536585)"
07-01-2023 15:35:03.635367,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.2092913385826773)","(21.0, 38.0, 37.36)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.365853658536585)"
07-01-2023 15:35:04.980016,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.2092913385826773)","(21.0, 38.0, 37.36)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.353333333333333)"
07-01-2023 15:35:06.312023,"(3.8, 4.5, 4.392035398230089)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.63636363636363)","(12.0, 18.0, 17.833333333333332)","(51.0, 80.0, 79.16666666666667)","(2.05, 2.24, 2.2092913385826773)","(21.0, 38.0, 37.36)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.353333333333333)"
07-01-2023 15:35:07.599246,"(3.8, 4.5, 4.346861924686192)","(13.0, 16.0, 15.976744186046512)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.0, 17.61111111111111)","(51.0, 80.0, 78.2258064516129)","(2.05, 2.24, 2.19875)","(21.0, 38.0, 37.38461538461539)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.3625)"
07-01-2023 15:35:08.992010,"(3.8, 4.4, 4.363247863247864)","(13.0, 16.0, 16.017647058823528)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.0, 17.892857142857142)","(51.0, 85.0, 78.2258064516129)","(2.05, 2.2, 2.211527777777778)","(21.0, 38.0, 37.36)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.263157894736842)"
07-01-2023 15:35:10.290516,"(3.8, 4.5, 4.351219512195122)","(13.0, 16.5, 16.158333333333335)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.892857142857142)","(51.0, 85.0, 78.2258064516129)","(2.05, 2.22, 2.21349593495935)","(21.0, 38.0, 36.89655172413793)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.263157894736842)"
07-01-2023 15:35:11.630258,"(3.8, 4.5, 4.351219512195122)","(13.0, 16.5, 16.158333333333335)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.892857142857142)","(51.0, 85.0, 78.2258064516129)","(2.05, 2.22, 2.21349593495935)","(21.0, 38.0, 36.89655172413793)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.263157894736842)"
07-01-2023 15:35:13.005134,"(3.8, 4.5, 4.351219512195122)","(13.0, 16.5, 16.158333333333335)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.892857142857142)","(51.0, 85.0, 78.2258064516129)","(2.05, 2.22, 2.21349593495935)","(21.0, 38.0, 36.89655172413793)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.263157894736842)"
07-01-2023 15:35:14.379431,"(3.8, 4.5, 4.351219512195122)","(13.0, 16.5, 16.158333333333335)","(21.0, 32.0, 30.28125)","(26.0, 46.0, 45.89473684210526)","(12.0, 18.5, 17.951612903225808)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.2158297872340427)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:15.800079,"(3.8, 4.5, 4.3570312499999995)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 17.951612903225808)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.215847457627119)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:17.267650,"(3.8, 4.5, 4.3570312499999995)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 17.951612903225808)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.1918929254302104)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:18.683994,"(3.8, 4.5, 4.367870036101083)","(13.0, 16.0, 15.85483870967742)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.2, 2.2050301810865194)","(21.0, 38.0, 37.38461538461539)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:20.112664,"(3.8, 4.5, 4.3570312499999995)","(13.0, 16.0, 15.85483870967742)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.205040650406504)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:21.481562,"(3.8, 4.5, 4.417937219730942)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.206762589928058)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:22.831137,"(3.8, 4.5, 4.417777777777778)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.201782178217822)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:24.173525,"(3.8, 4.5, 4.417777777777778)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.205569620253165)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:25.482833,"(3.8, 4.5, 4.417777777777778)","(13.0, 16.0, 15.818840579710145)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.2011180124223606)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:26.810728,"(3.8, 4.5, 4.430451127819549)","(13.0, 16.0, 15.85483870967742)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.166666666666668)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.2042214532871975)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:28.172209,"(3.8, 4.5, 4.414035087719299)","(13.0, 16.0, 15.85483870967742)","(21.0, 32.0, 30.307692307692307)","(26.0, 46.0, 45.9)","(12.0, 18.5, 18.23076923076923)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.1935869565217394)","(21.0, 38.0, 36.93333333333333)","(51.0, 140.0, 137.0)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.275)"
07-01-2023 15:35:29.590692,"(3.8, 4.5, 4.406980802792321)","(13.0, 16.0, 15.861538461538462)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.904761904761905)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 78.4375)","(2.05, 2.2, 2.195228426395939)","(21.0, 38.0, 37.0)","(51.0, 140.0, 137.27272727272728)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:30.967037,"(3.8, 4.5, 4.4)","(13.0, 16.0, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.904761904761905)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 78.4375)","(2.05, 2.22, 2.195228426395939)","(21.0, 38.0, 37.0)","(51.0, 140.0, 137.27272727272728)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:32.291823,"(3.8, 4.4, 4.36510067114094)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.4)","(2.05, 2.22, 2.205977011494253)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:33.679312,"(3.8, 4.4, 4.36510067114094)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.45454545454545)","(2.05, 2.22, 2.207390180878553)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:35.048489,"(3.8, 4.4, 4.334397163120568)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.45454545454545)","(2.05, 2.22, 2.205519287833828)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:36.436324,"(3.8, 4.4, 4.334397163120568)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.45454545454545)","(2.05, 2.22, 2.205519287833828)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:37.819846,"(3.8, 4.4, 4.334154929577465)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.45454545454545)","(2.05, 2.22, 2.205519287833828)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:39.233195,"(3.8, 4.4, 4.334154929577465)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.4)","(2.05, 2.22, 2.205519287833828)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:40.573728,"(3.8, 4.4, 4.334154929577465)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.35820895522388)","(26.0, 46.0, 45.333333333333336)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 75.4)","(2.05, 2.22, 2.206330532212885)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:35:41.918429,"(3.8, 4.4, 4.334154929577465)","(13.0, 16.5, 16.072916666666668)","(21.0, 32.0, 30.47222222222222)","(26.0, 46.0, 44.57142857142857)","(12.0, 18.5, 18.25862068965517)","(51.0, 85.0, 76.25)","(2.05, 2.22, 2.206330532212885)","(21.0, 38.0, 36.4)","(51.0, 140.0, 132.5)","(101.0, 620.0, 346.66666666666663)","(8.5, 10.5, 10.285714285714286)"
