,Eagles Forever,Getouttheway,Max Fire,Im Kenny,Diamonds Are,Festival Of Light,Bunjil,Shema,Spy Colonel
07-01-2023 13:59:03.242735,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6149999999999998)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:04.603395,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6149999999999998)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:05.928361,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.56)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:07.337590,"(7.0, 9.2, 9.133333333333333)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.56)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.75)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:08.818228,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 38.57142857142857)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:10.174424,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:11.511401,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:12.890056,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:14.268376,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:15.596154,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:16.921885,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.55)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 42.0, 39.6)","(10.0, 12.5, 11.375)"
07-01-2023 13:59:18.290943,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6293103448275863)","(20.0, 30.0, 27.0)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 38.0)","(10.0, 12.0, 11.5)"
07-01-2023 13:59:19.907055,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.65, 3.6293103448275863)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 38.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:21.273592,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.674137931034483)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:22.482538,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.674137931034483)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:23.735123,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.6772727272727277)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:25.088651,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.6772727272727277)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:26.480695,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.6772727272727277)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:27.818112,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.6772727272727277)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.34)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.642857142857142)"
07-01-2023 13:59:29.134392,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.4, 7.228571428571429)","(3.2, 3.7, 3.6772727272727277)","(20.0, 30.0, 28.833333333333332)","(11.0, 14.5, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.5)"
07-01-2023 13:59:30.485925,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.7, 3.481818181818182)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.545454545454545)"
07-01-2023 13:59:31.912269,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.7, 3.5090909090909093)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.666666666666666)"
07-01-2023 13:59:33.485909,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.7, 3.5090909090909093)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.0, 4.976923076923077)","(26.0, 40.0, 36.0)","(10.0, 12.0, 11.666666666666666)"
07-01-2023 13:59:34.956477,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.7, 3.355)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.0, 5.074999999999999)","(26.0, 40.0, 39.23809523809524)","(10.0, 12.0, 13.357142857142858)"
07-01-2023 13:59:36.369537,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.426470588235293)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 39.30434782608695)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:37.937401,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 13.7)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 39.30434782608695)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:39.495238,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 13.839285714285715)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 39.30434782608695)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:40.839589,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.2, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 13.839285714285715)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 39.30434782608695)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:42.262509,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.1, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 13.951612903225806)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 38.285714285714285)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:43.735782,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.1, 3.45, 3.354347826086957)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 13.951612903225806)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 38.285714285714285)","(10.0, 13.5, 13.357142857142858)"
07-01-2023 13:59:45.128320,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.4225000000000003)","(20.0, 30.0, 28.833333333333332)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 38.666666666666664)","(10.0, 13.5, 12.944444444444445)"
07-01-2023 13:59:46.533386,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.4225000000000003)","(20.0, 30.0, 26.142857142857142)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 40.0, 40.22222222222222)","(10.0, 13.0, 12.5)"
07-01-2023 13:59:47.896380,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 26.142857142857142)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 42.0, 40.22222222222222)","(10.0, 13.0, 12.5)"
07-01-2023 13:59:49.309019,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 26.142857142857142)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 42.0, 40.22222222222222)","(10.0, 13.0, 12.5)"
07-01-2023 13:59:50.727798,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 27.375)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 42.0, 40.22222222222222)","(10.0, 13.0, 12.5)"
07-01-2023 13:59:52.170078,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 27.375)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.074999999999999)","(26.0, 42.0, 40.22222222222222)","(10.0, 13.0, 12.5)"
07-01-2023 13:59:53.619511,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 27.375)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0777777777777775)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.944444444444445)"
07-01-2023 13:59:54.991401,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 27.375)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0777777777777775)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.944444444444445)"
07-01-2023 13:59:56.322309,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.114285714285714)","(3.1, 3.45, 3.38125)","(20.0, 30.0, 27.375)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0777777777777775)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.944444444444445)"
07-01-2023 13:59:57.704427,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.088888888888889)","(3.1, 3.45, 3.432258064516129)","(20.0, 30.0, 27.5)","(11.0, 15.0, 14.370967741935484)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0777777777777775)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.75)"
07-01-2023 13:59:59.090481,"(7.0, 9.2, 8.91764705882353)","(5.5, 7.6, 7.171428571428572)","(3.1, 3.45, 3.3838709677419354)","(20.0, 29.0, 26.91304347826087)","(11.0, 15.0, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.61111111111111)"
07-01-2023 14:00:00.541528,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.171428571428572)","(3.1, 3.4, 3.375)","(20.0, 29.0, 26.75)","(11.0, 14.5, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:01.911648,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.171428571428572)","(3.1, 3.4, 3.375)","(20.0, 28.0, 26.75)","(11.0, 14.5, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:03.148397,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.171428571428572)","(3.1, 3.4, 3.375)","(20.0, 28.0, 26.75)","(11.0, 14.5, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:04.453872,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.171428571428572)","(3.1, 3.4, 3.375)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:05.815041,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.171428571428572)","(3.1, 3.4, 3.375)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.241935483870968)","(31.0, 60.0, 51.0)","(3.5, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:07.451140,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.4, 7.133333333333334)","(3.1, 3.4, 3.4111111111111114)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.241935483870968)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:09.097623,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.025)","(3.1, 3.45, 3.301875)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.241935483870968)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:10.445068,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.05)","(3.1, 3.35, 3.2864864864864862)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.351851851851851)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:12.019530,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.05)","(3.1, 3.3, 3.2855263157894736)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.351851851851851)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:13.515949,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.05)","(3.1, 3.3, 3.2855263157894736)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.351851851851851)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 38.8)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:14.954428,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.3, 3.2909090909090906)","(20.0, 28.0, 26.0)","(11.0, 14.5, 14.351851851851851)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 40.0, 40.4)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:16.366387,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.3, 3.3175)","(20.0, 28.0, 26.5)","(11.0, 14.5, 14.351851851851851)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:17.732602,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.35, 3.3175)","(20.0, 28.0, 26.5)","(11.0, 14.5, 15.375)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:19.101599,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.35, 3.293939393939394)","(20.0, 28.0, 26.5)","(11.0, 16.0, 15.428571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0285714285714285)","(26.0, 42.0, 40.4)","(10.0, 13.0, 12.6875)"
07-01-2023 14:00:20.361447,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.3, 3.3240000000000003)","(20.0, 28.0, 26.5)","(11.0, 16.0, 14.75)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:21.590327,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.2789473684210524)","(20.0, 28.0, 26.5)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:22.915089,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.3, 3.3083333333333336)","(20.0, 28.0, 26.125)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:24.306684,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.3083333333333336)","(20.0, 28.0, 26.125)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:25.671827,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.333783783783784)","(20.0, 28.0, 27.25)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:27.037345,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.333783783783784)","(20.0, 28.0, 27.25)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:28.330005,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.333783783783784)","(20.0, 28.0, 27.25)","(11.0, 16.0, 14.928571428571429)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:29.715894,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.35, 3.3468750000000003)","(20.0, 28.0, 28.0)","(11.0, 16.0, 14.5)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:31.033558,"(7.0, 9.2, 8.971428571428572)","(5.5, 7.2, 7.013333333333334)","(3.1, 3.3, 3.2363636363636363)","(20.0, 30.0, 28.043478260869566)","(11.0, 15.5, 14.5)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
07-01-2023 14:00:32.422028,"(7.0, 9.0, 8.82857142857143)","(5.5, 7.2, 7.090909090909091)","(3.1, 3.25, 3.2363636363636363)","(20.0, 30.0, 28.043478260869566)","(11.0, 15.5, 14.5)","(41.0, 60.0, 51.0)","(3.6, 5.1, 5.0487179487179485)","(26.0, 42.0, 38.8)","(10.0, 13.0, 12.545454545454545)"
