,Magic Avenue,Toofan Raja,Zipping Wesley,Go Forward Herby,Tricky Avenue,Pinned
04-01-2023 14:18:11.644642,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:12.719180,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:13.729859,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:14.743315,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:15.689180,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:16.633538,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 29.18181818181818)","(101.0, 650.0, 372.5)","(4.8, 7.8, 7.025)"
04-01-2023 14:18:17.591520,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 31.333333333333336)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:18.548541,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.5)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:19.458040,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 31.666666666666664)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:20.449757,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.6145454545454543)","(2.35, 2.66, 2.436)","(19.0, 55.0, 40.0)","(101.0, 650.0, 372.5)","(4.8, 6.2, 5.325)"
04-01-2023 14:18:21.441433,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.6145454545454543)","(2.35, 2.66, 2.436)","(19.0, 50.0, 37.14285714285714)","(101.0, 650.0, 372.5)","(4.8, 6.2, 5.325)"
04-01-2023 14:18:22.424121,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.6145454545454543)","(2.35, 2.66, 2.436)","(19.0, 50.0, 37.14285714285714)","(101.0, 650.0, 372.5)","(4.8, 6.2, 5.325)"
04-01-2023 14:18:23.375163,"(5.5, 12.0, 10.971428571428572)","(2.5, 3.8, 3.6145454545454543)","(2.35, 2.66, 2.436)","(19.0, 50.0, 37.14285714285714)","(101.0, 650.0, 372.5)","(4.8, 6.2, 6.6)"
04-01-2023 14:18:24.288539,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 50.0, 36.92857142857143)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:25.279751,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 50.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:26.414109,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:27.482496,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:28.689178,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:29.645748,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:30.669598,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:31.732684,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:32.797436,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:33.771277,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:34.750897,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:35.797631,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:36.882575,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:37.935880,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:38.963257,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:40.007893,"(5.5, 12.5, 9.976923076923077)","(2.5, 3.8, 3.5439999999999996)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:41.055799,"(5.5, 12.0, 10.4)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:42.126655,"(5.5, 12.0, 10.4)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:43.156171,"(5.5, 12.0, 10.4)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:44.179783,"(5.5, 12.0, 10.4)","(2.5, 3.8, 3.52)","(2.35, 2.66, 2.436)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 5.5)"
04-01-2023 14:18:45.443649,"(5.5, 12.0, 10.4)","(2.5, 3.8, 3.1199999999999997)","(2.35, 2.66, 2.4495652173913043)","(19.0, 55.0, 35.8)","(101.0, 650.0, 372.5)","(4.8, 6.2, 6.6)"
04-01-2023 14:18:46.744420,"(5.5, 12.0, 10.4)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.1, 2.4495652173913043)","(19.0, 55.0, 40.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:47.800697,"(5.5, 12.0, 10.4)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.1, 2.4495652173913043)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:48.886116,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.1, 2.4557894736842103)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:50.035289,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.05, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 372.5)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:51.156630,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 558.3333333333334)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:52.247256,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 558.3333333333334)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:53.251819,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 558.3333333333334)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:54.355201,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 558.3333333333334)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:55.502765,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:56.643951,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:57.745628,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:58.782806,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:18:59.935742,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:01.046050,"(5.5, 12.0, 9.28)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:02.128113,"(5.5, 11.5, 9.014285714285714)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:03.143725,"(5.5, 11.5, 9.014285714285714)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:04.231853,"(5.5, 11.5, 9.014285714285714)","(2.5, 3.8, 2.9466666666666668)","(2.35, 3.0, 2.45625)","(19.0, 55.0, 37.0)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:05.419343,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.304)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 31.666666666666664)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.833333333333333)"
04-01-2023 14:19:06.582056,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.304)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 31.666666666666664)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.833333333333333)"
04-01-2023 14:19:07.951228,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.304)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 31.666666666666664)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:09.074971,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.434285714285714)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.133333333333333)"
04-01-2023 14:19:10.165685,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.296)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 5.733333333333333)"
04-01-2023 14:19:11.305608,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.52)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 5.616666666666667)"
04-01-2023 14:19:12.452060,"(5.5, 12.5, 10.55)","(2.5, 3.8, 3.52)","(2.35, 2.98, 2.4709090909090907)","(19.0, 55.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 7.3)"
04-01-2023 14:19:13.541520,"(5.5, 12.5, 10.55)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:14.656537,"(5.5, 12.5, 10.55)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:15.767148,"(5.5, 12.5, 10.55)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:16.904007,"(5.5, 12.5, 11.816666666666666)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:18.012637,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:19.007900,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:20.081231,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:21.196244,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.98, 2.4709090909090907)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:22.392467,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.94, 2.4755555555555553)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:23.724299,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.92, 2.4755555555555553)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:24.834288,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.92, 2.4755555555555553)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:25.964368,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.92, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:27.125394,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:28.232913,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:29.251866,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:30.246207,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:31.292998,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:32.304584,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:33.373225,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.48)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:34.400996,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.296)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:35.473862,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.296)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.909090909090907)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:36.588255,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.296)","(2.35, 2.88, 2.4470588235294115)","(19.0, 50.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:37.560067,"(5.5, 12.5, 10.65)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.88, 2.4470588235294115)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 5.553846153846154)"
04-01-2023 14:19:38.446173,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.578181818181818)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 5.553846153846154)"
04-01-2023 14:19:39.502763,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.578181818181818)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 5.266666666666667)"
04-01-2023 14:19:40.682507,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.578181818181818)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 5.266666666666667)"
04-01-2023 14:19:42.094009,"(5.5, 12.5, 10.65)","(2.5, 3.8, 3.578181818181818)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 6.2, 5.266666666666667)"
04-01-2023 14:19:43.538927,"(5.5, 12.5, 11.916666666666668)","(2.5, 3.8, 3.328)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:44.857365,"(5.5, 12.5, 11.916666666666668)","(2.5, 3.8, 3.328)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 6.6)"
04-01-2023 14:19:46.132266,"(5.5, 12.5, 11.916666666666668)","(2.5, 3.8, 3.328)","(2.35, 2.86, 2.46)","(19.0, 48.0, 28.363636363636363)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.133333333333333)"
04-01-2023 14:19:47.183875,"(5.5, 12.5, 11.916666666666668)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.86, 2.46)","(19.0, 48.0, 33.75)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:48.239418,"(5.5, 12.5, 11.84)","(2.5, 3.8, 3.48)","(2.35, 2.86, 2.46)","(19.0, 55.0, 33.75)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:49.541475,"(5.5, 12.5, 11.879999999999999)","(2.5, 3.8, 3.296)","(2.35, 2.86, 2.46)","(19.0, 55.0, 33.75)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:50.602798,"(5.5, 12.5, 11.879999999999999)","(2.5, 3.8, 3.296)","(2.35, 2.86, 2.46)","(19.0, 55.0, 33.75)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:51.536140,"(5.5, 12.5, 11.879999999999999)","(2.5, 3.8, 3.296)","(2.35, 2.86, 2.46)","(19.0, 55.0, 33.75)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:52.542569,"(5.5, 12.5, 11.879999999999999)","(2.5, 3.8, 3.296)","(2.35, 2.86, 2.46)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:53.637575,"(5.5, 12.5, 11.879999999999999)","(2.5, 3.8, 3.3866666666666667)","(2.35, 2.86, 2.458181818181818)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:54.667555,"(5.5, 12.5, 11.92)","(2.5, 3.8, 3.3866666666666667)","(2.35, 2.84, 2.458181818181818)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:55.721048,"(5.5, 12.5, 11.92)","(2.5, 3.8, 3.312)","(2.35, 2.84, 2.464444444444444)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:56.740196,"(5.5, 13.0, 12.32)","(2.5, 3.8, 3.312)","(2.35, 2.82, 2.464444444444444)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
04-01-2023 14:19:57.775062,"(5.5, 13.0, 12.32)","(2.5, 3.8, 2.9466666666666668)","(2.35, 2.82, 2.464444444444444)","(19.0, 55.0, 30.272727272727273)","(101.0, 650.0, 588.8888888888889)","(4.8, 7.8, 7.3)"
