,Hillbilly Pickin,Interventionist,Lonely Rock,Rapid Impact,Sir Smitty,Spitfire,Tekapo,Jamrock,Apache Jewel,Kaisa,Lady Goodfellow,Among Us
08-12-2022 14:00:04.172198,"(18.0, 40.0, 39.609756097560975)","(51.0, 130.0, 122.5)","(91.0, 160.0, 150.0)","(31.0, 34.0, 31.083333333333332)","(6.0, 5.9, 5.624193548387097)","(2.1, 2.42, 2.376216216216216)","(31.0, 44.0, 44.75)","(6.5, 8.4, 8.590532544378698)","(31.0, 60.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.0, 10.981481481481481)"
08-12-2022 14:00:05.848564,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 160.0, 150.0)","(31.0, 32.0, 31.214285714285715)","(6.0, 5.9, 5.624193548387097)","(2.1, 2.4, 2.376271186440678)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.590532544378698)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.0, 10.968468468468469)"
08-12-2022 14:00:07.360697,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 160.0, 150.0)","(31.0, 32.0, 31.214285714285715)","(6.0, 5.9, 5.624193548387097)","(2.1, 2.4, 2.376216216216216)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.590532544378698)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.0, 10.968468468468469)"
08-12-2022 14:00:08.917253,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 160.0, 150.0)","(31.0, 32.0, 31.214285714285715)","(6.0, 5.9, 5.695238095238095)","(2.1, 2.4, 2.3671028037383177)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.590532544378698)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.0, 10.968468468468469)"
08-12-2022 14:00:10.495817,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 150.0, 145.0)","(31.0, 32.0, 31.214285714285715)","(6.0, 5.9, 5.695238095238095)","(2.1, 2.4, 2.3671028037383177)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.590532544378698)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.0, 11.479591836734693)"
08-12-2022 14:00:12.190129,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 150.0, 145.0)","(31.0, 32.0, 31.7)","(6.0, 5.9, 5.695238095238095)","(2.1, 2.4, 2.361855670103093)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.590532544378698)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.767441860465116)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.5, 11.479591836734693)"
08-12-2022 14:00:13.964037,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 150.0, 145.0)","(31.0, 32.0, 31.7)","(6.0, 5.9, 5.669767441860465)","(2.1, 2.4, 2.3618848167539266)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.589261744966443)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.8)","(20.0, 29.0, 28.5)","(7.0, 11.5, 11.479591836734693)"
08-12-2022 14:00:15.631775,"(18.0, 40.0, 39.38461538461539)","(51.0, 130.0, 122.5)","(91.0, 150.0, 145.0)","(31.0, 32.0, 31.76)","(6.0, 5.9, 5.618518518518519)","(2.1, 2.4, 2.3618848167539266)","(31.0, 46.0, 43.77777777777778)","(6.5, 8.6, 8.589261744966443)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.8)","(20.0, 29.0, 28.647058823529413)","(7.0, 11.5, 11.479591836734693)"
08-12-2022 14:00:17.420196,"(18.0, 40.0, 39.483870967741936)","(51.0, 130.0, 122.5)","(91.0, 150.0, 145.0)","(31.0, 32.0, 31.517241379310345)","(6.0, 5.7, 5.620833333333333)","(2.1, 2.4, 2.362944162436548)","(31.0, 46.0, 44.666666666666664)","(6.5, 8.6, 8.591351351351351)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.833333333333332)","(20.0, 29.0, 28.73913043478261)","(7.0, 11.5, 10.931192660550458)"
08-12-2022 14:00:19.410448,"(18.0, 40.0, 39.483870967741936)","(51.0, 130.0, 122.5)","(91.0, 200.0, 160.0)","(31.0, 32.0, 31.416666666666668)","(6.0, 5.7, 5.619230769230769)","(2.1, 2.4, 2.362944162436548)","(31.0, 46.0, 44.666666666666664)","(6.5, 8.6, 8.591351351351351)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.833333333333332)","(20.0, 29.0, 28.73913043478261)","(7.0, 11.0, 10.97)"
08-12-2022 14:00:21.295168,"(18.0, 40.0, 39.483870967741936)","(51.0, 130.0, 125.0)","(91.0, 200.0, 160.0)","(31.0, 32.0, 31.416666666666668)","(6.0, 5.7, 5.614009661835749)","(2.1, 2.4, 2.3629072681704257)","(31.0, 46.0, 44.666666666666664)","(6.5, 8.6, 8.591351351351351)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.833333333333332)","(20.0, 29.0, 28.73913043478261)","(7.0, 11.5, 11.38888888888889)"
08-12-2022 14:00:23.237012,"(18.0, 40.0, 39.483870967741936)","(51.0, 130.0, 125.0)","(91.0, 200.0, 160.0)","(31.0, 32.0, 31.416666666666668)","(6.0, 5.7, 5.614009661835749)","(2.1, 2.4, 2.3629072681704257)","(31.0, 46.0, 44.666666666666664)","(6.5, 8.6, 8.591351351351351)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.833333333333332)","(20.0, 29.0, 28.73913043478261)","(7.0, 11.5, 11.38888888888889)"
08-12-2022 14:00:25.204714,"(18.0, 40.0, 39.483870967741936)","(51.0, 130.0, 125.0)","(91.0, 200.0, 160.0)","(31.0, 32.0, 31.416666666666668)","(6.0, 5.7, 5.614009661835749)","(2.1, 2.4, 2.3629974160206717)","(31.0, 46.0, 44.666666666666664)","(6.5, 8.6, 8.591351351351351)","(31.0, 55.0, 51.111111111111114)","(17.0, 25.0, 24.833333333333332)","(20.0, 29.0, 28.73913043478261)","(7.0, 11.5, 11.38888888888889)"
