,Shanias Dream,Stylish Ken,Vortex,Irongate,Holiday In Paris,Hazelnut,Stings To Burn,Jonas
15-12-2022 13:32:15.176227,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:16.162143,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:17.243874,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.138888888888889)"
15-12-2022 13:32:18.326294,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.015)"
15-12-2022 13:32:19.415303,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 38.75)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 9.015)"
15-12-2022 13:32:20.501544,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 36.0)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 8.948717948717949)"
15-12-2022 13:32:21.515228,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 8.976923076923077)"
15-12-2022 13:32:22.562211,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 8.976923076923077)"
15-12-2022 13:32:23.579524,"(3.0, 5.5, 3.9246153846153846)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 8.976923076923077)"
15-12-2022 13:32:24.718282,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.431578947368421)"
15-12-2022 13:32:25.862131,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:27.178215,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:28.275230,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:29.357067,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:30.419155,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 91.23076923076923)","(18.0, 60.0, 29.81818181818182)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:31.653113,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:32.824746,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:33.970234,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:35.139116,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:36.240711,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:37.192406,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:38.219324,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:39.282181,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:40.492530,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:41.705465,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:42.901820,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:44.118120,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:45.213223,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:46.270679,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:47.364928,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:48.475931,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:49.578172,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:50.797342,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:51.971523,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:53.130049,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:54.210981,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:55.184351,"(3.0, 5.5, 3.1)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:56.287805,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:57.424224,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:58.603948,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 101.71428571428571)","(18.0, 60.0, 31.666666666666664)","(18.0, 60.0, 29.090909090909093)","(7.0, 13.5, 11.585714285714285)","(10.0, 24.0, 18.36190476190476)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:32:59.816890,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 128.0)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 11.966666666666667)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 7.965217391304348)"
15-12-2022 13:33:00.966366,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 149.23076923076923)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:02.116356,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:03.233747,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:04.278360,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:05.257531,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:06.359813,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:07.427110,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:08.580307,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:09.718132,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:10.814425,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:11.911994,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:12.975360,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 13.024137931034483)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.378846153846155)"
15-12-2022 13:33:14.047795,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.5, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.5, 9.885714285714286)"
15-12-2022 13:33:15.229685,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:16.412759,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:17.581283,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:18.834206,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:20.026638,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:21.171411,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:22.240535,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:23.330080,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:24.443943,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:25.619102,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:26.853498,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:28.109431,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:29.259539,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
15-12-2022 13:33:30.389799,"(3.0, 5.5, 3.2422222222222223)","(2.45, 3.2, 2.4470588235294115)","(31.0, 220.0, 146.15384615384616)","(18.0, 60.0, 36.388888888888886)","(18.0, 60.0, 40.45454545454545)","(7.0, 13.0, 12.771428571428572)","(10.0, 24.0, 19.88888888888889)","(5.0, 10.0, 9.885714285714286)"
