,Did You Decide,Chosen Eagle,Dominators Girl,Fanciful Flying,Zewinna,Rockem Baby,Heavens Miracle,Magic Typhoon,Shamzou
07-12-2022 19:19:19.313628,"(3.4, 5.5, 5.133333333333334)","(7.5, 12.0, 11.2)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 260.0, 126.66666666666667)"
07-12-2022 19:19:20.440704,"(3.4, 5.5, 5.133333333333334)","(7.5, 12.0, 10.96)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 260.0, 107.5)"
07-12-2022 19:19:21.566377,"(3.4, 5.3, 5.18)","(7.5, 11.5, 9.700000000000001)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:22.651399,"(3.4, 5.3, 5.1)","(7.5, 11.5, 9.652000000000001)","(4.8, 5.5, 5.32)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:23.792416,"(3.4, 5.3, 5.1)","(7.5, 11.5, 9.652000000000001)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:25.010330,"(3.4, 5.3, 5.1)","(7.5, 11.5, 9.299999999999999)","(4.8, 5.6, 5.36)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:26.195748,"(3.4, 5.3, 5.1)","(7.5, 11.5, 9.299999999999999)","(4.8, 5.6, 5.36)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 5.13076923076923)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:27.389177,"(3.4, 5.3, 5.1)","(7.5, 11.5, 9.299999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 28.0)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:28.683957,"(3.4, 5.3, 5.125)","(7.5, 11.0, 9.299999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:29.944426,"(3.4, 5.3, 5.125)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:31.118385,"(3.4, 5.3, 5.266666666666667)","(7.5, 11.0, 9.559999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.8)","(51.0, 250.0, 107.5)"
07-12-2022 19:19:32.302261,"(3.4, 5.3, 5.266666666666667)","(7.5, 11.5, 9.315)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 250.0, 120.0)"
07-12-2022 19:19:33.506375,"(3.4, 5.3, 5.266666666666667)","(7.5, 11.5, 9.299999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 240.0, 120.0)"
07-12-2022 19:19:34.703653,"(3.4, 5.3, 5.266666666666667)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 240.0, 120.0)"
07-12-2022 19:19:35.864373,"(3.4, 5.3, 5.266666666666667)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 240.0, 102.5)"
07-12-2022 19:19:37.096041,"(3.4, 5.4, 5.367213114754099)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:38.232911,"(3.4, 5.6, 5.550819672131147)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:39.422069,"(3.4, 5.6, 5.550819672131147)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:40.592146,"(3.4, 5.6, 5.550819672131147)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:41.732800,"(3.4, 5.6, 5.550819672131147)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(6.5, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:43.168692,"(3.5, 5.6, 5.509090909090909)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:44.330254,"(3.5, 5.6, 5.509090909090909)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:45.508111,"(3.5, 5.6, 5.509090909090909)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.946153846153846)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:46.692015,"(3.5, 5.6, 5.509090909090909)","(7.5, 11.5, 9.66)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.5, 4.930769230769231)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:47.966138,"(3.5, 5.4, 5.361290322580645)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.3, 4.930769230769231)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:49.222241,"(3.5, 5.4, 5.361290322580645)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.8125)","(3.9, 5.3, 4.919047619047619)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 102.5)"
07-12-2022 19:19:50.526943,"(3.5, 5.4, 5.361290322580645)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 20.0, 17.9)","(3.9, 5.3, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 157.5)"
07-12-2022 19:19:51.858397,"(3.5, 5.4, 5.361290322580645)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 157.5)"
07-12-2022 19:19:52.962127,"(3.5, 5.4, 5.361290322580645)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 157.5)"
07-12-2022 19:19:54.044688,"(3.5, 5.4, 5.311111111111112)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 106.25)"
07-12-2022 19:19:55.242047,"(3.5, 5.4, 5.273170731707317)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 106.25)"
07-12-2022 19:19:56.579050,"(3.5, 5.4, 5.273170731707317)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 106.25)"
07-12-2022 19:19:57.812044,"(3.5, 5.4, 5.273170731707317)","(7.5, 11.0, 9.274999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 106.25)"
07-12-2022 19:19:59.026287,"(3.5, 5.4, 5.273170731707317)","(7.5, 11.0, 9.559999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 260.0, 120.0)"
07-12-2022 19:20:00.203763,"(3.5, 5.4, 5.283544303797469)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 250.0, 101.25)"
07-12-2022 19:20:01.271405,"(3.5, 5.4, 5.283544303797469)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 101.25)"
07-12-2022 19:20:02.354071,"(3.5, 5.4, 5.273170731707317)","(7.5, 11.0, 9.559999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 101.25)"
07-12-2022 19:20:03.409109,"(3.5, 5.4, 5.273170731707317)","(7.5, 12.0, 9.6)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 29.333333333333332)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 101.25)"
07-12-2022 19:20:04.600302,"(3.5, 5.4, 5.283544303797469)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 101.25)"
07-12-2022 19:20:06.010060,"(3.5, 5.4, 5.283544303797469)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 17.75)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.666666666666664)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 101.25)"
07-12-2022 19:20:07.122765,"(3.5, 5.4, 5.273170731707317)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.5, 18.5)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.6)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 240.0, 98.75)"
07-12-2022 19:20:08.303736,"(3.5, 5.4, 5.273170731707317)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.666666666666668)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.6)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 230.0, 110.0)"
07-12-2022 19:20:09.477803,"(3.5, 5.4, 5.273170731707317)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.666666666666668)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.6)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 220.0, 106.66666666666666)"
07-12-2022 19:20:10.656294,"(3.5, 5.4, 5.2698795180722895)","(7.5, 12.0, 9.899999999999999)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.6)","(3.9, 5.2, 4.96)","(21.0, 32.0, 30.6)","(7.5, 9.0, 8.672727272727272)","(7.0, 9.0, 8.781818181818181)","(51.0, 210.0, 165.71428571428572)"
07-12-2022 19:20:11.921133,"(3.5, 5.3, 5.294736842105263)","(7.5, 12.0, 10.95)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.5)","(3.9, 5.2, 4.96)","(21.0, 32.0, 35.0)","(7.5, 9.0, 8.723076923076922)","(7.0, 9.0, 8.85)","(51.0, 210.0, 158.57142857142858)"
07-12-2022 19:20:13.047264,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.95)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 40.0, 33.8)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 130.0)"
07-12-2022 19:20:18.466337,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 30.0)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 130.0)"
07-12-2022 19:20:19.649257,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 31.6)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 130.0)"
07-12-2022 19:20:20.812048,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 31.6)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 153.33333333333331)"
07-12-2022 19:20:22.095910,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 31.6)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 153.33333333333331)"
07-12-2022 19:20:23.321713,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 31.6)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 153.33333333333331)"
07-12-2022 19:20:24.641161,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 34.0, 38.25)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 200.0, 204.0)"
07-12-2022 19:20:26.082345,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 40.0, 31.333333333333332)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:27.345197,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 40.0, 30.25)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:28.766378,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 40.0, 30.666666666666668)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:30.030366,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:31.232109,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:32.562969,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:34.004316,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 204.0)"
07-12-2022 19:20:35.467286,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 240.0, 164.0)"
07-12-2022 19:20:36.749125,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 190.0, 164.0)"
07-12-2022 19:20:37.976858,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 190.0, 164.0)"
07-12-2022 19:20:39.118959,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 190.0, 164.0)"
07-12-2022 19:20:40.462369,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.25)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 33.285714285714285)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 190.0, 164.0)"
07-12-2022 19:20:41.716532,"(3.5, 5.3, 5.295384615384616)","(7.5, 12.0, 10.472727272727273)","(4.8, 5.6, 5.466666666666667)","(13.0, 19.0, 18.91176470588235)","(3.9, 5.2, 4.927272727272728)","(21.0, 38.0, 32.142857142857146)","(7.5, 9.0, 8.714285714285714)","(7.0, 9.0, 8.85)","(51.0, 190.0, 140.0)"
