,Hurricane Gypsy,Sweet Life,Adonis Sands,Gai Water Star,Tangerine Sands,Not Guilty,Uforo Bale,Whippy Flash
20,"[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 37, 675471), 3.4, 3.8]"
21,"[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 38, 816171), 3.4, 3.8]"
22,"[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 39, 955376), 3.4, 3.8]"
23,"[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 41, 88053), 3.4, 3.8]"
24,"[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 42, 232760), 3.4, 3.8]"
25,"[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 43, 396080), 3.4, 3.8]"
26,"[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 44, 533076), 3.4, 3.8]"
27,"[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 45, 664858), 3.4, 3.8]"
28,"[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 46, 811264), 3.4, 3.8]"
29,"[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 47, 966784), 3.4, 3.8]"
