,Daysan,Vintage Diesel,Kypreos,Jack Duggan,Youthfull,Chappelli,See The Master
14-12-2022 12:32:14.785275,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 470.0, 462.41379310344826)"
14-12-2022 12:32:16.020164,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.2)","(101.0, 460.0, 439.8305084745763)"
14-12-2022 12:32:17.227041,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.2)","(101.0, 450.0, 439.8305084745763)"
14-12-2022 12:32:18.379001,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:19.540068,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:20.682081,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:21.836527,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 10.058823529411764)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:22.923510,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.5625)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:24.092839,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:25.246491,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:26.399860,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:27.627141,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:28.762500,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:29.958568,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:31.186801,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 433.44827586206895)"
14-12-2022 12:32:32.671026,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 440.0, 446.49122807017545)"
14-12-2022 12:32:33.963610,"(10.0, 13.0, 12.714285714285714)","(31.0, 75.0, 72.85714285714286)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626865671641791)","(4.4, 5.2, 5.105128205128206)","(7.0, 10.5, 9.6)","(101.0, 450.0, 446.49122807017545)"
14-12-2022 12:32:35.536283,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.626470588235294)","(4.4, 5.1, 4.95679012345679)","(7.0, 10.0, 9.914285714285715)","(101.0, 520.0, 501.0344827586207)"
14-12-2022 12:32:36.858590,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.6439024390243904)","(4.4, 5.1, 4.938888888888889)","(7.0, 10.0, 9.914285714285715)","(101.0, 510.0, 501.0344827586207)"
14-12-2022 12:32:38.207307,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.6439024390243904)","(4.4, 5.1, 4.938888888888889)","(7.0, 10.0, 9.914285714285715)","(101.0, 510.0, 496.77966101694915)"
14-12-2022 12:32:39.753388,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.624)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.929411764705883)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:41.180358,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.624)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.929411764705883)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:42.486888,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.624)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.929411764705883)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:43.910546,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.624)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.929411764705883)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:45.202980,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.6249056603773586)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.914285714285715)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:46.399642,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 65.0)","(4.0, 5.0, 4.984848484848484)","(2.15, 2.72, 2.6249056603773586)","(4.4, 5.1, 4.958536585365854)","(7.0, 10.0, 9.914285714285715)","(101.0, 500.0, 487.2881355932203)"
14-12-2022 12:32:47.623183,"(10.0, 12.5, 12.285714285714285)","(31.0, 70.0, 63.68421052631579)","(4.0, 5.0, 4.981481481481482)","(2.15, 2.72, 2.730769230769231)","(4.4, 5.1, 4.873170731707317)","(7.0, 10.0, 9.977142857142857)","(101.0, 500.0, 481.42857142857144)"
14-12-2022 12:32:48.913177,"(10.0, 12.0, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.98019801980198)","(2.15, 2.8, 2.6585)","(4.4, 5.1, 4.997560975609756)","(7.0, 10.0, 9.88)","(101.0, 490.0, 471.7857142857143)"
14-12-2022 12:32:50.141081,"(10.0, 12.5, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.98019801980198)","(2.15, 2.78, 2.6585)","(4.4, 5.1, 4.976086956521739)","(7.0, 10.0, 9.88)","(101.0, 480.0, 452.5)"
14-12-2022 12:32:51.429242,"(10.0, 12.5, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 460.0, 448.9473684210526)"
14-12-2022 12:32:52.734119,"(10.0, 12.5, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 460.0, 448.9473684210526)"
14-12-2022 12:32:53.966178,"(10.0, 12.5, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 460.0, 448.9473684210526)"
14-12-2022 12:32:55.279132,"(10.0, 12.5, 12.3)","(31.0, 70.0, 62.5)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 460.0, 439.4736842105263)"
14-12-2022 12:32:56.668063,"(10.0, 12.5, 12.3)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:32:57.948831,"(10.0, 12.5, 12.3)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6540909090909093)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:32:59.297011,"(10.0, 12.5, 12.3)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6455)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.88)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:33:00.658736,"(10.0, 12.5, 12.3)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6455)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.0, 9.8)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:33:01.968370,"(10.0, 13.5, 12.042857142857143)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6455)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.5, 9.8)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:33:03.205132,"(10.0, 13.5, 12.042857142857143)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.982142857142857)","(2.15, 2.74, 2.6350000000000002)","(4.4, 5.1, 5.053086419753086)","(7.0, 10.5, 9.8)","(101.0, 450.0, 439.4736842105263)"
14-12-2022 12:33:04.534819,"(10.0, 13.5, 12.088235294117647)","(31.0, 65.0, 64.0)","(4.0, 5.0, 4.885148514851485)","(2.15, 2.74, 2.746352941176471)","(4.4, 5.1, 4.977049180327869)","(7.0, 10.5, 9.381333333333334)","(101.0, 450.0, 439.28571428571433)"
14-12-2022 12:33:05.956963,"(10.0, 11.0, 12.583333333333334)","(31.0, 65.0, 63.0)","(4.0, 4.9, 4.974025974025974)","(2.15, 2.76, 2.662857142857143)","(4.4, 5.0, 5.011627906976744)","(7.0, 9.4, 9.907692307692308)","(101.0, 450.0, 456.1111111111111)"
14-12-2022 12:33:07.225180,"(10.0, 13.0, 12.375)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.76, 2.6623076923076923)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.907692307692308)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:08.614630,"(10.0, 13.0, 12.2)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.72, 2.6458823529411766)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.907692307692308)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:10.096847,"(10.0, 13.5, 12.142857142857142)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.72, 2.6458823529411766)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.907692307692308)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:11.475530,"(10.0, 13.5, 12.142857142857142)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.72, 2.6375903614457834)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.986666666666666)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:12.843753,"(10.0, 13.5, 12.777777777777779)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.72, 2.665)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:14.192617,"(10.0, 13.0, 12.777777777777779)","(31.0, 65.0, 63.0)","(4.0, 5.0, 4.976190476190476)","(2.15, 2.7, 2.665)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:15.616394,"(10.0, 13.0, 12.777777777777779)","(31.0, 65.0, 63.214285714285715)","(4.0, 5.0, 4.96875)","(2.15, 2.7, 2.7006451612903226)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:17.008502,"(10.0, 13.0, 12.777777777777779)","(31.0, 65.0, 60.3125)","(4.0, 5.0, 4.96875)","(2.15, 2.72, 2.6838709677419357)","(4.4, 5.1, 5.036666666666666)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:18.461538,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 51.2)","(4.0, 5.0, 4.96875)","(2.15, 2.7, 2.678)","(4.4, 5.1, 5.06078431372549)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:19.773229,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 56.375)","(4.0, 5.0, 4.96875)","(2.15, 2.72, 2.678)","(4.4, 5.1, 5.06078431372549)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:21.180683,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 56.375)","(4.0, 5.0, 4.96875)","(2.15, 2.72, 2.678)","(4.4, 5.1, 5.06078431372549)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:22.440661,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 58.42857142857143)","(4.0, 5.0, 4.964912280701754)","(2.15, 2.72, 2.678)","(4.4, 5.1, 5.06078431372549)","(7.0, 10.5, 9.799999999999999)","(101.0, 460.0, 456.1111111111111)"
14-12-2022 12:33:23.803294,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 58.42857142857143)","(4.0, 5.0, 4.964912280701754)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 10.5, 9.799999999999999)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:25.274621,"(10.0, 13.0, 12.923076923076923)","(31.0, 65.0, 58.42857142857143)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 10.5, 9.799999999999999)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:26.943019,"(10.0, 13.0, 12.930232558139535)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 10.5, 9.736585365853658)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:28.417582,"(10.0, 13.0, 12.930232558139535)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 11.0, 9.736585365853658)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:29.796044,"(10.0, 13.0, 12.930232558139535)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 11.0, 9.736585365853658)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:31.075626,"(10.0, 13.0, 12.930232558139535)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.7, 2.6456140350877195)","(4.4, 5.1, 5.062962962962962)","(7.0, 11.0, 9.736585365853658)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:32.388584,"(10.0, 13.0, 12.930232558139535)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.936231884057971)","(2.15, 2.7, 2.6390000000000002)","(4.4, 5.1, 5.062962962962962)","(7.0, 11.0, 9.959999999999999)","(101.0, 450.0, 442.72727272727275)"
14-12-2022 12:33:33.685182,"(10.0, 13.0, 12.777777777777779)","(31.0, 65.0, 60.4)","(4.0, 5.0, 4.951612903225806)","(2.15, 2.66, 2.67375)","(4.4, 5.1, 5.044444444444444)","(7.0, 10.5, 9.76)","(101.0, 450.0, 442.72727272727275)"
