,The Whizzer,Remarkable Rock,Twelve Oclock Rock,Bettor Arcade,Ideal Muscle
11-01-2023 15:49:48.285310,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:49.223825,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:50.187288,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:51.141339,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:52.019155,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:52.980358,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:53.987727,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:54.924923,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:55.878176,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:56.844795,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:57.848083,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:58.814083,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:49:59.738910,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:00.730799,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:01.636815,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:02.541334,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:03.454103,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:04.420273,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:05.482135,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:06.521423,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:07.486108,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:08.708290,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:09.682162,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:10.827593,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:11.745120,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:12.778893,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:13.741960,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:14.594671,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:15.565890,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:16.479934,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:17.400842,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:18.338759,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:19.285017,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:20.246093,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:21.203507,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:22.136343,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:23.189416,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:24.172903,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:25.177460,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:26.164281,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:27.038239,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:27.953667,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:28.923965,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:29.823913,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:30.665255,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:31.595322,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:32.475892,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:33.361536,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:34.316416,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:35.207513,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:36.058034,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:37.036108,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:38.018639,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:38.968135,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:39.852373,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:40.731689,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:41.570578,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.7, 2.102)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:42.413012,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:43.317374,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:44.213258,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:45.113574,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:46.054675,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:47.065788,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:48.063876,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:48.931303,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:49.865462,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:50.768375,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:51.726086,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:52.650906,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:53.528344,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:54.490514,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:55.393308,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:56.241638,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:57.098947,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.68, 2.1170370370370373)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:58.048896,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:58.911197,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:50:59.822013,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:00.666605,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:01.479181,"(7.0, 13.0, 10.733333333333334)","(8.5, 16.0, 13.8)","(26.0, 210.0, 83.0)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:02.332099,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:03.228907,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:04.211211,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:05.175930,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:06.062568,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:06.997059,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:07.904882,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:08.789541,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:09.671957,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:10.602110,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:11.448051,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:12.397372,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:13.358114,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:14.223703,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:15.016353,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:15.857892,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:16.764398,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
11-01-2023 15:51:17.779320,"(7.0, 13.0, 11.057142857142857)","(8.5, 16.0, 13.96923076923077)","(26.0, 210.0, 92.5)","(1.95, 2.66, 2.4955555555555557)","(2.3, 3.45, 3.1475)"
