,So Daring,The Snuggler,Bringme,Gepard,Hoff His Face,Von Crumb,Maralah,Shapin Power,Valiant Joan,Princess Pollyanna,Pheebles Spirit,Slinkys Star
05-01-2023 13:44:21.051015,"(19.0, 40.0, 36.666666666666664)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.023809523809526)","(2.6, 3.15, 3.0866666666666664)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:22.464291,"(19.0, 40.0, 36.666666666666664)","(3.9, 4.8, 4.424242424242425)","(91.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(71.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.023809523809526)","(2.6, 3.15, 3.0866666666666664)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.80232558139535)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:23.777717,"(18.0, 40.0, 36.666666666666664)","(3.9, 4.8, 4.424242424242425)","(81.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 18.023809523809526)","(2.7, 3.15, 3.0866666666666664)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.64)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:25.230798,"(18.0, 40.0, 37.42857142857143)","(3.9, 4.8, 4.424242424242425)","(81.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 18.023809523809526)","(2.7, 3.15, 3.0866666666666664)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.64)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:26.600035,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.8, 4.424242424242425)","(81.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.958333333333332)","(2.7, 3.15, 3.0957142857142856)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.64)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:27.898152,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.8, 4.424242424242425)","(81.0, 130.0, 106.66666666666667)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.958333333333332)","(2.7, 3.15, 3.065)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.733333333333333)","(31.0, 70.0, 55.333333333333336)"
05-01-2023 13:44:29.333829,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.5058823529411764)","(81.0, 120.0, 114.61538461538461)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.90740740740741)","(2.7, 3.15, 3.065)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.733333333333333)","(31.0, 70.0, 55.333333333333336)"
05-01-2023 13:44:30.691073,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.5058823529411764)","(81.0, 120.0, 114.61538461538461)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.90740740740741)","(2.7, 3.15, 3.065)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.733333333333333)","(31.0, 70.0, 55.333333333333336)"
05-01-2023 13:44:31.991896,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.5058823529411764)","(81.0, 110.0, 102.1875)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.90740740740741)","(2.7, 3.15, 3.090869565217391)","(5.5, 7.6, 7.485714285714286)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.733333333333333)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:33.261706,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 7.6, 7.866666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.0, 12.741379310344827)","(31.0, 70.0, 56.285714285714285)"
05-01-2023 13:44:34.563642,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.0, 7.557142857142857)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 70.0, 76.0)"
05-01-2023 13:44:35.872114,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.2, 7.5636363636363635)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 90.0, 66.5)"
05-01-2023 13:44:37.130294,"(18.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(15.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.0, 7.466666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 85.0, 66.5)"
05-01-2023 13:44:38.624474,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.0, 7.466666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 85.0, 60.8)"
05-01-2023 13:44:40.059355,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.0, 7.466666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 80.0, 61.5)"
05-01-2023 13:44:41.436080,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 17.772727272727273)","(2.7, 3.15, 3.090869565217391)","(5.5, 8.0, 7.466666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 75.0, 56.8)"
05-01-2023 13:44:43.311129,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.492307692307692)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 17.772727272727273)","(2.6, 3.15, 3.090869565217391)","(5.5, 8.0, 7.466666666666667)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:44.736969,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 18.5, 18.572649572649574)","(2.6, 3.15, 3.090869565217391)","(5.5, 8.0, 7.4222222222222225)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:46.205828,"(19.0, 40.0, 37.42857142857143)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.53271028037383)","(2.6, 3.15, 3.090869565217391)","(5.5, 8.0, 7.381818181818182)","(101.0, 240.0, 200.0)","(11.0, 13.5, 12.712121212121213)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:47.842554,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.53271028037383)","(2.6, 3.15, 3.055)","(5.5, 8.0, 7.472727272727273)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.0)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:49.222102,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.53271028037383)","(2.6, 3.1, 3.055)","(5.5, 7.8, 7.628571428571428)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.0)","(31.0, 70.0, 58.0)"
05-01-2023 13:44:50.586133,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.53271028037383)","(2.6, 3.1, 3.055)","(5.5, 7.8, 7.507692307692308)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.0)","(31.0, 70.0, 58.0)"
05-01-2023 13:44:52.068899,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.53271028037383)","(2.6, 3.1, 3.055)","(5.5, 8.0, 7.628571428571428)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.0)","(31.0, 70.0, 58.0)"
05-01-2023 13:44:53.604368,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4750000000000005)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.50980392156863)","(2.6, 3.1, 3.053846153846154)","(5.5, 7.8, 7.628571428571428)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.0)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:55.057072,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.45)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.50980392156863)","(2.6, 3.1, 3.053846153846154)","(5.5, 7.8, 7.628571428571428)","(101.0, 240.0, 200.0)","(11.0, 14.0, 13.0)","(31.0, 70.0, 56.8)"
05-01-2023 13:44:56.471198,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.45)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.50980392156863)","(2.6, 3.1, 3.053846153846154)","(5.5, 7.8, 7.6)","(101.0, 240.0, 200.0)","(11.0, 14.0, 13.277777777777779)","(31.0, 70.0, 58.0)"
05-01-2023 13:44:57.896639,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.45)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.50980392156863)","(2.6, 3.1, 3.0364705882352943)","(5.5, 8.0, 7.507692307692308)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.083333333333334)","(31.0, 70.0, 58.0)"
05-01-2023 13:44:59.329830,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.45)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.773913043478261)","(16.0, 19.0, 18.50980392156863)","(2.6, 3.1, 3.0364705882352943)","(5.5, 8.0, 7.507692307692308)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.083333333333334)","(31.0, 70.0, 58.0)"
05-01-2023 13:45:00.679484,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4837837837837835)","(81.0, 110.0, 99.28571428571429)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.771428571428572)","(16.0, 19.0, 18.516129032258064)","(2.6, 3.1, 3.0364705882352943)","(5.5, 8.0, 7.5200000000000005)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.083333333333334)","(31.0, 70.0, 58.0)"
05-01-2023 13:45:02.000672,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4837837837837835)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.771428571428572)","(16.0, 19.0, 18.516129032258064)","(2.6, 3.1, 3.0364705882352943)","(5.5, 8.0, 7.5200000000000005)","(101.0, 240.0, 200.0)","(11.0, 13.5, 13.227272727272727)","(31.0, 70.0, 56.8)"
05-01-2023 13:45:03.412200,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4837837837837835)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 95.0)","(7.5, 9.8, 9.771428571428572)","(16.0, 19.0, 18.558823529411764)","(2.6, 3.1, 3.0364705882352943)","(5.5, 8.0, 7.5200000000000005)","(101.0, 240.0, 257.14285714285717)","(11.0, 13.5, 12.977777777777778)","(31.0, 70.0, 58.0)"
05-01-2023 13:45:04.859181,"(19.0, 40.0, 37.27272727272727)","(3.8, 4.7, 4.4837837837837835)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 104.54545454545455)","(7.5, 9.8, 9.428571428571429)","(16.0, 19.0, 18.558823529411764)","(2.6, 3.1, 3.053846153846154)","(5.5, 8.0, 7.5200000000000005)","(101.0, 280.0, 250.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 70.0, 56.8)"
05-01-2023 13:45:06.346277,"(19.0, 40.0, 38.15384615384615)","(3.8, 4.7, 4.4511111111111115)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.416216216216215)","(16.0, 19.0, 17.714285714285715)","(2.6, 3.1, 3.053846153846154)","(5.5, 8.0, 7.466666666666667)","(101.0, 270.0, 215.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 70.0, 56.8)"
05-01-2023 13:45:07.809407,"(19.0, 40.0, 38.15384615384615)","(3.8, 4.7, 4.4511111111111115)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.416216216216215)","(16.0, 19.0, 17.636363636363637)","(2.6, 3.1, 3.0933333333333333)","(5.5, 8.0, 7.466666666666667)","(101.0, 270.0, 247.14285714285714)","(11.0, 13.0, 12.61111111111111)","(31.0, 70.0, 56.8)"
05-01-2023 13:45:09.225782,"(19.0, 40.0, 36.0)","(3.8, 4.6, 4.49090909090909)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.416216216216215)","(16.0, 19.0, 17.636363636363637)","(2.6, 3.15, 3.1075)","(5.5, 8.0, 7.828571428571429)","(101.0, 270.0, 215.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 70.0, 77.6)"
05-01-2023 13:45:10.638575,"(19.0, 40.0, 36.0)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.380645161290323)","(16.0, 19.0, 17.636363636363637)","(2.6, 3.15, 3.0954545454545452)","(5.5, 8.4, 7.933333333333333)","(101.0, 270.0, 240.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 85.0, 60.8)"
05-01-2023 13:45:12.046882,"(19.0, 38.0, 37.0)","(3.8, 4.6, 4.42)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 104.54545454545455)","(7.5, 9.6, 9.357142857142856)","(16.0, 19.0, 17.636363636363637)","(2.6, 3.15, 3.0954545454545452)","(5.5, 8.2, 7.533333333333333)","(101.0, 260.0, 235.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 80.0, 60.8)"
05-01-2023 13:45:13.444718,"(19.0, 38.0, 37.0)","(3.8, 4.6, 4.42)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.357142857142856)","(16.0, 19.0, 17.636363636363637)","(2.6, 3.15, 3.0954545454545452)","(5.5, 8.2, 7.533333333333333)","(101.0, 260.0, 240.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 80.0, 60.8)"
05-01-2023 13:45:14.917518,"(19.0, 38.0, 36.0)","(3.8, 4.6, 4.42)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.357142857142856)","(16.0, 19.0, 17.846846846846848)","(2.6, 3.15, 3.0954545454545452)","(5.5, 8.2, 7.533333333333333)","(101.0, 260.0, 240.0)","(11.0, 13.0, 12.61111111111111)","(31.0, 80.0, 60.8)"
05-01-2023 13:45:16.381018,"(19.0, 38.0, 37.0)","(3.8, 4.6, 4.42)","(81.0, 110.0, 98.0)","(61.0, 160.0, 120.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.357142857142856)","(16.0, 19.0, 17.9)","(2.6, 3.15, 3.11)","(5.5, 8.2, 7.7)","(101.0, 260.0, 246.66666666666666)","(11.0, 13.0, 12.621621621621621)","(31.0, 80.0, 62.0)"
05-01-2023 13:45:17.815282,"(19.0, 38.0, 36.76190476190476)","(3.8, 4.6, 4.49090909090909)","(81.0, 110.0, 98.0)","(61.0, 160.0, 108.57142857142857)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 17.833333333333332)","(2.6, 3.15, 3.0976923076923075)","(5.5, 8.0, 7.628571428571428)","(101.0, 260.0, 320.0)","(11.0, 13.0, 12.584415584415584)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:19.475132,"(19.0, 42.0, 36.76190476190476)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 98.0)","(61.0, 160.0, 108.33333333333333)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 17.833333333333332)","(2.6, 3.15, 3.0976923076923075)","(5.5, 7.8, 7.6909090909090905)","(101.0, 400.0, 270.0)","(11.0, 13.0, 12.584415584415584)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:21.021940,"(19.0, 42.0, 35.333333333333336)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 98.0)","(61.0, 150.0, 108.33333333333333)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 17.928571428571427)","(2.6, 3.15, 3.0976923076923075)","(5.5, 7.8, 7.676923076923077)","(101.0, 390.0, 310.0)","(11.0, 13.0, 12.584415584415584)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:22.426957,"(19.0, 42.0, 35.333333333333336)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 98.0)","(61.0, 150.0, 110.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 17.928571428571427)","(2.6, 3.15, 3.1204347826086956)","(5.5, 7.8, 7.727272727272727)","(101.0, 380.0, 261.6666666666667)","(11.0, 13.0, 12.584415584415584)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:23.797252,"(19.0, 42.0, 35.333333333333336)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 98.0)","(61.0, 150.0, 110.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 17.8)","(2.6, 3.15, 3.107142857142857)","(5.5, 7.8, 7.35)","(101.0, 370.0, 295.0)","(11.0, 13.0, 12.584415584415584)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:25.344957,"(19.0, 42.0, 35.333333333333336)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 99.28571428571429)","(61.0, 150.0, 110.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 18.442028985507246)","(2.6, 3.15, 3.107142857142857)","(5.5, 7.8, 7.35)","(101.0, 350.0, 256.6666666666667)","(11.0, 13.0, 12.48913043478261)","(31.0, 80.0, 57.5)"
05-01-2023 13:45:26.930564,"(19.0, 42.0, 35.333333333333336)","(3.8, 4.6, 4.461538461538462)","(81.0, 110.0, 107.85714285714286)","(61.0, 150.0, 110.0)","(61.0, 110.0, 100.0)","(7.5, 9.6, 9.348148148148148)","(16.0, 18.5, 18.442028985507246)","(2.6, 3.15, 3.107142857142857)","(5.5, 7.8, 7.727272727272727)","(101.0, 340.0, 280.0)","(11.0, 13.0, 12.48913043478261)","(31.0, 80.0, 57.5)"
