,Maddys Girl,Andos A Thief,Miss Mel,Cashmere Kaos,Book Of Love,Deep Sapphire,Shes A Sully
04-01-2023 14:28:08.837532,"(14.0, 34.0, 29.166666666666664)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:09.943478,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:11.077276,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:12.229836,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:13.376367,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:14.530297,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:15.685813,"(14.0, 34.0, 31.2)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:16.838352,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:17.905565,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:18.925273,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:19.969674,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:21.032778,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.433333333333333)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:22.135111,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3714285714285714)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:23.476798,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3714285714285714)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
