,Homebush Abby,Homebush Classy,Know Stamina,Gotcha Charged,Goldstar Benji,Homebush Gracen,Lucky Luciano,My Idol
09-01-2023 09:02:11.861059,"(4.2, 8.4, 8.21875)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.7666666666666666)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.2, 7.366666666666667)"
09-01-2023 09:02:12.992014,"(4.2, 8.4, 8.21875)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.7666666666666666)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.2, 8.771428571428572)"
09-01-2023 09:02:14.153890,"(4.2, 8.4, 8.08)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.775675675675676)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 27.57142857142857)","(51.0, 400.0, 364.8)","(6.0, 9.0, 8.876923076923077)"
09-01-2023 09:02:15.277727,"(4.2, 8.4, 8.090909090909092)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.1, 3.890909090909091)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 29.105263157894736)","(51.0, 400.0, 364.8)","(6.0, 9.0, 8.876923076923077)"
09-01-2023 09:02:16.344483,"(4.2, 8.4, 8.090909090909092)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.890909090909091)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 26.7)","(51.0, 400.0, 364.8)","(6.0, 9.0, 8.876923076923077)"
09-01-2023 09:02:17.362732,"(4.2, 8.4, 8.125)","(21.0, 80.0, 72.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.875)","(3.4, 4.1, 3.939189189189189)","(12.0, 30.0, 26.7)","(51.0, 400.0, 364.8)","(6.0, 9.0, 8.290909090909091)"
09-01-2023 09:02:18.419711,"(4.2, 8.4, 8.125)","(21.0, 80.0, 60.333333333333336)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.9375)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 26.0)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:19.460224,"(4.2, 8.4, 8.125)","(21.0, 80.0, 65.5)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.9375)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 26.0)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:20.551948,"(4.2, 8.4, 8.125)","(21.0, 80.0, 70.33333333333333)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.9375)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 26.125)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:21.709265,"(4.2, 8.4, 8.125)","(21.0, 80.0, 72.75)","(6.5, 8.2, 7.628571428571429)","(3.1, 4.0, 3.9375)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:22.820802,"(4.2, 8.4, 7.866666666666667)","(21.0, 80.0, 70.5)","(6.5, 8.0, 7.8)","(3.1, 4.0, 3.9150943396226414)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:23.913533,"(4.2, 8.4, 7.866666666666667)","(21.0, 80.0, 73.66666666666666)","(6.5, 8.0, 7.611764705882353)","(3.1, 4.0, 3.90625)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:25.012591,"(4.2, 8.4, 8.266666666666666)","(21.0, 80.0, 66.0)","(6.5, 8.0, 7.5636363636363635)","(3.1, 4.0, 3.90625)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:26.086232,"(4.2, 8.4, 6.85)","(21.0, 80.0, 70.66666666666667)","(6.5, 8.0, 7.6571428571428575)","(3.1, 4.0, 3.90625)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:27.123577,"(4.2, 8.4, 7.78)","(21.0, 80.0, 61.666666666666664)","(6.5, 7.8, 7.666666666666667)","(3.1, 3.95, 3.9291666666666667)","(3.4, 4.1, 3.964772727272727)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 364.8)","(6.0, 8.8, 7.6000000000000005)"
09-01-2023 09:02:28.178567,"(4.2, 8.4, 8.21764705882353)","(21.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.9898148148148147)","(12.0, 30.0, 27.714285714285715)","(51.0, 400.0, 382.40000000000003)","(6.0, 8.4, 7.6000000000000005)"
09-01-2023 09:02:29.223565,"(4.2, 8.4, 8.21764705882353)","(21.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.9898148148148147)","(12.0, 30.0, 19.647058823529413)","(51.0, 400.0, 283.33333333333337)","(6.0, 8.4, 8.133333333333333)"
09-01-2023 09:02:30.249286,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.9898148148148147)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 312.5)","(6.5, 8.4, 8.133333333333333)"
09-01-2023 09:02:31.292081,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.9898148148148147)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 312.5)","(6.5, 8.4, 8.011111111111111)"
09-01-2023 09:02:32.346511,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.9898148148148147)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 312.5)","(6.5, 8.4, 8.011111111111111)"
09-01-2023 09:02:33.460041,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.891304347826087)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 312.5)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:34.522812,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.891304347826087)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 312.5)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:35.588464,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.891304347826087)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:36.571937,"(4.2, 7.6, 6.487096774193548)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.891304347826087)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:37.594030,"(4.2, 7.6, 6.641666666666667)","(20.0, 80.0, 69.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.956410256410256)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:38.564353,"(4.2, 7.6, 6.641666666666667)","(20.0, 80.0, 66.5)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.916666666666667)","(3.4, 4.1, 3.956410256410256)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:39.592629,"(4.2, 7.6, 6.641666666666667)","(20.0, 80.0, 71.0)","(6.5, 7.8, 7.571428571428571)","(3.1, 3.95, 3.75)","(3.4, 4.1, 3.956410256410256)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:40.618201,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 62.333333333333336)","(6.5, 7.8, 7.5)","(3.1, 3.95, 3.6145833333333335)","(3.4, 4.1, 3.956410256410256)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:41.662507,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.95, 3.8036363636363637)","(3.4, 4.1, 3.8473684210526313)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 313.75)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:42.769972,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:43.831804,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:44.882937,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:45.955847,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.86)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:47.008679,"(4.2, 7.6, 6.605405405405405)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:48.065076,"(4.2, 7.6, 6.069565217391305)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.1, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:49.101818,"(4.4, 7.6, 6.069565217391305)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:50.180319,"(4.4, 7.6, 6.533333333333333)","(20.0, 80.0, 53.5)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:51.259786,"(4.4, 7.6, 6.533333333333333)","(20.0, 80.0, 75.58333333333334)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 331.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:52.299070,"(4.4, 7.6, 6.533333333333333)","(20.0, 80.0, 54.0)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7636363636363637)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 371.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:53.366217,"(4.4, 7.6, 6.246153846153846)","(20.0, 80.0, 54.0)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7095238095238092)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 332.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:54.377666,"(4.4, 7.6, 7.3999999999999995)","(20.0, 80.0, 54.0)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7068181818181816)","(3.4, 4.1, 3.9769230769230766)","(12.0, 30.0, 19.333333333333332)","(51.0, 400.0, 332.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:55.421697,"(4.4, 7.6, 6.866666666666667)","(20.0, 80.0, 54.0)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7068181818181816)","(3.4, 3.8, 3.776086956521739)","(12.0, 30.0, 19.05263157894737)","(51.0, 400.0, 288.33333333333337)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:56.410790,"(4.4, 7.6, 5.71)","(20.0, 80.0, 72.57142857142857)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7068181818181816)","(3.4, 4.1, 3.742857142857143)","(12.0, 30.0, 17.8125)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:57.426757,"(4.4, 7.6, 5.92)","(20.0, 80.0, 74.22222222222223)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 4.0, 3.666666666666667)","(12.0, 30.0, 17.8125)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:58.480809,"(4.4, 7.6, 6.533333333333333)","(20.0, 80.0, 74.22222222222223)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 4.0, 3.62)","(12.0, 30.0, 19.166666666666668)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:02:59.563481,"(4.4, 7.6, 6.6000000000000005)","(20.0, 80.0, 74.22222222222223)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 4.0, 3.62)","(12.0, 30.0, 20.714285714285715)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:00.587061,"(4.4, 8.8, 8.285714285714286)","(20.0, 80.0, 74.22222222222223)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 4.0, 3.658333333333333)","(12.0, 30.0, 20.714285714285715)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:01.683176,"(4.4, 8.8, 8.25)","(20.0, 80.0, 74.22222222222223)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 3.95, 3.621875)","(12.0, 30.0, 20.714285714285715)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:02.697216,"(4.4, 8.8, 8.25)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.7365384615384616)","(3.4, 3.95, 3.621875)","(12.0, 30.0, 20.714285714285715)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:03.681195,"(4.4, 8.8, 8.360000000000001)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.95, 3.6175)","(12.0, 29.0, 18.615384615384617)","(51.0, 400.0, 316.25)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:04.680330,"(4.4, 8.8, 8.360000000000001)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.0)","(51.0, 400.0, 317.5)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:05.682321,"(4.4, 8.8, 8.360000000000001)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 18.6)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:06.667262,"(4.4, 8.8, 8.360000000000001)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.842105263157894)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:07.711149,"(4.4, 8.8, 8.360000000000001)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 18.764705882352942)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:08.708394,"(4.4, 7.8, 7.55)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.11764705882353)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:09.756117,"(4.4, 7.8, 7.4)","(20.0, 80.0, 77.26315789473685)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.819811320754717)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.11764705882353)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:10.842705,"(4.4, 7.8, 7.6)","(20.0, 80.0, 77.11111111111111)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.8107142857142855)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 334.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:11.880660,"(4.4, 7.8, 7.676923076923077)","(20.0, 80.0, 77.11111111111111)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.8107142857142855)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 372.5)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:12.859921,"(4.4, 7.8, 7.676923076923077)","(20.0, 80.0, 77.11111111111111)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.8074074074074074)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 318.75)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:13.891816,"(4.4, 7.8, 7.676923076923077)","(20.0, 80.0, 77.11111111111111)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.8166666666666664)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 291.66666666666663)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:14.887134,"(4.4, 7.8, 7.711111111111111)","(20.0, 80.0, 77.11111111111111)","(6.5, 7.8, 7.5)","(3.2, 3.9, 3.6875)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 291.66666666666663)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:15.948274,"(4.4, 7.8, 7.717948717948718)","(20.0, 80.0, 78.14285714285714)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.675)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 19.375)","(51.0, 400.0, 291.66666666666663)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:16.986856,"(4.4, 7.8, 7.708571428571428)","(20.0, 80.0, 69.8)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.675)","(3.4, 3.9, 3.8464285714285715)","(12.0, 29.0, 17.692307692307693)","(51.0, 400.0, 291.66666666666663)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:18.026747,"(4.4, 7.8, 7.708571428571428)","(20.0, 80.0, 55.0)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.675)","(3.4, 3.9, 3.8642857142857143)","(12.0, 29.0, 19.666666666666668)","(51.0, 400.0, 274.0)","(6.5, 8.4, 7.861538461538462)"
09-01-2023 09:03:19.056461,"(4.4, 7.8, 7.7)","(20.0, 80.0, 56.0)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.675)","(3.4, 3.9, 3.8642857142857143)","(12.0, 28.0, 19.666666666666668)","(51.0, 400.0, 274.0)","(6.5, 8.4, 8.095652173913043)"
09-01-2023 09:03:20.047248,"(4.4, 7.8, 7.7)","(20.0, 80.0, 68.5)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.789344262295082)","(3.4, 3.9, 3.8642857142857143)","(12.0, 28.0, 19.25)","(51.0, 400.0, 295.0)","(6.5, 8.4, 8.095652173913043)"
09-01-2023 09:03:21.031189,"(4.4, 7.8, 7.7)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.789344262295082)","(3.4, 3.9, 3.8642857142857143)","(12.0, 28.0, 17.375)","(51.0, 400.0, 295.0)","(6.5, 8.4, 8.095652173913043)"
09-01-2023 09:03:22.007117,"(4.4, 7.8, 7.7)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.789344262295082)","(3.4, 3.9, 3.860526315789474)","(12.0, 28.0, 17.375)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.9625)"
09-01-2023 09:03:23.020805,"(4.4, 10.5, 8.64)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.7392857142857143)","(3.4, 3.9, 3.7928571428571427)","(12.0, 28.0, 17.705882352941178)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.9625)"
09-01-2023 09:03:24.039961,"(4.4, 10.0, 8.142857142857142)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.8, 7.470588235294118)","(3.2, 3.9, 3.7392857142857143)","(3.4, 3.9, 3.8142857142857145)","(12.0, 28.0, 17.705882352941178)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.9625)"
09-01-2023 09:03:25.051791,"(4.4, 10.0, 8.916666666666668)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.8, 7.460606060606061)","(3.2, 3.9, 3.7392857142857143)","(3.4, 3.9, 3.8142857142857145)","(12.0, 28.0, 19.666666666666668)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.9625)"
09-01-2023 09:03:26.059160,"(4.4, 10.0, 8.916666666666668)","(20.0, 80.0, 64.66666666666667)","(6.5, 7.6, 7.566666666666666)","(3.2, 3.9, 3.7333333333333334)","(3.4, 3.9, 3.790909090909091)","(12.0, 28.0, 19.666666666666668)","(51.0, 400.0, 330.0)","(6.5, 8.4, 7.9625)"
