,Tiffany Twisted,True Character,Austin Dutton,Blazing Bob,Velocity Touched,Lizard,Jimary Everest,Context
12-01-2023 13:35:19.472020,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.25, 2.640909090909091)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:20.816884,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6363636363636362)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:22.159150,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:23.416871,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:24.811690,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:26.111337,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:27.452102,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:28.899851,"(51.0, 420.0, 383.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:30.177961,"(51.0, 420.0, 378.8888888888889)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:31.421060,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:32.650963,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:33.988975,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6342857142857143)","(9.0, 19.5, 16.375)","(51.0, 400.0, 257.77777777777777)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:35.500412,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.96, 2.6342857142857143)","(9.0, 19.5, 16.375)","(51.0, 420.0, 350.8333333333333)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:36.789226,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.96, 2.6342857142857143)","(9.0, 19.5, 16.375)","(51.0, 410.0, 350.8333333333333)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:38.327326,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.96, 2.6342857142857143)","(9.0, 19.5, 16.375)","(51.0, 410.0, 350.8333333333333)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:39.918927,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.96, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 410.0, 350.8333333333333)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:41.497348,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 410.0, 350.8333333333333)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:43.024589,"(51.0, 450.0, 410.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 410.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:44.355293,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:45.718917,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:47.204648,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 3.2, 2.6164705882352943)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:48.686027,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 3.2, 2.631818181818182)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:50.008578,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 3.15, 2.607142857142857)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:51.408128,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.323076923076923)","(2.4, 3.15, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:52.946322,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.6, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:54.315639,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:55.787420,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:57.609089,"(51.0, 450.0, 383.33333333333337)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:35:59.684357,"(51.0, 450.0, 325.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:01.199844,"(51.0, 490.0, 325.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:02.598314,"(51.0, 490.0, 325.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.65)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:04.008143,"(51.0, 490.0, 325.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:05.367394,"(51.0, 480.0, 288.8888888888889)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 384.16666666666663)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:06.700944,"(51.0, 470.0, 283.3333333333333)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 450.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:08.085867,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:09.508481,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:10.884912,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:12.239492,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:13.615013,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:14.964785,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:16.279442,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:17.691663,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:19.151659,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 48.333333333333336)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:20.570888,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6542857142857144)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 75.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:21.842927,"(51.0, 460.0, 277.77777777777777)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.1, 2.6227272727272726)","(9.0, 19.5, 16.375)","(51.0, 400.0, 252.22222222222223)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:23.141969,"(51.0, 470.0, 283.3333333333333)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.05, 2.618181818181818)","(9.0, 19.5, 16.375)","(51.0, 410.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:24.437843,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.618181818181818)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:25.732800,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 3.0, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:27.027570,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:28.304964,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 5.407692307692308)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:29.483005,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.726315789473684)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:30.812854,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.4, 4.726315789473684)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:32.152014,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.4, 4.726315789473684)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:33.426605,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.4, 4.845)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:34.758456,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:36.088549,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:37.398318,"(51.0, 460.0, 391.66666666666663)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 342.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:38.659674,"(51.0, 460.0, 375.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 400.0, 226.15384615384616)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:40.019285,"(51.0, 440.0, 375.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.63)","(9.0, 19.5, 16.375)","(51.0, 500.0, 417.5)","(21.0, 70.0, 46.0)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:41.462448,"(51.0, 440.0, 147.5)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.961111111111111)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 16.375)","(51.0, 490.0, 417.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:42.829373,"(51.0, 440.0, 155.0)","(9.0, 23.0, 13.0)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 13.666666666666666)","(51.0, 490.0, 171.25)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.8000000000000003)"
12-01-2023 13:36:44.353007,"(51.0, 440.0, 250.0)","(9.0, 23.0, 17.0)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 13.666666666666666)","(51.0, 490.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:45.790674,"(51.0, 420.0, 240.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:47.296081,"(51.0, 420.0, 240.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:48.545098,"(51.0, 420.0, 240.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.606666666666667)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:49.845337,"(51.0, 420.0, 132.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.6275)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:51.232736,"(51.0, 420.0, 132.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.96, 2.6275)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:52.564478,"(51.0, 420.0, 132.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.96, 2.6275)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:53.822258,"(51.0, 420.0, 132.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.96, 2.6275)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:55.089161,"(51.0, 420.0, 132.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.96, 2.63)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:56.295854,"(51.0, 420.0, 245.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.63)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:57.645323,"(51.0, 420.0, 140.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.63)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:36:58.932842,"(51.0, 420.0, 140.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.63)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
12-01-2023 13:37:00.196270,"(51.0, 420.0, 140.0)","(9.0, 23.0, 13.416666666666666)","(3.6, 5.7, 4.08125)","(2.4, 2.98, 2.63)","(9.0, 19.5, 13.666666666666666)","(51.0, 400.0, 232.5)","(21.0, 70.0, 30.88888888888889)","(3.2, 4.5, 3.566666666666667)"
