,Bucks Lodge,Astral Ride,Tricky Strong,Waynes Hope,Motivated Speaker,Brotherfromanother,Ridunculous
06-01-2023 09:08:21.751224,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:22.775027,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:23.814483,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:24.843168,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:25.874015,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:26.863211,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:27.881477,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:28.898780,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:29.956813,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:31.006017,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:31.990666,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:32.905940,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:33.828563,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:34.747747,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:35.682731,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:36.698305,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:37.696153,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:38.726725,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:39.691957,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:40.718668,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:41.700373,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:42.699394,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:43.623807,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:44.591628,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:45.569314,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:46.540087,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:47.556283,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:48.567643,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:49.594947,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.809090909090909)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:50.677259,"(5.0, 11.0, 6.38)","(1.65, 2.06, 1.8127272727272727)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:51.728728,"(5.0, 11.0, 6.38)","(1.65, 2.08, 1.4392857142857143)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:52.789623,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4481967213114753)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:53.803749,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:54.808955,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:55.777630,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:56.700168,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:57.678845,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:58.621973,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:08:59.578686,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:00.595047,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.4883076923076923)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:01.595920,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.412280701754386)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:02.612301,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.412280701754386)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:03.592977,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.412280701754386)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:04.596549,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.412280701754386)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:05.534829,"(5.0, 11.0, 6.38)","(1.65, 2.1, 1.412280701754386)","(8.0, 21.0, 14.0)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 31.38181818181818)","(31.0, 230.0, 187.2)"
06-01-2023 09:09:06.548415,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.4712280701754386)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.48)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:07.492726,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.4712280701754386)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.48)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:08.413659,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.5124590163934426)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.48)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:09.363591,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.5124590163934426)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.48)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:10.425520,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.5020338983050847)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.4)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:11.374961,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.4)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:12.284041,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.4)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:13.241467,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.4)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:14.231963,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.4)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:15.316938,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:16.277251,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:17.295031,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:18.270555,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:19.290693,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:20.292823,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
06-01-2023 09:09:21.287748,"(5.0, 10.5, 6.23)","(1.65, 2.1, 1.490877192982456)","(8.0, 22.0, 14.5)","(13.0, 26.0, 23.653333333333336)","(7.0, 19.0, 12.600000000000001)","(12.0, 34.0, 22.36)","(31.0, 230.0, 187.3)"
