,Wheel And Go,Fighting Boxer,Steal Your Style,Tyler Durden,Zipping James,Trenzalore,Mcivor Roxy
11-01-2023 12:10:03.732716,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:04.691184,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:05.696894,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:06.631064,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:07.635058,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:08.564449,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:09.582705,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:10.603745,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:11.621515,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:12.618313,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:13.666948,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:14.653100,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:15.644461,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:16.602147,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:17.589016,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:18.575916,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:19.501800,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:20.463342,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:21.415142,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:22.375962,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:23.353605,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:24.469885,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:25.486856,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:26.532277,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:27.533314,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:28.561529,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:29.543295,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:30.527202,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:31.450454,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:32.380456,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:33.393851,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:34.405423,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:35.427345,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:36.482741,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:37.541705,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:38.611824,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:39.634856,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:40.621086,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:41.592683,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:42.569370,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:43.578960,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:44.533831,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:45.493910,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:46.493261,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:47.492197,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:48.529440,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:49.576738,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:50.615409,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:51.664002,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:52.687745,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:53.719442,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:54.679116,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:55.678384,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:56.604359,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:57.580549,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:58.558589,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:10:59.629826,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:00.680437,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:01.739832,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:02.830030,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:03.890847,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:04.967941,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:05.953261,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:06.921893,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:07.856431,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:08.802398,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:09.766440,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:10.763444,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:11.804433,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:12.848921,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:13.852781,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:14.837622,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:15.812669,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:16.779503,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:17.754378,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:18.718027,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:19.675629,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:20.641867,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:21.627494,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:22.630792,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:23.664903,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:24.809020,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
11-01-2023 12:11:25.873145,"(1.3, 1.57, 1.3900000000000001)","(18.0, 80.0, 64.625)","(21.0, 90.0, 46.875)","(3.1, 5.6, 4.866666666666666)","(10.0, 28.0, 19.91111111111111)","(61.0, 570.0, 310.0)","(81.0, 580.0, 498.33333333333337)"
