,Akatino,Moenave,Breton,Dollar Dollar,Commanders Watch,Divine Purpose,Craiglea Agena
10-01-2023 14:39:10.618263,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:11.884293,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 183.33333333333334)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.9)"
10-01-2023 14:39:13.123728,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 175.0)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:14.549571,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 175.0)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:15.851587,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 44.0)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:17.349843,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 48.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:18.656346,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:19.967913,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6549999999999998)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:21.269503,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6563636363636363)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:22.554619,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.6563636363636363)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:23.864748,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.648)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:25.250501,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.648)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:26.554906,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 45.25)","(6.5, 12.5, 11.409090909090908)","(101.0, 200.0, 166.66666666666669)","(1.6, 1.66, 1.648)","(8.0, 15.5, 14.681818181818182)"
10-01-2023 14:39:27.890223,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 55.0, 51.0)","(6.5, 12.5, 11.75)","(101.0, 200.0, 158.0)","(1.6, 1.66, 1.6364285714285713)","(8.0, 15.5, 13.26923076923077)"
10-01-2023 14:39:29.219449,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 60.0, 51.0)","(6.5, 12.5, 11.75)","(101.0, 200.0, 158.0)","(1.6, 1.66, 1.6306666666666667)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:30.461201,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 60.0, 51.0)","(6.5, 12.5, 11.75)","(101.0, 200.0, 158.0)","(1.6, 1.66, 1.6306666666666667)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:31.803818,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.0)","(21.0, 60.0, 51.0)","(6.5, 12.5, 11.75)","(101.0, 200.0, 158.0)","(1.6, 1.66, 1.6360000000000001)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:33.074200,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.431818181818182)","(21.0, 60.0, 44.166666666666664)","(6.5, 12.5, 11.242424242424242)","(101.0, 200.0, 165.0)","(1.6, 1.66, 1.6466666666666667)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:34.384489,"(4.6, 7.0, 6.92)","(10.0, 15.5, 15.615384615384615)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 165.0)","(1.6, 1.66, 1.625217391304348)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:36.064716,"(4.6, 7.0, 6.92)","(10.0, 17.0, 16.155172413793103)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 165.0)","(1.6, 1.65, 1.625217391304348)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:37.429349,"(4.6, 7.0, 6.92)","(10.0, 16.5, 16.142857142857142)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 165.0)","(1.6, 1.65, 1.625217391304348)","(8.0, 16.5, 13.26923076923077)"
10-01-2023 14:39:38.770807,"(4.6, 7.0, 6.92)","(10.0, 16.5, 15.777777777777779)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.625217391304348)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:40.053876,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.625217391304348)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:41.351184,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.625217391304348)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:42.643276,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6253333333333333)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:43.940619,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6253333333333333)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:45.180304,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 44.166666666666664)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6475)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:46.477894,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 45.625)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6475)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:47.804743,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 45.625)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.647142857142857)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:49.154077,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.647142857142857)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:50.717686,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.64)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:52.166627,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.64)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:53.490761,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.64)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:54.816369,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.64)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:56.151502,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6305128205128203)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:57.438455,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6305128205128203)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:58.652143,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6305128205128203)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:39:59.806511,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6305128205128203)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:01.076612,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6154545454545455)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:02.349157,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6154545454545455)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:03.645287,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6154545454545455)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:04.896645,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6154545454545455)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:06.120467,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.777777777777779)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6442857142857141)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:07.420428,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.357142857142858)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.645)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:08.651061,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.357142857142858)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6234883720930233)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:09.914181,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.357142857142858)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6234883720930233)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:11.082489,"(4.6, 7.0, 6.92)","(10.0, 16.0, 15.357142857142858)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.242424242424242)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6234883720930233)","(8.0, 16.5, 13.40909090909091)"
10-01-2023 14:40:12.223778,"(4.6, 7.0, 6.92)","(10.0, 19.0, 16.75)","(21.0, 55.0, 42.5)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6224590163934427)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:13.430337,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6224590163934427)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:14.649226,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6431288343558281)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:15.889578,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6466935483870966)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:16.984872,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6466935483870966)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:18.034101,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.625)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.6466935483870966)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:19.266865,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.625)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.648904109589041)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:20.481770,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.625)","(21.0, 55.0, 42.142857142857146)","(6.5, 12.0, 11.305555555555555)","(101.0, 200.0, 176.66666666666666)","(1.6, 1.65, 1.648904109589041)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:21.736220,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.625)","(21.0, 55.0, 50.0)","(6.5, 12.0, 12.375)","(101.0, 200.0, 173.75)","(1.6, 1.65, 1.648904109589041)","(8.0, 16.5, 13.78)"
10-01-2023 14:40:22.918690,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.625)","(21.0, 70.0, 46.25)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.65, 1.6749999999999998)","(8.0, 16.5, 15.222222222222221)"
10-01-2023 14:40:24.134468,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.65)","(21.0, 65.0, 46.25)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.71, 1.66875)","(8.0, 16.0, 14.541666666666668)"
10-01-2023 14:40:25.335316,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 65.0, 46.666666666666664)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.7, 1.666)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:26.576396,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 60.0, 46.666666666666664)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.69, 1.666)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:27.853477,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 60.0, 41.0)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.69, 1.666)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:29.076644,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.69, 1.6547619047619047)","(8.0, 16.0, 13.666666666666666)"
10-01-2023 14:40:30.255768,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.0, 16.5, 13.666666666666666)"
10-01-2023 14:40:31.445219,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.0, 16.5, 15.222222222222221)"
10-01-2023 14:40:32.762772,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 11.868421052631579)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:33.891631,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 12.1)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:34.994761,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(6.5, 12.5, 12.1)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.0, 16.0, 15.222222222222221)"
10-01-2023 14:40:36.180211,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 41.0)","(7.0, 12.5, 12.1)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.5, 16.0, 13.666666666666666)"
10-01-2023 14:40:37.361395,"(4.6, 7.0, 6.96)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.64705882352941)","(7.0, 12.5, 12.1)","(101.0, 200.0, 173.75)","(1.6, 1.67, 1.6535897435897435)","(8.5, 16.0, 13.666666666666666)"
10-01-2023 14:40:38.663022,"(4.6, 7.4, 7.16)","(10.0, 16.0, 15.75)","(21.0, 55.0, 42.64705882352941)","(7.0, 12.5, 12.1)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6506060606060604)","(8.5, 16.0, 13.666666666666666)"
10-01-2023 14:40:39.910855,"(4.6, 7.6, 7.4363636363636365)","(10.0, 16.0, 15.75)","(21.0, 55.0, 46.0)","(7.0, 12.5, 12.1)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6624999999999999)","(8.5, 16.0, 14.833333333333332)"
10-01-2023 14:40:41.085381,"(4.6, 7.6, 7.218181818181818)","(10.0, 16.0, 15.75)","(21.0, 50.0, 42.666666666666664)","(7.0, 12.5, 12.1)","(101.0, 200.0, 165.0)","(1.6, 1.7, 1.6624999999999999)","(8.5, 15.5, 14.444444444444445)"
10-01-2023 14:40:42.148618,"(4.6, 7.6, 7.218181818181818)","(10.0, 16.0, 15.75)","(21.0, 48.0, 42.666666666666664)","(7.0, 12.5, 12.038461538461538)","(101.0, 200.0, 165.0)","(1.6, 1.7, 1.6624999999999999)","(8.5, 15.0, 14.375)"
10-01-2023 14:40:43.451146,"(4.6, 7.6, 7.218181818181818)","(10.0, 16.0, 15.75)","(21.0, 48.0, 42.666666666666664)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.7, 1.6527027027027026)","(8.5, 15.0, 13.75)"
10-01-2023 14:40:44.924064,"(4.6, 7.6, 7.218181818181818)","(10.0, 16.0, 15.76923076923077)","(21.0, 48.0, 42.666666666666664)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6527027027027026)","(8.5, 15.0, 13.75)"
10-01-2023 14:40:46.364044,"(4.6, 7.8, 7.266666666666667)","(10.0, 16.0, 15.0)","(21.0, 48.0, 42.666666666666664)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6653284671532846)","(8.5, 15.0, 13.75)"
10-01-2023 14:40:47.922858,"(4.6, 7.8, 7.266666666666667)","(10.0, 15.5, 14.875)","(21.0, 48.0, 41.15384615384615)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6613513513513514)","(8.5, 15.0, 14.166666666666666)"
10-01-2023 14:40:49.401159,"(4.6, 7.8, 7.266666666666667)","(10.0, 15.5, 14.875)","(21.0, 55.0, 41.15384615384615)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6613513513513514)","(8.5, 15.0, 14.758064516129032)"
10-01-2023 14:40:50.667747,"(4.6, 7.8, 7.266666666666667)","(10.0, 15.5, 14.875)","(21.0, 55.0, 41.15384615384615)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6613513513513514)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:51.891199,"(4.6, 7.8, 7.266666666666667)","(10.0, 15.5, 14.875)","(21.0, 55.0, 42.5)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6613513513513514)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:53.117725,"(4.6, 7.6, 7.218181818181818)","(10.0, 16.0, 15.454545454545453)","(21.0, 50.0, 42.5)","(7.0, 12.5, 11.58695652173913)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6613513513513514)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:54.370198,"(4.6, 7.6, 7.3)","(10.0, 16.0, 15.454545454545453)","(21.0, 50.0, 41.42857142857143)","(7.0, 12.5, 11.333333333333334)","(101.0, 200.0, 165.0)","(1.6, 1.67, 1.6714285714285713)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:55.610796,"(4.6, 7.8, 7.266666666666667)","(10.0, 16.0, 15.454545454545453)","(21.0, 50.0, 41.42857142857143)","(7.0, 12.5, 11.333333333333334)","(101.0, 200.0, 165.0)","(1.6, 1.7, 1.663157894736842)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:56.795547,"(4.6, 7.8, 7.266666666666667)","(10.0, 16.0, 15.454545454545453)","(21.0, 50.0, 41.15384615384615)","(7.0, 12.5, 11.333333333333334)","(101.0, 200.0, 165.0)","(1.6, 1.68, 1.663157894736842)","(8.5, 15.0, 14.272727272727273)"
10-01-2023 14:40:57.865976,"(4.6, 7.8, 7.266666666666667)","(10.0, 16.0, 15.454545454545453)","(21.0, 55.0, 41.15384615384615)","(7.0, 12.5, 11.333333333333334)","(101.0, 200.0, 165.0)","(1.6, 1.68, 1.663157894736842)","(8.5, 15.0, 14.272727272727273)"
