,Perfect Skipper,Tuta Mimosa,Little Bit Tipsy,Shes So Gnarley,Seldom Quits,Ranger Rod,Septimo
09-01-2023 13:27:18.754386,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:19.754701,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:20.805991,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:21.869757,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:23.072680,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:24.143435,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:25.089964,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:26.042678,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:27.135482,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:28.175514,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:29.151183,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:30.109384,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:31.122612,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:32.234884,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:33.385528,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:34.432749,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:35.384013,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:36.411947,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.452)","(3.3, 5.7, 5.25)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:37.484373,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:38.531660,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:39.509452,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 5.25)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:40.475577,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.452)","(3.3, 5.7, 5.25)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:41.588143,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:42.693208,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:43.736558,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:44.679408,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.452)","(3.3, 5.7, 5.25)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:45.696696,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.452)","(3.3, 5.7, 5.25)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:46.762993,"(4.4, 6.4, 4.816000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:47.832938,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:48.994827,"(4.4, 6.4, 5.1625000000000005)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:49.989656,"(4.4, 8.0, 6.1)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:50.943603,"(4.4, 7.6, 7.175)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:52.004544,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:53.036200,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:54.022863,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:55.006302,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:55.969865,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:57.064924,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:58.148327,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:27:59.131594,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:00.116317,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:01.101858,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:02.186150,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:03.202367,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:04.220751,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:05.139201,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:06.115570,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:07.160582,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:08.143819,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:09.054773,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:10.074404,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:11.157337,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:12.231701,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:13.251903,"(4.4, 7.6, 5.6875)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:14.311807,"(4.4, 7.4, 5.800000000000001)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:15.307053,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:16.307542,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:17.339232,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:18.318132,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:19.272874,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:20.239643,"(4.4, 7.2, 6.825)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:21.248668,"(4.4, 7.2, 5.7)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:22.329000,"(4.4, 7.0, 5.506666666666667)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:23.375575,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:24.332531,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:25.377127,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:26.449667,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
09-01-2023 13:28:27.591858,"(4.4, 6.8, 6.475)","(31.0, 290.0, 164.0)","(5.0, 8.6, 6.666666666666667)","(2.6, 3.65, 3.1550000000000002)","(3.3, 5.7, 4.575)","(16.0, 55.0, 30.3125)","(10.0, 32.0, 29.625)"
