,Sort Of Sublime,Mac Frenzy,Finniss Rose,Fawn Lawn,Thanks Joan,Suhana,Somersby,Missouri Belle
06-01-2023 11:59:39.995090,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:41.378570,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:42.737448,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:44.031815,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:45.333078,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:46.642448,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:47.901872,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:49.221657,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:50.438212,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:51.606167,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:52.839597,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:54.113762,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:55.425290,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:56.798817,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:58.097281,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 11:59:59.349582,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:00.563559,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 17.76923076923077)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:01.785237,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:03.048918,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:04.408732,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:05.715892,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:07.055083,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:08.378377,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:09.639807,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:10.932897,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:12.176871,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:13.331137,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:14.381105,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:15.513145,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:16.976800,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:18.546305,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:19.931771,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:21.343095,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:22.739936,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:24.207772,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:25.659917,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:26.975911,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:28.241814,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:29.316838,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:30.562025,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:31.823047,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:33.150564,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:34.385167,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:35.529862,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:36.648599,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:37.907134,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:39.105713,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:40.333553,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:41.503550,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:42.720192,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:44.066062,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:45.325377,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:46.558603,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
06-01-2023 12:00:47.805196,"(5.5, 11.5, 5.954545454545455)","(6.5, 11.5, 10.804545454545455)","(10.0, 23.0, 18.142857142857142)","(14.0, 34.0, 31.849999999999998)","(6.0, 11.5, 5.954545454545455)","(21.0, 85.0, 61.78571428571429)","(1.75, 2.74, 1.7364516129032257)","(26.0, 100.0, 70.38461538461539)"
