,Yankee Empire,He Came True,Cairo Boogie,Adys Munny,Gratitude Attitude,Factotum,Similar Taste
12-01-2023 09:16:07.939697,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:09.050984,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:10.190565,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:11.339753,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:12.441763,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:13.570097,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:14.670288,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:15.680300,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:16.656944,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:17.709406,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:18.788238,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:19.841621,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:20.892992,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:21.972721,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:23.129477,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:24.232384,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:25.199823,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:26.143962,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:27.124624,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:28.176820,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:29.265753,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:30.360960,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:31.466751,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:32.602329,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:33.675014,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:34.566294,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:35.530292,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:36.610344,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:37.700351,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:38.775871,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:39.889068,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:41.185487,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:42.351915,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:43.534245,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:44.606044,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:45.636380,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:46.636272,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:47.601080,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:48.555323,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:49.572186,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:50.598337,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:51.668310,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:52.716215,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:53.653266,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:54.618988,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:55.684762,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:56.706195,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:57.793207,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:16:58.912397,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:00.094417,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:01.258744,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:02.456410,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:03.550038,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:04.698538,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:05.769476,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:06.806498,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:07.872640,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:08.935897,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:09.971393,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:11.012289,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:12.069156,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:13.112590,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:14.057645,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:15.137063,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:16.199500,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:17.369008,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:18.520181,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:19.597483,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:20.607834,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:21.581608,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:22.590768,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:23.585453,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:24.574682,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:25.601196,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:26.729908,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
12-01-2023 09:17:27.854635,"(5.0, 6.8, 6.114285714285714)","(9.0, 14.5, 11.4375)","(7.0, 10.5, 8.61)","(7.0, 10.5, 8.61)","(6.0, 12.5, 8.566666666666666)","(3.2, 4.0, 3.7800000000000002)","(7.0, 10.5, 8.61)"
