,Gentle Giant Nz,Polka Dot Dance Nz,Dont Need Bling,Shaded,Spot On Chic,Katlas Dream,Highview Sadler Nz,Rocking Lou,Explosive Bronski
10-01-2023 14:33:12.435434,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.5)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:13.717749,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.6)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:15.019578,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.6)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:16.345791,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.6)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:17.649840,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.408)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:18.894346,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.5771428571428574)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:20.212191,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.852)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:21.565989,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:22.895611,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:24.214715,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:25.506265,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:26.736713,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:27.930923,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:29.084640,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.013333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:30.270365,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.013333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:31.518542,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:32.833837,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:34.110327,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:35.444146,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:36.740074,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:38.016153,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.856)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:39.351283,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:40.605856,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:41.897676,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:43.086041,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:44.253842,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:45.463796,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.432)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:46.773357,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.013333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:48.090456,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:49.378531,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:50.674536,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:51.930199,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:53.211340,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:54.428428,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:55.587621,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:56.797083,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:58.031122,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:33:59.198267,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:00.432109,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:01.687055,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:02.992530,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:04.352690,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:05.645523,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:06.938850,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:08.194048,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:09.405166,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:10.585403,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.513333333333333)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:11.922528,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.9466666666666668)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:13.294696,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.0, 3.941176470588235)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:14.635973,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.941176470588235)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:16.011050,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.941176470588235)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:17.467383,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.941176470588235)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:18.796088,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 4.1, 3.7384615384615385)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:20.118511,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.7384615384615385)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:21.489313,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.7384615384615385)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:22.862116,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:24.133418,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:25.422887,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:26.698411,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:27.862468,"(3.4, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:29.032593,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:30.292049,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:31.571721,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:32.734567,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.780769230769231)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:33.927130,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:35.187525,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:36.428218,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:37.733641,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
10-01-2023 14:34:38.934475,"(3.3, 99999, 99990)","(4.2, 99999, 99990)","(8.0, 11.5, 9.433333333333334)","(21.0, 48.0, 26.666666666666664)","(101.0, 220.0, 191.42857142857144)","(2.6, 3.95, 3.4)","(6.0, 99999, 99990)","(31.0, 100.0, 80.0)","(31.0, 95.0, 75.85714285714286)"
