,So You Can,Craiglea Blizzard,Action In Cairns,Charm Slinga,Yardstick,Geminga,Magicourt,Dadorable,Roll Me Away,Oamaru Poppy
04-01-2023 16:07:05.237924,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.644954128440367)","(3.7, 5.0, 4.7)","(5.5, 6.4, 5.64)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:06.636608,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.2, 6.181818181818182)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:07.993528,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.2, 6.355555555555556)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:09.242854,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.355555555555556)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:10.584880,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.428571428571429)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.355555555555556)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:11.976569,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.1)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.355555555555556)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:13.340487,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.1)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.58)","(5.5, 6.4, 6.300000000000001)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:14.662605,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.0, 7.666666666666667)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.58)","(5.5, 6.4, 6.300000000000001)","(14.0, 23.0, 21.5)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:15.918056,"(6.5, 9.0, 8.727777777777778)","(31.0, 220.0, 162.0)","(12.0, 23.0, 19.0)","(5.0, 8.4, 7.300000000000001)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.300000000000001)","(14.0, 23.0, 21.7)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:17.289252,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 22.0, 19.32142857142857)","(5.0, 8.4, 7.300000000000001)","(3.8, 4.7, 4.634246575342466)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.300000000000001)","(14.0, 23.0, 19.38888888888889)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:18.672193,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 22.0, 19.0)","(5.0, 8.4, 7.300000000000001)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.0, 4.7)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 19.38888888888889)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:20.099254,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 21.0, 17.714285714285715)","(5.0, 8.4, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.0, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 19.38888888888889)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:21.530801,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.714285714285715)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 19.38888888888889)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:22.971563,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 20.214285714285715)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:24.355290,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 18.264705882352942)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:25.645440,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 24.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:27.007526,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.384615384615385)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:28.589102,"(6.5, 9.0, 8.86875)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.632394366197183)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 5.628571428571429)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:30.061883,"(6.5, 9.0, 8.325)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 5.65)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:31.393544,"(7.0, 9.0, 8.325)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 5.65)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:32.677503,"(7.0, 9.0, 8.325)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 5.725)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:33.959643,"(7.0, 9.0, 8.325)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.4, 6.473076923076923)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:35.269867,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 5.781818181818181)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:36.612686,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.628571428571428)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 23.0, 20.833333333333332)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:37.910666,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 8.155)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 23.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:39.191940,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.3999999999999995)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:40.489793,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.56)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:41.830249,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.56)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:43.218215,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 7.56)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:44.583992,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.2, 8.25)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:45.958048,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.8, 8.25)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:47.251414,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.8, 8.25)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:48.651383,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.0)","(5.0, 8.8, 8.25)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.0)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:49.983079,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.8, 7.8)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.09375)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
04-01-2023 16:07:51.349935,"(7.0, 9.0, 8.872727272727273)","(31.0, 220.0, 162.0)","(12.0, 19.5, 17.5)","(5.0, 8.6, 7.8)","(3.8, 4.7, 4.630434782608695)","(3.7, 5.1, 4.410344827586207)","(5.5, 6.6, 6.09375)","(14.0, 18.0, 17.357142857142858)","(26.0, 180.0, 107.0)","(41.0, 400.0, 331.0)"
