,Palace House,Prized Benefit,Empire Club,Roys Road,Indiana Falls,Miss Rinehart,Naughty Possum,Playing Hookie
10-01-2023 14:08:08.495445,"(3.5, 4.3, 4.245454545454545)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 52.0)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:09.743745,"(3.5, 4.3, 4.245454545454545)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 52.0)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:10.938170,"(3.5, 4.3, 4.245454545454545)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:12.230570,"(3.5, 4.3, 4.245454545454545)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:13.538536,"(3.5, 4.3, 4.266666666666667)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:14.877258,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:16.162781,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 20.857142857142858)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:17.422107,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 21.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:18.781757,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:20.069477,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 50.4)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:21.328525,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 47.4)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:22.865137,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 42.5)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:24.167878,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 47.0)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:25.525915,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 59.0)","(13.0, 22.0, 21.5)","(3.4, 3.8, 3.7477272727272726)"
10-01-2023 14:08:26.812137,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 80.0, 54.0)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:28.068406,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 54.0)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:29.368320,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 70.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:30.653253,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 41.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:31.952488,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.075)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:33.155567,"(3.5, 4.3, 4.279999999999999)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.18)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.76)"
10-01-2023 14:08:34.349352,"(3.5, 4.1, 4.084210526315789)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.18)","(3.9, 5.2, 5.1000000000000005)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:35.547401,"(3.5, 4.3, 4.188888888888888)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:36.734047,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:37.959091,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:39.265017,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 42.0)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:40.519132,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:41.707220,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 51.5)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:42.798844,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 65.0, 50.0)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.764102564102564)"
10-01-2023 14:08:43.908655,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 54.85714285714286)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.7263157894736842)"
10-01-2023 14:08:45.104994,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 54.85714285714286)","(14.0, 22.0, 21.5)","(3.3, 3.8, 3.7071428571428573)"
10-01-2023 14:08:46.266869,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 60.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:47.389841,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:48.494408,"(3.5, 4.3, 4.166666666666666)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.1875)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:49.636966,"(3.5, 4.3, 4.296470588235294)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:50.761670,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:51.850996,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:52.870508,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:53.866197,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:54.978604,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:56.134515,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.285714285714285)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:57.232829,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.75)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:58.368408,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 51.75)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:08:59.504337,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 55.0, 48.857142857142854)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:00.569654,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 50.0, 48.0)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:01.680529,"(3.5, 4.3, 4.296629213483146)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.25)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 50.0, 48.0)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:02.822609,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 36.666666666666664)","(5.5, 6.6, 6.4)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.833333333333332)","(41.0, 50.0, 48.0)","(14.0, 22.0, 21.5)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:04.063723,"(3.5, 4.3, 4.2846153846153845)","(26.0, 50.0, 37.0)","(5.5, 6.6, 6.4)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.5, 17.6)","(41.0, 50.0, 48.0)","(14.0, 22.0, 20.75)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:05.224855,"(3.5, 4.3, 4.294117647058823)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.4)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.0, 17.6)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.75)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:06.332193,"(3.5, 4.3, 4.294117647058823)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.4)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.0, 17.6)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.75)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:07.390760,"(3.5, 4.3, 4.294117647058823)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.4)","(3.9, 5.2, 5.133333333333334)","(8.0, 18.0, 17.6)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.75)","(3.3, 3.75, 3.7071428571428573)"
10-01-2023 14:09:08.471729,"(3.5, 4.3, 4.294117647058823)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.2, 5.333333333333334)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.75, 3.72)"
10-01-2023 14:09:09.636532,"(3.5, 4.1, 4.087628865979381)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.325)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.75, 3.7125000000000004)"
10-01-2023 14:09:10.754614,"(3.5, 4.1, 4.0874999999999995)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.325)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.7125000000000004)"
10-01-2023 14:09:11.880419,"(3.5, 4.1, 4.0884210526315785)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.325)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.7125000000000004)"
10-01-2023 14:09:12.997141,"(3.5, 4.1, 4.0884210526315785)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.325)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.7125000000000004)"
10-01-2023 14:09:14.130997,"(3.5, 4.1, 4.0884210526315785)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:15.274493,"(3.5, 4.3, 4.296470588235294)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:16.380107,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:17.520638,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:18.689627,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:19.753225,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:20.789960,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.466666666666667)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:21.945644,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:23.060545,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:24.229345,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 48.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:25.419276,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 47.0)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:26.456448,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 47.333333333333336)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:27.453676,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 47.333333333333336)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:28.529283,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 47.333333333333336)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:29.615918,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 50.0, 47.333333333333336)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:30.660946,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 75.0, 48.23076923076923)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:31.700370,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.485714285714286)","(3.9, 5.4, 5.355555555555556)","(8.0, 18.0, 17.625)","(41.0, 75.0, 48.23076923076923)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.8, 3.706666666666667)"
10-01-2023 14:09:32.739168,"(3.5, 4.3, 4.28314606741573)","(26.0, 44.0, 37.0)","(5.5, 6.6, 6.381818181818182)","(3.9, 5.4, 5.1923076923076925)","(8.0, 18.0, 17.625)","(41.0, 75.0, 47.8125)","(14.0, 21.0, 20.857142857142858)","(3.3, 3.85, 3.8384615384615386)"
