,Victa Mikey,Impress Raja,Little Purpose,Canya Razor,Neangar Boy,Sandave Diamond,Allinga Grin
16-12-2022 12:06:45.330105,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:46.478362,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:47.585508,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:48.701409,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:49.795619,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.32)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:50.774398,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 13.16)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 14.0, 10.1)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:51.700171,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 12.2)","(21.0, 110.0, 53.27272727272727)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 514.4444444444445)"
16-12-2022 12:06:52.802198,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:53.893821,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:55.020263,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:56.222893,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:57.350249,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:58.447934,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7834482758620689)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:06:59.585710,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7849411764705883)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:00.674037,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7613793103448276)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.145454545454546)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:01.659297,"(4.6, 9.6, 6.247368421052632)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7613793103448276)","(6.0, 13.5, 11.066666666666666)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:02.730214,"(4.6, 9.6, 5.929411764705883)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.725)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:03.709118,"(4.6, 9.6, 5.78125)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.725)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:04.818548,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:06.006496,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
