,Little Hero,Mr Bigwig,Baptiste,Homebush Reign,Homebush Roman,Homebush Sassy,Tiger Jane
10-01-2023 08:01:42.978269,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:43.888539,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:44.869416,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:45.881172,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:46.845411,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:47.804915,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:48.711843,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:49.646926,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:50.556874,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:51.535479,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:52.426326,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:53.346417,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:54.245859,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:55.153930,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:56.041418,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:56.947011,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:57.844307,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:58.744703,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:01:59.642740,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:00.591942,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:01.515511,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:02.434803,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:03.380072,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:04.294658,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:05.213557,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:06.140420,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:07.080520,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:08.026013,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:08.965929,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:09.993158,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:10.947473,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:11.865871,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:12.788634,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:13.687289,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:14.604277,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:15.542460,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:16.448521,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:17.326078,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:18.236380,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:19.156627,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:20.075728,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:20.986688,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:21.938207,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:22.874664,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:23.803617,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:24.767881,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:25.722886,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:26.655810,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 195.5)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:27.590778,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 240.0, 8002.7)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:28.508982,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 99998, 8888.477777777778)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:29.440213,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 99998, 8888.477777777778)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:30.360939,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 99998, 8888.477777777778)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:31.255198,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 99998, 8888.477777777778)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:32.328052,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:33.285925,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:34.285941,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:35.286082,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:36.224969,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:37.153326,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:38.155553,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:39.062727,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:39.976291,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:40.863696,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:41.750935,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:42.671502,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:43.590010,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:44.507707,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:45.517051,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:46.462432,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:47.423835,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:48.380272,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:49.352513,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:50.284829,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:51.178110,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:52.074820,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:53.008489,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:53.981887,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:54.887166,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
10-01-2023 08:02:55.963005,"(6.5, 27.0, 19.012500000000003)","(4.0, 15.5, 6.585714285714285)","(1.5, 1.54, 1.5221428571428572)","(21.0, 350.0, 239.66666666666666)","(21.0, 350.0, 239.66666666666666)","(20.0, 230.0, 187.3)","(10.0, 90.0, 75.27272727272727)"
