,Refulgent,Kaseys Money,Shy But Savage,Out Of Aussie,Laughing Les,Pocket Money,Zipping Victoria,Shes In Clover
07-01-2023 18:52:01.407604,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:02.534102,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:03.755036,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:04.967223,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:06.028638,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:07.062563,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:08.078250,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:09.234201,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:10.285728,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:11.346860,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:12.706222,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:13.899375,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:15.108307,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:16.131242,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:17.233997,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:18.357755,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:19.546160,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:20.595385,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:21.632495,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:22.690906,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:23.714607,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:24.804959,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:25.845695,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:26.911135,"(2.5, 3.5, 2.6008695652173914)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:27.920080,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:28.965735,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:30.139914,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:31.187130,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:32.240522,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:33.293408,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:34.346397,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:35.355283,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:36.504707,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:37.703865,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:38.941257,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:40.170756,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:41.404754,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:42.487135,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:43.571037,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:44.753988,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:46.031403,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:47.262077,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:48.504834,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:49.675042,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:50.806989,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:51.971802,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:53.133518,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:54.307871,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:55.441132,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:56.609388,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:57.916114,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:52:59.127023,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.344444444444444)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:00.322645,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:01.476307,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 145.23076923076923)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:02.587548,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 178.0)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:03.713012,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 178.0)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:04.850286,"(2.5, 3.4, 2.665)","(15.0, 42.0, 26.72222222222222)","(91.0, 730.0, 621.6666666666666)","(31.0, 320.0, 178.0)","(5.0, 9.8, 8.166666666666668)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 59.0)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:05.992662,"(2.5, 3.4, 2.665)","(15.0, 42.0, 22.0)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:07.173035,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 43.36363636363636)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:08.278181,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 44.09090909090909)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:09.387906,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:10.531108,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:11.716920,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:12.935345,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:14.093187,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:15.204308,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:16.308599,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:17.418765,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:18.479276,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:19.548752,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:20.590000,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:21.710935,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
07-01-2023 18:53:22.861564,"(2.5, 3.4, 2.665)","(15.0, 42.0, 23.666666666666664)","(91.0, 730.0, 665.0)","(31.0, 320.0, 178.0)","(5.0, 10.0, 6.357142857142858)","(5.5, 10.0, 6.642857142857142)","(21.0, 95.0, 55.57142857142857)","(2.5, 4.5, 4.075)"
