,Nolde,Muay Thai,First Premio,Diamond Blitz,Sky Dinski,Mount Pelliar,Claim Of Passion,Bronze Warrior
07-01-2023 09:07:44.749327,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.690909090909091)","(6.0, 9.2, 8.4)"
07-01-2023 09:07:45.816091,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.690909090909091)","(6.0, 9.6, 8.4)"
07-01-2023 09:07:46.789938,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.707692307692309)","(6.0, 9.6, 8.64)"
07-01-2023 09:07:47.801932,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.64)"
07-01-2023 09:07:48.855084,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(18.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.64)"
07-01-2023 09:07:49.900548,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.64)"
07-01-2023 09:07:50.955161,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.206666666666667)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.64)"
07-01-2023 09:07:51.938650,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.205294117647059)","(7.5, 9.8, 9.344827586206897)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.32)"
07-01-2023 09:07:52.940119,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.22, 2.205294117647059)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.32)"
07-01-2023 09:07:53.953588,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.2, 2.1611155378486058)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.861538461538462)"
07-01-2023 09:07:54.960798,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.18, 2.156842105263158)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(19.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.861538461538462)"
07-01-2023 09:07:56.014094,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.18, 2.171951219512195)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.861538461538462)"
07-01-2023 09:07:57.072697,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.18, 2.132857142857143)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.625806451612904)","(6.0, 9.6, 8.861538461538462)"
07-01-2023 09:07:58.124663,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.16, 2.1371428571428575)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.711111111111112)","(6.0, 9.6, 9.12)"
07-01-2023 09:07:59.152706,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.16, 2.1371428571428575)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.711111111111112)","(6.0, 9.6, 9.12)"
07-01-2023 09:08:00.171008,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.18, 2.132857142857143)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.711111111111112)","(6.0, 9.6, 9.12)"
07-01-2023 09:08:01.116751,"(10.0, 13.5, 12.4)","(13.0, 23.0, 20.0)","(2.05, 2.18, 2.132857142857143)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.711111111111112)","(6.0, 9.6, 9.12)"
07-01-2023 09:08:02.070030,"(10.0, 13.5, 12.4)","(13.0, 23.0, 19.25)","(2.05, 2.18, 2.1206666666666667)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 32.666666666666664)","(6.5, 8.8, 8.711111111111112)","(6.0, 9.6, 9.413333333333332)"
07-01-2023 09:08:03.013469,"(10.0, 13.5, 12.766666666666667)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.0705050505050506)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 33.75)","(6.5, 8.8, 8.711111111111112)","(6.0, 10.0, 8.799999999999999)"
07-01-2023 09:08:03.997441,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.0705050505050506)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.711111111111112)","(6.0, 10.0, 8.799999999999999)"
07-01-2023 09:08:04.954088,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.399999999999999)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.711111111111112)","(6.0, 10.0, 8.799999999999999)"
07-01-2023 09:08:05.920451,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.799999999999999)"
07-01-2023 09:08:06.872583,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:07.802313,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:08.739814,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:09.707477,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:10.655273,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.433333333333334)","(16.0, 28.0, 26.714285714285715)","(20.0, 36.0, 30.0)","(6.5, 8.8, 8.63125)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:11.810893,"(10.0, 13.5, 12.833333333333334)","(13.0, 19.5, 19.25)","(2.05, 2.14, 2.09125)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 30.666666666666668)","(6.5, 8.8, 8.5)","(6.0, 10.0, 8.72)"
07-01-2023 09:08:12.800570,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.14, 2.08)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 30.666666666666668)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:13.952824,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.14, 2.08)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 30.666666666666668)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.3)"
07-01-2023 09:08:14.960449,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.14, 2.08)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 30.666666666666668)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.3)"
07-01-2023 09:08:15.953344,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.08, 2.0692857142857144)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.3)"
07-01-2023 09:08:16.949730,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0707317073170732)","(7.5, 9.6, 9.466666666666667)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.3)"
07-01-2023 09:08:17.990262,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0707317073170732)","(7.5, 9.6, 9.525925925925925)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.3)"
07-01-2023 09:08:18.975413,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.05609756097561)","(7.5, 9.6, 9.525925925925925)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.3)"
07-01-2023 09:08:19.933236,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.06)","(7.5, 9.6, 9.525925925925925)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.2)"
07-01-2023 09:08:20.976288,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.06)","(7.5, 9.6, 9.525925925925925)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:22.060060,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0616)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:23.032855,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0625)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:23.988192,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0625)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.5)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:24.939294,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.25)","(2.05, 2.1, 2.0625)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.5)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:25.904253,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.727272727272727)","(2.05, 2.1, 2.0625)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.5)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.2)"
07-01-2023 09:08:26.861101,"(10.0, 13.5, 12.966666666666667)","(13.0, 26.0, 24.727272727272727)","(2.05, 2.1, 2.054025974025974)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.5)","(6.5, 8.8, 8.523076923076923)","(6.0, 10.0, 9.48)"
07-01-2023 09:08:27.853117,"(10.0, 13.5, 12.88888888888889)","(13.0, 25.0, 23.153846153846153)","(2.05, 2.14, 2.1237037037037036)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.5)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.48)"
07-01-2023 09:08:28.803245,"(10.0, 13.5, 12.88888888888889)","(13.0, 25.0, 22.857142857142858)","(2.05, 2.14, 2.1111475409836067)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.48)"
07-01-2023 09:08:29.801939,"(10.0, 13.5, 12.88888888888889)","(13.0, 24.0, 23.09090909090909)","(2.05, 2.14, 2.1017391304347828)","(7.5, 9.6, 9.573333333333332)","(16.0, 28.0, 26.5)","(20.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.0, 9.8, 9.690909090909091)"
07-01-2023 09:08:30.821142,"(10.0, 13.5, 12.88888888888889)","(13.0, 24.0, 23.09090909090909)","(2.0, 2.12, 2.1131428571428574)","(7.5, 9.8, 9.682758620689656)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.5, 9.8, 9.690909090909091)"
07-01-2023 09:08:31.829823,"(10.0, 13.5, 12.88888888888889)","(13.0, 24.0, 22.666666666666668)","(2.0, 2.12, 2.084)","(7.5, 9.8, 9.682758620689656)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.523076923076923)","(6.5, 9.8, 9.514285714285714)"
07-01-2023 09:08:32.822466,"(10.0, 13.5, 12.966666666666667)","(13.0, 24.0, 23.09090909090909)","(2.0, 2.12, 2.06)","(7.5, 9.8, 9.476190476190476)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.494117647058824)","(6.5, 9.8, 9.3)"
07-01-2023 09:08:33.798856,"(10.0, 13.5, 13.0)","(13.0, 24.0, 23.357142857142858)","(2.0, 2.12, 2.10875)","(7.5, 9.8, 9.476190476190476)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.494117647058824)","(6.5, 9.6, 9.3)"
07-01-2023 09:08:35.050677,"(10.0, 13.5, 13.0)","(13.0, 23.0, 22.0)","(2.0, 2.12, 2.121818181818182)","(7.5, 9.8, 9.476190476190476)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.494117647058824)","(6.5, 9.6, 9.3)"
07-01-2023 09:08:36.205222,"(10.0, 13.5, 12.916666666666666)","(13.0, 24.0, 22.714285714285715)","(2.0, 2.14, 2.121818181818182)","(7.5, 9.8, 9.476190476190476)","(17.0, 28.0, 26.5)","(21.0, 36.0, 32.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.6, 9.3)"
07-01-2023 09:08:37.256052,"(10.0, 13.5, 12.916666666666666)","(13.0, 24.0, 22.714285714285715)","(2.0, 2.12, 2.0895652173913044)","(7.5, 9.8, 9.763636363636364)","(17.0, 28.0, 34.18181818181818)","(21.0, 36.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.6, 9.3)"
07-01-2023 09:08:38.311779,"(10.0, 14.0, 13.181818181818182)","(13.0, 24.0, 22.714285714285715)","(2.0, 2.12, 2.0895652173913044)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 32.0)","(21.0, 180.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.6, 9.3)"
07-01-2023 09:08:39.658393,"(10.0, 14.0, 13.181818181818182)","(13.0, 24.0, 22.714285714285715)","(2.0, 2.12, 2.0871875)","(7.5, 9.8, 9.745454545454546)","(17.0, 34.0, 32.666666666666664)","(21.0, 180.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.6, 9.744444444444445)"
07-01-2023 09:08:40.862093,"(10.0, 13.5, 12.884615384615385)","(13.0, 24.0, 22.2)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 32.666666666666664)","(21.0, 180.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.5, 9.744444444444445)"
07-01-2023 09:08:42.145924,"(10.0, 13.5, 12.884615384615385)","(13.0, 24.0, 22.2)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 32.666666666666664)","(21.0, 180.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.5, 9.744444444444445)"
07-01-2023 09:08:43.321695,"(10.0, 13.5, 12.884615384615385)","(13.0, 24.0, 22.2)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 32.666666666666664)","(21.0, 180.0, 104.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.5, 9.744444444444445)"
07-01-2023 09:08:44.385292,"(10.0, 13.5, 12.884615384615385)","(13.0, 24.0, 22.2)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 32.666666666666664)","(21.0, 180.0, 128.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.5, 9.744444444444445)"
07-01-2023 09:08:45.461432,"(10.0, 13.5, 12.884615384615385)","(13.0, 24.0, 22.2)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 41.0)","(21.0, 190.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.5, 9.657142857142857)"
07-01-2023 09:08:46.447504,"(10.0, 13.5, 12.884615384615385)","(13.0, 23.0, 20.77777777777778)","(2.0, 2.12, 2.0722727272727273)","(7.5, 9.8, 9.745454545454546)","(17.0, 46.0, 41.0)","(21.0, 180.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.657142857142857)"
07-01-2023 09:08:47.488353,"(10.0, 13.5, 12.884615384615385)","(13.0, 22.0, 20.0)","(2.0, 2.1, 2.0491056910569108)","(7.5, 9.8, 9.745454545454546)","(17.0, 46.0, 33.27272727272727)","(21.0, 180.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.657142857142857)"
07-01-2023 09:08:48.624880,"(10.0, 13.5, 12.884615384615385)","(13.0, 22.0, 20.0)","(2.0, 2.1, 2.0491056910569108)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 33.27272727272727)","(21.0, 180.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.657142857142857)"
07-01-2023 09:08:49.715737,"(10.0, 13.5, 12.884615384615385)","(13.0, 22.0, 20.0)","(2.0, 2.1, 2.0762428842504743)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 33.27272727272727)","(19.0, 180.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.657142857142857)"
07-01-2023 09:08:50.856449,"(10.0, 13.5, 12.884615384615385)","(13.0, 22.0, 20.0)","(2.0, 2.1, 2.0762428842504743)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 33.27272727272727)","(19.0, 180.0, 122.4)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.714285714285714)"
07-01-2023 09:08:51.964833,"(10.0, 13.5, 12.884615384615385)","(13.0, 22.0, 20.0)","(2.0, 2.1, 2.082190611664296)","(7.5, 9.8, 9.745454545454546)","(17.0, 36.0, 33.27272727272727)","(19.0, 180.0, 90.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 10.0, 9.444444444444445)"
07-01-2023 09:08:53.045241,"(10.0, 13.5, 12.884615384615385)","(13.0, 21.0, 19.2)","(2.0, 2.1, 2.0861269146608317)","(7.5, 9.8, 9.74)","(17.0, 36.0, 32.142857142857146)","(19.0, 180.0, 84.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.8, 9.571428571428571)"
07-01-2023 09:08:54.132991,"(10.0, 13.5, 12.884615384615385)","(13.0, 21.0, 19.5)","(2.0, 2.1, 2.0881716417910448)","(7.5, 9.8, 9.717808219178083)","(17.0, 36.0, 32.142857142857146)","(19.0, 180.0, 84.0)","(6.5, 8.8, 8.545454545454547)","(6.5, 9.8, 9.428571428571429)"
07-01-2023 09:08:55.215822,"(10.0, 13.5, 12.884615384615385)","(14.0, 21.0, 19.125)","(1.95, 2.1, 2.095555555555556)","(7.5, 9.8, 9.436363636363637)","(17.0, 36.0, 32.142857142857146)","(19.0, 180.0, 84.0)","(6.5, 8.8, 8.545454545454547)","(7.0, 9.6, 9.571428571428571)"
07-01-2023 09:08:56.274767,"(10.0, 13.5, 12.884615384615385)","(14.0, 20.0, 18.714285714285715)","(1.95, 2.1, 2.099602836879433)","(7.5, 9.8, 9.600000000000001)","(17.0, 36.0, 32.142857142857146)","(19.0, 180.0, 84.0)","(6.5, 8.8, 8.545454545454547)","(7.0, 9.8, 9.571428571428571)"
