,Areyougonnakissme,Pinnacle Reef,Xcellent Start,Sparked A Notion,Colt Rock,No Love For Juba,Neverpopthecork,Jubas Notion,Lord Of Cork
08-01-2023 12:51:06.556523,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.925000000000001)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:07.887791,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 5.3999999999999995)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:09.249584,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.6, 5.3999999999999995)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:10.520534,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.6, 5.3999999999999995)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:11.724518,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.6, 5.3999999999999995)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.46)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:12.951065,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 6.128571428571429)","(21.0, 210.0, 160.0)","(2.2, 2.6, 2.413333333333333)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:14.178479,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 230.0, 193.66666666666669)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.46)","(17.0, 150.0, 24.5)"
08-01-2023 12:51:15.419287,"(31.0, 230.0, 177.5)","(26.0, 230.0, 69.125)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.166666666666664)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:16.599286,"(31.0, 230.0, 177.5)","(26.0, 230.0, 191.7941176470588)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:17.788332,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.6, 5.836363636363636)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:18.957191,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.6, 5.836363636363636)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:20.308397,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.6, 5.836363636363636)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:21.574254,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.6, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:22.791793,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:24.056540,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:25.245305,"(31.0, 230.0, 177.5)","(26.0, 230.0, 68.0)","(9.0, 14.5, 11.0625)","(7.0, 21.0, 14.3)","(14.0, 75.0, 54.333333333333336)","(3.2, 6.4, 6.1625000000000005)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:26.390806,"(31.0, 230.0, 177.5)","(26.0, 180.0, 97.0)","(9.0, 15.5, 11.785714285714285)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 5.573333333333333)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:27.556197,"(31.0, 230.0, 177.5)","(26.0, 180.0, 97.0)","(9.0, 15.5, 11.785714285714285)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 5.573333333333333)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:28.691253,"(31.0, 230.0, 177.5)","(26.0, 180.0, 97.0)","(9.0, 15.5, 11.785714285714285)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 5.573333333333333)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:29.867469,"(31.0, 230.0, 177.5)","(26.0, 180.0, 97.0)","(9.0, 15.5, 11.785714285714285)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 5.573333333333333)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:31.103081,"(31.0, 230.0, 177.5)","(26.0, 180.0, 97.0)","(9.0, 15.5, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 5.306666666666667)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:32.268576,"(31.0, 230.0, 177.5)","(26.0, 180.0, 96.5)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.8, 6.125)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:33.402324,"(31.0, 230.0, 177.5)","(26.0, 180.0, 96.5)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.66666666666667)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:34.543773,"(31.0, 230.0, 177.5)","(26.0, 180.0, 96.5)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.5)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.64285714285714)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:35.702801,"(31.0, 230.0, 177.5)","(26.0, 230.0, 67.25)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.5)","(3.2, 6.4, 6.125)","(21.0, 210.0, 160.5)","(2.2, 2.6, 2.4352941176470586)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:36.891772,"(31.0, 230.0, 177.5)","(26.0, 230.0, 148.625)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 64.5)","(3.2, 6.4, 6.125)","(21.0, 210.0, 160.5)","(2.2, 2.6, 2.4771428571428573)","(17.0, 36.0, 24.5)"
08-01-2023 12:51:38.107170,"(31.0, 230.0, 177.5)","(26.0, 230.0, 148.625)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 75.0, 66.875)","(3.2, 6.4, 6.125)","(21.0, 210.0, 160.5)","(2.2, 2.58, 2.4699999999999998)","(17.0, 36.0, 81.5)"
08-01-2023 12:51:39.310912,"(31.0, 230.0, 177.5)","(26.0, 190.0, 160.5)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 85.0, 66.875)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:40.500859,"(31.0, 230.0, 177.5)","(26.0, 190.0, 160.83333333333334)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 85.0, 66.875)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:41.668485,"(31.0, 230.0, 177.5)","(26.0, 190.0, 160.83333333333334)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 85.0, 66.875)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:42.844529,"(31.0, 230.0, 177.5)","(26.0, 190.0, 160.83333333333334)","(9.0, 15.0, 12.6)","(7.0, 21.0, 14.3)","(14.0, 85.0, 66.875)","(3.2, 6.4, 6.125)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:44.018368,"(31.0, 230.0, 177.5)","(21.0, 190.0, 160.83333333333334)","(8.0, 15.0, 12.6)","(6.5, 21.0, 14.3)","(16.0, 85.0, 66.875)","(3.3, 6.4, 6.125)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:45.153256,"(31.0, 230.0, 177.5)","(21.0, 190.0, 160.83333333333334)","(8.0, 15.0, 12.6)","(6.5, 21.0, 14.3)","(16.0, 85.0, 66.875)","(3.3, 6.4, 5.654545454545454)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:46.250698,"(31.0, 230.0, 177.5)","(21.0, 190.0, 160.83333333333334)","(8.0, 15.0, 12.6)","(6.5, 21.0, 14.3)","(16.0, 85.0, 66.875)","(3.3, 6.6, 5.3)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:47.418718,"(31.0, 230.0, 177.5)","(21.0, 190.0, 160.83333333333334)","(8.0, 15.0, 11.571428571428571)","(6.5, 21.0, 14.3)","(16.0, 85.0, 198.92857142857144)","(3.3, 6.6, 5.911111111111111)","(21.0, 210.0, 181.78571428571428)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:48.614775,"(31.0, 230.0, 177.5)","(21.0, 190.0, 160.83333333333334)","(8.0, 15.0, 11.571428571428571)","(6.5, 21.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.4, 5.95)","(21.0, 210.0, 144.33333333333334)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:49.750994,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 15.0, 11.571428571428571)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.2, 5.95)","(21.0, 210.0, 177.16666666666669)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:50.957096,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 15.0, 11.571428571428571)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.2, 5.95)","(21.0, 210.0, 177.16666666666669)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:52.141379,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 15.0, 11.571428571428571)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.2, 5.95)","(21.0, 210.0, 177.16666666666669)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:53.364859,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 15.0, 11.571428571428571)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.2, 6.3)","(21.0, 210.0, 144.33333333333334)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:54.595701,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 15.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:55.828652,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.56, 2.4699999999999998)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:57.013755,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.56, 2.505714285714286)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:58.200612,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.6, 2.48)","(17.0, 150.0, 81.5)"
08-01-2023 12:51:59.358868,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.58, 2.48)","(17.0, 150.0, 81.5)"
08-01-2023 12:52:00.462156,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 193.83333333333331)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 143.5)","(2.2, 2.58, 2.48)","(17.0, 150.0, 81.5)"
08-01-2023 12:52:01.612591,"(31.0, 230.0, 177.5)","(21.0, 190.0, 102.75)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.58, 2.4955555555555557)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:02.785590,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.3)","(21.0, 210.0, 160.125)","(2.2, 2.64, 2.4184)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:03.942344,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.3)","(21.0, 210.0, 160.125)","(2.2, 2.62, 2.4184)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:05.135724,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.3)","(21.0, 210.0, 160.125)","(2.2, 2.62, 2.4184)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:06.316631,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.62, 2.477777777777778)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:07.474309,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:08.620755,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:09.838386,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 121.75)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 150.0, 59.0)"
08-01-2023 12:52:11.032551,"(31.0, 230.0, 160.33333333333334)","(21.0, 190.0, 131.83333333333331)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 230.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 150.0, 21.0)"
08-01-2023 12:52:12.212522,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:13.352038,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:14.487336,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:15.606641,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:16.744514,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.2749999999999995)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:17.940507,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.6875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 6.1)","(21.0, 210.0, 160.125)","(2.2, 2.6, 2.477777777777778)","(17.0, 36.0, 21.0)"
08-01-2023 12:52:19.143607,"(31.0, 230.0, 160.33333333333334)","(21.0, 180.0, 125.16666666666667)","(8.0, 13.5, 10.875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 6.6, 5.218181818181818)","(21.0, 210.0, 147.5)","(2.2, 2.6, 2.3834782608695653)","(17.0, 36.0, 19.0)"
08-01-2023 12:52:20.366569,"(31.0, 230.0, 160.33333333333334)","(21.0, 160.0, 145.4)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 5.8, 4.84)","(21.0, 170.0, 147.5)","(2.2, 2.54, 2.3834782608695653)","(17.0, 30.0, 19.0)"
08-01-2023 12:52:21.528754,"(31.0, 230.0, 160.33333333333334)","(21.0, 160.0, 111.5)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 5.8, 5.487500000000001)","(21.0, 170.0, 147.5)","(2.2, 2.54, 2.4)","(17.0, 30.0, 19.0)"
08-01-2023 12:52:22.696509,"(31.0, 230.0, 160.33333333333334)","(21.0, 160.0, 111.5)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 5.7, 5.487500000000001)","(21.0, 170.0, 147.5)","(2.2, 2.52, 2.4)","(17.0, 30.0, 19.0)"
08-01-2023 12:52:23.886361,"(31.0, 230.0, 160.33333333333334)","(21.0, 160.0, 111.5)","(8.0, 14.0, 10.875)","(6.5, 20.0, 15.04)","(16.0, 75.0, 44.25)","(3.3, 5.7, 5.487500000000001)","(21.0, 170.0, 147.5)","(2.2, 2.52, 2.4)","(17.0, 30.0, 19.0)"
