,Hilltop Surfer,El Awoman,Aces Shadow,Celestial Topaz,Always Steamed Up,Soho Nadel
09-01-2023 12:26:26.666869,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:27.693117,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:28.697032,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:29.699971,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:30.710049,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:31.577771,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:32.504921,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:33.504741,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:34.465022,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:35.424929,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:36.354751,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:37.252661,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:38.275817,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:39.317003,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:40.371234,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:41.409723,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:42.348343,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:43.333171,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:44.238051,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:45.269955,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:46.351457,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:47.354572,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:48.272979,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:49.164418,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:50.156332,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:51.228547,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:52.255750,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:53.230328,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:54.116924,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:55.100845,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:56.049176,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:57.113205,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:58.129848,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:26:59.099662,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:00.059483,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:00.988178,"(1.85, 2.54, 2.453333333333333)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:01.961150,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:02.926552,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:03.907646,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:04.832246,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:05.733119,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:06.684302,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:07.667874,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:08.702912,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:09.745533,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:10.754184,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:11.672103,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:12.536226,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:13.567134,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:14.757848,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:15.951517,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:16.975009,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:17.893972,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:19.112364,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:20.286745,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:21.418435,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:22.467338,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:23.384060,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:24.454788,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:25.544966,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:26.630343,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:27.739727,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:28.764596,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:29.739175,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:30.755026,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:31.794770,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:32.843116,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:33.862083,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:34.858002,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:35.876287,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:36.947744,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:38.015265,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:39.080362,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:40.112488,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:41.084042,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:42.106337,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
09-01-2023 12:27:43.148909,"(1.85, 2.54, 2.36)","(4.2, 5.8, 5.05)","(4.0, 6.8, 6.4)","(11.0, 18.0, 15.0)","(6.0, 8.4, 7.300000000000001)","(12.0, 18.5, 15.5)"
