,Electro Guru,My Maximus,Speedy Cashew,Tahitian Lily,Modest,Our Legacy,Master Shameem
20,"[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 45, 660036), 2.5, 3.45]"
21,"[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 46, 785165), 2.5, 3.45]"
22,"[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 47, 916703), 2.5, 3.45]"
23,"[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 49, 28074), 2.5, 3.45]"
24,"[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 50, 167986), 2.5, 3.45]"
25,"[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 51, 287847), 2.5, 3.45]"
26,"[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 52, 403914), 2.5, 3.45]"
27,"[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 53, 524790), 2.5, 3.45]"
28,"[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 54, 642987), 2.5, 3.45]"
29,"[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 55, 766922), 2.5, 3.45]"
30,"[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 56, 881660), 2.5, 3.45]"
31,"[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 58, 2170), 2.5, 3.45]"
32,"[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 58, 59, 118714), 2.5, 3.45]"
33,"[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 0, 286480), 2.5, 3.45]"
