,Bettor My Dreamz Nz,The Last Drop,Brewery Lane,Ainsworth,Mission Glory,Belonero,Tradie,Make It Quick,Be On Guard,Dynamite Beach,The Party Boy
10-01-2023 20:44:39.137337,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:40.839012,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:42.584593,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:44.216615,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:45.803894,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:47.631118,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:49.558395,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:51.783218,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:54.130767,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:44:56.041018,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
