,Icy Hot,Austrian Beauty,Queen Missile,Rosie Love,Pollys Riff,Thai Warrior,Bob Albury,Meg Bee
08-01-2023 13:00:00.444567,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:01.560891,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:02.664981,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:03.807640,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:04.955432,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:06.115095,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:07.196379,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:08.179449,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:09.216274,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 13:00:10.248699,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
