,Sly Corner,Best To Hurry,Printmaker,Storm Harbour,Mandalay Blonde,Top Babe,In Great Nic,Sizzling Diamond,Romance Factor,Mishani Pharoah
05-01-2023 15:19:31.825038,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 60.0, 34.5)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 44.0, 33.8)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 95.0, 68.75)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:33.255000,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 60.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 44.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 95.0, 70.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:34.694797,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:36.398375,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:38.000901,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 108.0)"
05-01-2023 15:19:39.662691,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:41.409666,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:43.379176,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:45.007795,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:46.514461,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:47.902223,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:49.297404,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.333333333333334)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:50.695661,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 35.666666666666664)","(6.5, 8.6, 8.357142857142858)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 27.142857142857142)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:52.154321,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 47.75)","(6.5, 9.0, 8.357142857142858)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:53.686872,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 47.75)","(6.5, 9.0, 8.357142857142858)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:55.430511,"(6.0, 8.6, 8.133333333333333)","(3.4, 4.5, 4.014705882352941)","(26.0, 55.0, 36.2)","(6.5, 9.0, 8.357142857142858)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:56.928958,"(6.0, 8.6, 8.072727272727272)","(3.4, 4.5, 4.183333333333334)","(26.0, 50.0, 36.2)","(6.5, 9.0, 8.5)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 132.0)"
05-01-2023 15:19:58.463385,"(6.0, 8.4, 8.072727272727272)","(3.4, 4.4, 4.1156250000000005)","(26.0, 50.0, 36.2)","(6.5, 8.8, 8.5)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 72.0)"
05-01-2023 15:19:59.958796,"(6.0, 8.4, 8.072727272727272)","(3.4, 4.4, 4.1156250000000005)","(26.0, 50.0, 36.2)","(6.5, 8.8, 8.5)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 72.0)"
05-01-2023 15:20:01.329521,"(6.0, 8.4, 8.072727272727272)","(3.4, 4.4, 4.1156250000000005)","(26.0, 50.0, 36.2)","(6.5, 8.8, 8.5)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 30.0)","(18.0, 40.0, 36.92857142857143)","(51.0, 90.0, 70.0)","(31.0, 180.0, 72.0)"
05-01-2023 15:20:02.816168,"(6.0, 8.4, 8.072727272727272)","(3.4, 4.4, 4.1156250000000005)","(26.0, 50.0, 34.25)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 180.0, 103.0)"
05-01-2023 15:20:04.314793,"(6.0, 8.4, 8.0)","(3.4, 4.3, 4.041176470588235)","(26.0, 50.0, 34.25)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:05.727252,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 50.0, 34.25)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:07.103889,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 50.0, 34.25)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:08.476297,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 50.0, 34.25)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:09.859244,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 50.0, 38.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:11.540461,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:13.254811,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:14.806483,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 170.0, 103.0)"
05-01-2023 15:20:16.227123,"(6.0, 8.4, 7.84)","(3.4, 4.3, 4.041176470588235)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.71)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:17.667601,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:19.272744,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:20.577087,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:22.198755,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:23.716210,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:25.159373,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:26.575991,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 98.0)"
05-01-2023 15:20:27.960922,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:29.167998,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:30.398561,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:31.710221,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:33.029947,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:34.496742,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:36.007990,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:37.526969,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
05-01-2023 15:20:39.242207,"(6.0, 8.4, 7.875)","(3.4, 4.3, 3.855555555555555)","(26.0, 48.0, 37.5)","(6.5, 8.8, 8.48)","(2.25, 2.76, 2.696)","(26.0, 42.0, 34.5)","(21.0, 40.0, 28.75)","(18.0, 40.0, 26.0)","(51.0, 90.0, 70.0)","(31.0, 160.0, 132.44444444444446)"
