,Cruising Bellew,Hoppers Dream,Manoeuver Man,Calculating Dancer,Mamma Kass,Midnight Sport,Captain Thunderbolt Nz,Passionate Pursuit,Absolution,My Golden Eagle
12-01-2023 15:10:00.879435,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:02.109148,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:03.439149,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:04.814403,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:06.184829,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:07.541956,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:08.984423,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:10.352841,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:11.756858,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:13.137050,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:14.529102,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:15.893777,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:17.247802,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:18.561714,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:19.948756,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:21.476035,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:22.726813,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:24.049272,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:25.334125,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:26.621728,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:27.844944,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:29.105010,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:30.540520,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:31.985548,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:33.599094,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:35.026693,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:36.628482,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:38.007096,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:39.342614,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:40.588047,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:42.033237,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:43.429271,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:44.873298,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:46.295331,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:47.580362,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:49.123210,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:50.462797,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:51.875141,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:53.357534,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:54.784658,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:56.246235,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:57.784662,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:10:59.337713,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:00.836349,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:02.207380,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:03.502824,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:04.749177,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:06.124200,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:07.577697,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:08.950789,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:10.309923,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:11.840863,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:13.219998,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:14.788138,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:16.261198,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:17.726461,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:19.134914,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
12-01-2023 15:11:20.443839,"(91.0, 160.0, 138.57142857142856)","(31.0, 75.0, 46.333333333333336)","(26.0, 60.0, 38.0)","(2.6, 3.95, 3.7025)","(10.0, 16.5, 12.45)","(8.0, 13.0, 10.685714285714285)","(21.0, 99999, 99990)","(10.0, 18.0, 14.48)","(3.7, 4.3, 3.78)","(4.8, 5.6, 4.819999999999999)"
