,Kaseys Money,Buster Up,She Wolf,Spring Luna,Kick Off,Sunset Charlie,Aces Up
10-01-2023 15:54:18.427142,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.136486486486486)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:19.613607,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.136486486486486)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:20.670581,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.063235294117647)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:21.786883,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.187837837837838)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:22.976685,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.187837837837838)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:24.057386,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.187837837837838)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:25.193108,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 5.187837837837838)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:26.347690,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 4.157142857142857)","(11.0, 23.0, 14.666666666666666)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:27.505715,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 4.247619047619048)","(11.0, 23.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:28.705050,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 4.953333333333333)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:29.934499,"(2.1, 2.18, 2.108888888888889)","(3.4, 6.6, 4.953333333333333)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.011111111111111)","(11.0, 22.0, 16.0)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:31.154522,"(2.1, 2.18, 2.1114285714285717)","(3.4, 6.6, 4.576)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.76153846153846)","(11.0, 22.0, 17.0)","(6.0, 12.0, 10.338461538461537)"
10-01-2023 15:54:32.264834,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.576)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 8.76153846153846)","(11.0, 21.0, 17.0)","(6.0, 12.0, 10.338461538461537)"
10-01-2023 15:54:33.481776,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 3.8925)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 11.007692307692306)","(11.0, 21.0, 17.5)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:34.663828,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 10.336363636363636)","(11.0, 22.0, 17.5)","(6.0, 12.0, 10.65)"
10-01-2023 15:54:35.818173,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 11.007692307692306)","(11.0, 22.0, 17.5)","(6.0, 12.0, 10.961538461538462)"
10-01-2023 15:54:36.957995,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 11.007692307692306)","(11.0, 22.0, 17.5)","(6.0, 12.0, 8.285714285714285)"
10-01-2023 15:54:38.084918,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.66)","(11.0, 22.0, 17.5)","(6.0, 12.0, 8.285714285714285)"
10-01-2023 15:54:39.132774,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.9375)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.66)","(11.0, 22.0, 17.5)","(6.0, 12.0, 9.6)"
10-01-2023 15:54:40.247247,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.866666666666666)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.242857142857142)","(11.0, 22.0, 17.5)","(6.0, 11.0, 9.6)"
10-01-2023 15:54:41.415201,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.312)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.242857142857142)","(11.0, 22.0, 17.5)","(6.0, 11.0, 8.033333333333333)"
10-01-2023 15:54:42.524964,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.3999999999999995)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.66)","(11.0, 22.0, 18.5)","(6.0, 10.5, 8.5)"
10-01-2023 15:54:43.674773,"(2.1, 2.16, 2.1085714285714285)","(3.4, 6.6, 4.914516129032258)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.66)","(11.0, 24.0, 18.5)","(6.0, 10.0, 8.884615384615385)"
10-01-2023 15:54:44.879654,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.921666666666667)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.5)"
10-01-2023 15:54:46.101372,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.921666666666667)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.5)"
10-01-2023 15:54:47.314883,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.13)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.166666666666666)"
10-01-2023 15:54:48.496976,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.5)"
10-01-2023 15:54:49.647828,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.5)"
10-01-2023 15:54:50.727555,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.5)"
10-01-2023 15:54:51.927021,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.025)"
10-01-2023 15:54:53.110250,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:54:54.175374,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:54:55.260991,"(2.1, 2.28, 2.112)","(3.4, 6.6, 3.94)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:54:56.449843,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.268181818181818)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:54:57.662750,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.996874999999999)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:54:58.910346,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.225)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:55:00.057935,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.225)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:55:01.227252,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.3113636363636365)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:55:02.439140,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.3545454545454545)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:55:03.693832,"(2.1, 2.28, 2.112)","(3.4, 6.6, 4.613636363636363)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.5)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.59090909090909)"
10-01-2023 15:55:04.879897,"(2.1, 2.28, 2.112)","(3.4, 6.6, 5.01875)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.071428571428571)","(11.0, 24.0, 18.5)","(6.0, 10.5, 7.8)"
10-01-2023 15:55:06.028892,"(2.1, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.15625)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.071428571428571)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.64)"
10-01-2023 15:55:07.135079,"(2.1, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.28)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.071428571428571)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.127272727272727)"
10-01-2023 15:55:08.368088,"(2.1, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.071428571428571)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.325)"
10-01-2023 15:55:09.619319,"(2.1, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.071428571428571)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.325)"
10-01-2023 15:55:10.913108,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.325)"
10-01-2023 15:55:12.171142,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.325)"
10-01-2023 15:55:13.338182,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 8.32)"
10-01-2023 15:55:14.640086,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.0, 8.32)"
10-01-2023 15:55:15.903470,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 40.0)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.0, 9.775)"
10-01-2023 15:55:17.108000,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 35.714285714285715)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 9.775)"
10-01-2023 15:55:18.312291,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 9.775)"
10-01-2023 15:55:19.457852,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 9.775)"
10-01-2023 15:55:20.658264,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 10.5, 9.4375)"
10-01-2023 15:55:21.992765,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 12.5, 9.4375)"
10-01-2023 15:55:23.201407,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 12.5, 9.607142857142858)"
10-01-2023 15:55:24.375766,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.405714285714286)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.13076923076923)","(11.0, 24.0, 18.5)","(6.0, 12.5, 9.607142857142858)"
10-01-2023 15:55:25.754865,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:27.061632,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:28.404964,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:29.608227,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:30.754854,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:31.895790,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
10-01-2023 15:55:33.032282,"(2.05, 2.28, 2.1094736842105264)","(3.4, 6.6, 5.438888888888889)","(11.0, 22.0, 17.5)","(26.0, 100.0, 38.23529411764706)","(7.0, 15.5, 9.585714285714285)","(11.0, 24.0, 18.5)","(6.0, 12.5, 10.25)"
