,Coup De Spry,Good Luck Bob,Poet Warrior,Anditwasthebest,Banca Glee,Special Interest,Artful Pegasus,A Wee Nip,Fryer Hill,Threes A Crowd,Waning Weasel,Your Shuffle
11-01-2023 13:14:18.072660,"(26.0, 36.0, 32.0)","(4.4, 4.5, 4.120689655172414)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 9.4)","(51.0, 100.0, 95.71428571428572)","(5.5, 9.4, 8.0)","(10.0, 15.0, 12.75)","(12.0, 23.0, 16.181818181818183)","(3.1, 3.05, 4.177777777777778)","(101.0, 970.0, 931.8181818181818)","(21.0, 32.0, 29.3)"
11-01-2023 13:14:19.774492,"(26.0, 36.0, 32.0)","(4.4, 5.6, 5.176271186440678)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 9.4)","(51.0, 100.0, 95.71428571428572)","(5.5, 9.4, 6.063157894736842)","(10.0, 16.0, 14.8)","(12.0, 14.5, 20.833333333333336)","(3.1, 4.2, 3.2682926829268295)","(101.0, 970.0, 931.8181818181818)","(21.0, 32.0, 27.25)"
11-01-2023 13:14:21.283937,"(26.0, 34.0, 29.0)","(4.4, 5.6, 5.09074074074074)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 8.3)","(51.0, 100.0, 97.75)","(5.5, 6.6, 6.063157894736842)","(10.0, 16.0, 14.8)","(12.0, 22.0, 20.0)","(3.1, 3.9, 3.5272727272727273)","(101.0, 970.0, 931.8181818181818)","(21.0, 36.0, 27.25)"
11-01-2023 13:14:22.722798,"(26.0, 32.0, 28.0)","(4.4, 5.6, 4.894871794871794)","(41.0, 100.0, 75.0)","(101.0, 490.0, 395.0)","(8.5, 8.8, 8.3)","(51.0, 100.0, 97.75)","(5.5, 6.6, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 22.0, 16.458333333333332)","(3.1, 3.6, 3.5272727272727273)","(101.0, 970.0, 931.8181818181818)","(21.0, 36.0, 32.5)"
11-01-2023 13:14:24.177926,"(26.0, 32.0, 28.0)","(4.4, 5.5, 4.955555555555556)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 8.8, 15.341666666666667)","(51.0, 100.0, 97.75)","(5.5, 6.6, 6.175000000000001)","(10.0, 16.0, 14.434782608695652)","(12.0, 18.5, 16.458333333333332)","(3.1, 3.6, 3.5272727272727273)","(101.0, 970.0, 931.8181818181818)","(21.0, 36.0, 32.5)"
11-01-2023 13:14:25.652582,"(26.0, 36.0, 32.0)","(4.4, 5.5, 5.305555555555555)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 15.341666666666667)","(51.0, 100.0, 79.33333333333334)","(5.5, 6.4, 6.175000000000001)","(10.0, 16.0, 14.434782608695652)","(12.0, 18.5, 19.785714285714285)","(3.1, 3.6, 3.5135135135135136)","(101.0, 970.0, 931.8181818181818)","(21.0, 36.0, 32.5)"
11-01-2023 13:14:27.079006,"(26.0, 36.0, 32.0)","(4.4, 5.5, 5.352941176470588)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 10.602777777777778)","(51.0, 100.0, 97.5)","(5.5, 6.4, 6.175000000000001)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 19.785714285714285)","(3.1, 3.6, 3.5135135135135136)","(101.0, 970.0, 899.1666666666666)","(21.0, 36.0, 32.5)"
11-01-2023 13:14:28.547332,"(26.0, 36.0, 32.0)","(4.4, 5.5, 5.352941176470588)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 11.5, 10.535820895522388)","(51.0, 100.0, 97.5)","(5.5, 6.4, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 18.0)","(3.1, 3.6, 3.3866666666666667)","(101.0, 970.0, 899.1666666666666)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:30.056382,"(26.0, 36.0, 32.0)","(4.4, 5.5, 5.166666666666667)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 11.5, 10.366666666666667)","(51.0, 100.0, 97.5)","(5.5, 6.6, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 18.0)","(3.1, 3.6, 3.3866666666666667)","(101.0, 970.0, 899.1666666666666)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:31.529570,"(26.0, 36.0, 32.0)","(4.4, 4.5, 3.725977653631285)","(41.0, 100.0, 53.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 11.5, 10.366666666666667)","(51.0, 100.0, 97.5)","(5.5, 6.6, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 18.0)","(3.1, 3.6, 3.3866666666666667)","(101.0, 970.0, 899.1666666666666)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:33.014101,"(26.0, 36.0, 32.0)","(4.4, 4.5, 3.725977653631285)","(41.0, 100.0, 56.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 7.966666666666667)","(51.0, 100.0, 97.5)","(5.5, 6.6, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 18.0)","(3.1, 3.6, 3.5563636363636366)","(101.0, 970.0, 899.1666666666666)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:34.581883,"(26.0, 42.0, 37.5)","(4.4, 4.5, 3.725977653631285)","(41.0, 100.0, 56.0)","(101.0, 490.0, 395.0)","(8.5, 9.8, 8.333333333333334)","(51.0, 100.0, 97.5)","(5.5, 6.6, 5.75)","(10.0, 16.0, 11.285714285714286)","(12.0, 23.0, 17.0)","(3.1, 3.6, 3.5513513513513515)","(101.0, 970.0, 861.25)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:36.068243,"(26.0, 42.0, 33.5)","(4.4, 4.5, 3.732941176470588)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 11.5, 14.0)","(51.0, 100.0, 95.0)","(5.5, 6.6, 5.75)","(10.0, 16.0, 11.285714285714286)","(12.0, 23.0, 18.8)","(3.1, 3.6, 3.5513513513513515)","(101.0, 970.0, 861.25)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:37.512054,"(26.0, 42.0, 33.5)","(4.4, 4.4, 4.108333333333333)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 13.0)","(51.0, 100.0, 72.5)","(5.5, 6.6, 5.665)","(10.0, 16.0, 14.434782608695652)","(12.0, 23.0, 18.333333333333332)","(3.1, 3.6, 3.5513513513513515)","(101.0, 970.0, 861.25)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:38.987900,"(26.0, 42.0, 37.5)","(4.4, 4.4, 3.9625000000000004)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 13.0)","(51.0, 90.0, 72.5)","(5.5, 6.6, 5.665)","(10.0, 16.0, 13.23076923076923)","(12.0, 23.0, 18.333333333333332)","(3.1, 3.6, 3.5513513513513515)","(101.0, 970.0, 861.25)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:40.384174,"(26.0, 42.0, 37.5)","(4.4, 4.4, 4.2214285714285715)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 12.65)","(51.0, 90.0, 95.0)","(5.5, 6.6, 5.775)","(10.0, 16.0, 11.75)","(12.0, 23.0, 18.333333333333332)","(3.1, 3.6, 3.06)","(101.0, 970.0, 861.25)","(21.0, 36.0, 30.333333333333336)"
11-01-2023 13:14:41.955349,"(26.0, 42.0, 37.5)","(4.4, 4.4, 3.9714285714285715)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 15.5, 16.5)","(51.0, 100.0, 95.45454545454547)","(5.5, 6.6, 5.365306122448979)","(10.0, 13.5, 12.833333333333334)","(12.0, 23.0, 20.6)","(3.1, 3.15, 3.146153846153846)","(101.0, 970.0, 873.3333333333334)","(21.0, 36.0, 34.0)"
11-01-2023 13:14:43.489637,"(26.0, 44.0, 35.5)","(4.4, 4.0, 3.705844155844156)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 17.5, 15.0)","(51.0, 100.0, 104.54545454545453)","(5.5, 5.5, 6.0)","(10.0, 13.5, 14.764705882352942)","(12.0, 23.0, 17.8)","(3.1, 3.2, 3.1875)","(101.0, 970.0, 861.25)","(21.0, 38.0, 31.666666666666664)"
11-01-2023 13:14:45.042190,"(26.0, 46.0, 36.0)","(4.4, 4.0, 3.7548701298701297)","(41.0, 100.0, 57.33333333333333)","(101.0, 490.0, 395.0)","(8.5, 17.5, 15.0)","(51.0, 110.0, 105.38461538461539)","(5.5, 6.4, 6.0)","(10.0, 15.0, 15.236363636363635)","(12.0, 23.0, 18.2)","(3.1, 3.6, 3.325)","(101.0, 970.0, 8761.625)","(21.0, 38.0, 29.0)"
11-01-2023 13:14:46.635539,"(26.0, 46.0, 41.0)","(4.4, 4.0, 3.9512903225806455)","(41.0, 100.0, 60.0)","(101.0, 490.0, 395.0)","(8.5, 17.5, 8.807407407407409)","(51.0, 110.0, 105.38461538461539)","(5.5, 6.4, 5.506)","(10.0, 16.0, 15.571428571428571)","(12.0, 23.0, 21.0)","(3.1, 3.6, 3.563333333333333)","(101.0, 99999, 8899.111111111111)","(21.0, 38.0, 35.0)"
11-01-2023 13:14:48.242476,"(26.0, 46.0, 41.0)","(4.4, 4.0, 3.902)","(41.0, 100.0, 68.0)","(101.0, 490.0, 395.0)","(8.5, 9.0, 13.25)","(51.0, 110.0, 114.61538461538461)","(5.5, 5.6, 5.506382978723404)","(10.0, 16.0, 10.225)","(12.0, 23.0, 18.875)","(3.1, 3.6, 3.4000000000000004)","(101.0, 99999, 8761.625)","(21.0, 38.0, 27.4)"
11-01-2023 13:14:49.746546,"(26.0, 46.0, 35.5)","(4.4, 4.0, 3.902)","(41.0, 100.0, 68.0)","(101.0, 490.0, 395.0)","(8.5, 17.5, 13.25)","(51.0, 120.0, 114.61538461538461)","(5.5, 5.6, 5.506818181818182)","(10.0, 16.0, 10.225)","(12.0, 23.0, 18.875)","(3.1, 3.6, 3.4000000000000004)","(101.0, 99999, 8761.625)","(21.0, 40.0, 27.4)"
11-01-2023 13:14:51.179932,"(26.0, 46.0, 40.5)","(4.4, 4.0, 3.6843558282208586)","(41.0, 100.0, 68.0)","(101.0, 490.0, 285.0)","(8.5, 17.5, 11.533333333333333)","(51.0, 120.0, 114.16666666666666)","(5.5, 5.6, 5.323684210526316)","(10.0, 16.0, 15.236363636363635)","(12.0, 23.0, 19.1)","(3.1, 3.6, 3.3)","(101.0, 99999, 5042.0)","(21.0, 40.0, 27.4)"
11-01-2023 13:14:52.517932,"(26.0, 46.0, 35.0)","(4.4, 4.0, 3.7598039215686274)","(41.0, 100.0, 68.0)","(101.0, 490.0, 285.0)","(8.5, 17.0, 14.5)","(51.0, 120.0, 114.16666666666666)","(5.5, 5.6, 5.461904761904762)","(10.0, 16.0, 13.375)","(12.0, 23.0, 20.214285714285715)","(3.1, 3.6, 3.023076923076923)","(101.0, 99999, 5042.0)","(21.0, 40.0, 27.25)"
11-01-2023 13:14:53.891370,"(26.0, 46.0, 35.5)","(4.4, 4.0, 3.853973509933775)","(41.0, 100.0, 65.0)","(101.0, 490.0, 292.5)","(8.5, 18.5, 15.0)","(51.0, 120.0, 114.61538461538461)","(5.5, 5.6, 5.461904761904762)","(10.0, 16.0, 14.285714285714286)","(12.0, 23.0, 20.214285714285715)","(3.1, 3.1, 3.0473684210526315)","(101.0, 99999, 5049.5)","(21.0, 40.0, 26.5)"
11-01-2023 13:14:55.293964,"(26.0, 46.0, 35.5)","(4.4, 4.0, 3.853973509933775)","(41.0, 100.0, 65.0)","(101.0, 490.0, 285.0)","(8.5, 16.0, 11.566666666666666)","(51.0, 120.0, 123.84615384615385)","(5.5, 5.6, 5.466666666666667)","(10.0, 16.0, 13.916666666666666)","(12.0, 23.0, 18.5)","(3.1, 3.1, 3.285)","(101.0, 99999, 5042.0)","(21.0, 40.0, 27.4)"
11-01-2023 13:14:56.739906,"(26.0, 48.0, 34.285714285714285)","(4.4, 4.0, 3.853082191780822)","(41.0, 100.0, 65.0)","(101.0, 490.0, 285.0)","(8.5, 17.5, 13.75)","(51.0, 130.0, 123.84615384615385)","(5.5, 5.6, 5.5)","(10.0, 16.0, 13.916666666666666)","(12.0, 23.0, 15.714285714285714)","(3.1, 3.6, 3.3375)","(101.0, 99999, 5042.0)","(21.0, 40.0, 27.4)"
11-01-2023 13:14:58.129387,"(26.0, 48.0, 34.285714285714285)","(4.4, 4.0, 3.853103448275862)","(41.0, 100.0, 65.0)","(101.0, 490.0, 285.0)","(8.5, 17.5, 12.75)","(51.0, 130.0, 123.84615384615385)","(5.5, 5.6, 5.7)","(10.0, 16.0, 13.916666666666666)","(12.0, 16.0, 18.0)","(3.1, 3.6, 3.285)","(101.0, 99999, 5042.0)","(21.0, 40.0, 27.4)"
