,Barcelona Boy,Comical Mick,Brians Buster,One More Time,Aerobic Bella,Yumar,Craigs Cruisin
07-12-2022 14:23:21.601364,"(1.7, 1.9, 1.871)","(4.2, 4.8, 4.684090909090909)","(18.0, 36.0, 30.146341463414632)","(21.0, 32.0, 32.875)","(10.0, 18.5, 17.29032258064516)","(5.5, 8.0, 7.964705882352941)","(101.0, 540.0, 360.0)"
07-12-2022 14:23:22.861364,"(1.7, 1.87, 1.8682608695652174)","(4.2, 4.8, 4.733333333333333)","(18.0, 36.0, 30.146341463414632)","(21.0, 34.0, 32.36363636363636)","(10.0, 18.5, 17.607142857142858)","(5.5, 8.0, 7.976923076923077)","(101.0, 540.0, 369.4736842105263)"
07-12-2022 14:23:24.099478,"(1.7, 1.85, 1.8457142857142859)","(4.2, 4.8, 4.733333333333333)","(18.0, 36.0, 30.146341463414632)","(21.0, 34.0, 32.434782608695656)","(10.0, 18.5, 17.607142857142858)","(5.5, 8.0, 7.978571428571429)","(101.0, 540.0, 369.4736842105263)"
07-12-2022 14:23:25.339825,"(1.7, 1.85, 1.8457142857142859)","(4.2, 4.8, 4.733333333333333)","(18.0, 36.0, 30.146341463414632)","(21.0, 34.0, 32.434782608695656)","(10.0, 18.5, 17.607142857142858)","(5.5, 8.0, 7.978571428571429)","(101.0, 540.0, 308.57142857142856)"
07-12-2022 14:23:26.576174,"(1.7, 1.85, 1.8457142857142859)","(4.2, 4.8, 4.716666666666667)","(18.0, 36.0, 31.304347826086957)","(21.0, 34.0, 31.5)","(10.0, 18.5, 17.458333333333332)","(5.5, 8.0, 7.9625)","(101.0, 540.0, 290.7692307692308)"
07-12-2022 14:23:27.736850,"(1.7, 1.85, 1.8457142857142859)","(4.2, 4.8, 4.716666666666667)","(18.0, 36.0, 31.304347826086957)","(21.0, 34.0, 31.5)","(10.0, 18.5, 17.458333333333332)","(5.5, 8.0, 7.9625)","(101.0, 540.0, 315.0)"
07-12-2022 14:23:28.841655,"(1.7, 1.85, 1.8457142857142859)","(4.2, 4.8, 4.716666666666667)","(18.0, 36.0, 31.764705882352942)","(21.0, 34.0, 31.692307692307693)","(10.0, 18.5, 17.666666666666668)","(5.5, 8.0, 7.976923076923077)","(101.0, 540.0, 365.0)"
07-12-2022 14:23:30.037605,"(1.7, 1.85, 1.8441176470588236)","(4.2, 4.8, 4.7631578947368425)","(18.0, 36.0, 31.125)","(21.0, 34.0, 26.829787234042552)","(10.0, 18.5, 17.693548387096776)","(5.5, 8.0, 7.925)","(101.0, 540.0, 330.0)"
07-12-2022 14:23:31.137416,"(1.7, 1.85, 1.8258823529411765)","(4.2, 4.9, 4.8187500000000005)","(18.0, 36.0, 32.43478260869565)","(21.0, 27.0, 29.636363636363637)","(10.0, 18.5, 18.023809523809526)","(5.5, 8.2, 8.059999999999999)","(101.0, 540.0, 330.0)"
07-12-2022 14:23:32.289375,"(1.7, 1.83, 1.8261290322580646)","(4.2, 4.9, 4.831034482758621)","(18.0, 36.0, 32.72)","(21.0, 30.0, 29.85185185185185)","(10.0, 18.5, 18.023809523809526)","(5.5, 8.2, 8.333333333333332)","(101.0, 540.0, 315.0)"
07-12-2022 14:23:33.525347,"(1.7, 1.83, 1.807777777777778)","(4.2, 4.9, 4.835483870967742)","(18.0, 36.0, 29.26530612244898)","(21.0, 30.0, 29.82608695652174)","(10.0, 18.5, 17.91176470588235)","(5.5, 8.6, 8.424999999999999)","(101.0, 540.0, 331.875)"
07-12-2022 14:23:34.743620,"(1.7, 1.82, 1.8174193548387096)","(4.2, 4.9, 4.835483870967742)","(18.0, 30.0, 29.32075471698113)","(21.0, 30.0, 29.714285714285715)","(10.0, 18.5, 17.91176470588235)","(5.5, 8.6, 8.514285714285714)","(101.0, 540.0, 331.875)"
07-12-2022 14:23:35.785249,"(1.7, 1.83, 1.814)","(4.2, 4.9, 4.828571428571429)","(18.0, 30.0, 29.32075471698113)","(21.0, 30.0, 29.714285714285715)","(10.0, 18.5, 17.91176470588235)","(5.5, 8.6, 8.514285714285714)","(101.0, 540.0, 331.875)"
07-12-2022 14:23:36.946444,"(1.65, 1.82, 1.8168852459016394)","(4.2, 4.9, 4.83939393939394)","(19.0, 30.0, 30.0)","(21.0, 30.0, 28.823529411764707)","(10.0, 18.5, 18.214285714285715)","(5.5, 9.0, 8.894117647058824)","(101.0, 540.0, 429.2307692307692)"
07-12-2022 14:23:38.092212,"(1.65, 1.81, 1.795)","(4.2, 4.9, 4.892592592592593)","(19.0, 32.0, 30.0)","(21.0, 29.0, 28.823529411764707)","(10.0, 18.5, 18.77777777777778)","(5.5, 9.0, 9.107692307692307)","(101.0, 540.0, 429.2307692307692)"
07-12-2022 14:23:39.343549,"(1.65, 1.8, 1.7921052631578949)","(4.2, 5.0, 4.951612903225806)","(19.0, 32.0, 28.571428571428573)","(21.0, 29.0, 28.72222222222222)","(10.0, 19.0, 19.14)","(5.5, 9.2, 8.96)","(101.0, 540.0, 360.0)"
07-12-2022 14:23:40.518157,"(1.65, 1.8, 1.7763636363636364)","(4.2, 5.0, 4.94)","(19.0, 32.0, 29.428571428571427)","(21.0, 29.0, 27.18181818181818)","(10.0, 19.5, 19.071428571428573)","(5.5, 9.2, 9.155555555555555)","(101.0, 540.0, 360.0)"
07-12-2022 14:23:41.662846,"(1.65, 1.8, 1.7782758620689656)","(4.2, 5.0, 4.902941176470589)","(19.0, 32.0, 26.264705882352942)","(21.0, 28.0, 25.8)","(10.0, 19.5, 19.071428571428573)","(5.5, 9.6, 9.571428571428571)","(101.0, 540.0, 400.0)"
07-12-2022 14:23:42.911304,"(1.65, 1.79, 1.7775)","(4.2, 5.0, 4.915384615384616)","(19.0, 27.0, 26.264705882352942)","(21.0, 26.0, 24.2)","(10.0, 19.5, 19.25)","(5.5, 9.8, 9.542857142857143)","(101.0, 540.0, 432.3076923076923)"
07-12-2022 14:23:44.108546,"(1.65, 1.79, 1.7775)","(4.2, 5.0, 4.9175)","(18.0, 27.0, 25.4)","(21.0, 26.0, 24.18867924528302)","(11.0, 20.0, 19.625)","(6.0, 9.8, 9.645714285714286)","(101.0, 540.0, 365.0)"
07-12-2022 14:23:45.232198,"(1.65, 1.78, 1.7744444444444445)","(4.2, 5.0, 4.905714285714286)","(18.0, 26.0, 25.4)","(21.0, 26.0, 24.25925925925926)","(11.0, 20.0, 19.625)","(6.0, 10.5, 9.6475)","(101.0, 540.0, 328.57142857142856)"
07-12-2022 14:23:46.408318,"(1.65, 1.79, 1.78)","(4.2, 5.0, 4.886206896551724)","(18.0, 27.0, 25.75)","(21.0, 26.0, 24.135593220338983)","(11.0, 20.0, 19.294117647058822)","(6.0, 10.5, 9.628124999999999)","(101.0, 540.0, 388.8888888888889)"
07-12-2022 14:23:47.526434,"(1.65, 1.8, 1.7953333333333334)","(4.2, 5.0, 4.9)","(18.0, 26.0, 25.75)","(21.0, 26.0, 24.135593220338983)","(11.0, 19.5, 19.294117647058822)","(6.0, 10.5, 9.628124999999999)","(101.0, 540.0, 388.8888888888889)"
07-12-2022 14:23:48.795007,"(1.65, 1.79, 1.7740217391304347)","(4.2, 5.1, 5.033333333333333)","(18.0, 26.0, 25.75)","(21.0, 25.0, 24.5)","(11.0, 19.5, 19.208333333333332)","(6.0, 10.5, 9.8025)","(101.0, 540.0, 404.0)"
07-12-2022 14:23:50.106064,"(1.65, 1.79, 1.7692307692307692)","(4.2, 5.1, 5.026666666666666)","(17.0, 26.0, 24.307692307692307)","(21.0, 25.0, 24.130434782608695)","(11.0, 19.5, 19.294117647058822)","(6.0, 10.5, 9.858333333333334)","(101.0, 540.0, 268.0)"
07-12-2022 14:23:51.397237,"(1.65, 1.78, 1.7680645161290323)","(4.2, 5.1, 5.046153846153846)","(17.0, 26.0, 24.307692307692307)","(21.0, 25.0, 24.272727272727273)","(11.0, 19.5, 19.294117647058822)","(6.0, 10.5, 10.173333333333334)","(101.0, 540.0, 268.0)"
07-12-2022 14:23:52.491987,"(1.65, 1.77, 1.7680645161290323)","(4.2, 5.1, 5.046153846153846)","(17.0, 26.0, 24.307692307692307)","(21.0, 25.0, 24.272727272727273)","(11.0, 19.5, 19.25)","(6.0, 10.5, 10.338461538461539)","(101.0, 540.0, 380.0)"
07-12-2022 14:23:53.783019,"(1.65, 1.77, 1.7653333333333334)","(4.2, 5.1, 4.967857142857143)","(17.0, 25.0, 25.25)","(21.0, 25.0, 24.703703703703702)","(11.0, 19.5, 19.192307692307693)","(6.0, 10.5, 10.338461538461539)","(101.0, 540.0, 380.0)"
07-12-2022 14:23:55.308941,"(1.65, 1.76, 1.7525581395348837)","(4.2, 5.1, 4.965454545454546)","(17.0, 26.0, 25.473684210526315)","(21.0, 25.0, 24.328358208955223)","(11.0, 19.5, 19.3)","(6.0, 10.5, 10.4)","(101.0, 540.0, 244.0)"
07-12-2022 14:23:56.618113,"(1.65, 1.76, 1.7503030303030302)","(4.2, 5.1, 4.9223684210526315)","(17.0, 26.0, 25.59090909090909)","(21.0, 26.0, 24.507042253521128)","(11.0, 19.5, 19.875)","(6.0, 11.0, 10.403846153846153)","(101.0, 540.0, 244.0)"
07-12-2022 14:23:57.870072,"(1.65, 1.76, 1.752952380952381)","(4.2, 5.1, 4.9223684210526315)","(17.0, 26.0, 25.853658536585368)","(21.0, 26.0, 24.317460317460316)","(11.0, 20.0, 19.625)","(6.0, 11.0, 10.754237288135593)","(101.0, 540.0, 244.0)"
07-12-2022 14:23:59.026981,"(1.6, 1.76, 1.7523529411764707)","(4.2, 5.0, 4.859259259259259)","(17.0, 26.0, 25.68888888888889)","(21.0, 26.0, 24.262295081967213)","(12.0, 21.0, 19.6)","(6.5, 11.5, 11.075221238938052)","(101.0, 540.0, 244.0)"
07-12-2022 14:24:00.083933,"(1.6, 1.76, 1.7514285714285713)","(4.2, 5.0, 4.842553191489362)","(17.0, 26.0, 25.853658536585368)","(21.0, 26.0, 25.036363636363635)","(12.0, 21.0, 19.6)","(6.5, 11.5, 11.161538461538461)","(101.0, 540.0, 263.6363636363636)"
07-12-2022 14:24:01.356985,"(1.6, 1.77, 1.7576923076923077)","(4.2, 5.0, 4.847058823529411)","(17.0, 26.0, 25.853658536585368)","(21.0, 26.0, 24.393939393939394)","(12.0, 21.0, 19.6)","(6.5, 11.5, 11.248538011695906)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:02.745706,"(1.6, 1.77, 1.7682142857142857)","(4.2, 5.0, 4.855555555555555)","(17.0, 26.0, 25.80952380952381)","(21.0, 26.0, 24.393939393939394)","(12.0, 21.0, 19.59375)","(6.5, 11.5, 11.200460829493087)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:03.921085,"(1.6, 1.77, 1.7661333333333333)","(4.2, 5.0, 4.861538461538461)","(17.0, 26.0, 25.794871794871796)","(21.0, 26.0, 24.470588235294116)","(12.0, 21.0, 20.1)","(6.5, 11.5, 11.195852534562212)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:05.025819,"(1.6, 1.77, 1.755)","(4.2, 5.0, 4.861538461538461)","(17.0, 26.0, 25.794871794871796)","(21.0, 26.0, 24.438356164383563)","(12.0, 21.0, 19.944444444444443)","(6.5, 11.5, 11.216738197424892)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:06.367058,"(1.6, 1.77, 1.756829268292683)","(4.2, 5.0, 4.841935483870968)","(17.0, 26.0, 25.842105263157894)","(21.0, 26.0, 24.347826086956523)","(12.0, 20.0, 19.944444444444443)","(6.5, 11.5, 11.228395061728396)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:07.528314,"(1.6, 1.77, 1.7565)","(4.2, 5.0, 4.841935483870968)","(17.0, 26.0, 25.842105263157894)","(21.0, 26.0, 24.347826086956523)","(12.0, 20.0, 19.944444444444443)","(6.5, 11.5, 11.228395061728396)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:08.785277,"(1.6, 1.77, 1.7565)","(4.2, 5.0, 4.841935483870968)","(17.0, 26.0, 25.842105263157894)","(21.0, 26.0, 24.347826086956523)","(12.0, 20.0, 19.944444444444443)","(6.5, 11.5, 11.228395061728396)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:10.104016,"(1.6, 1.77, 1.7516666666666667)","(4.2, 5.0, 4.811702127659575)","(17.0, 26.0, 25.625)","(21.0, 26.0, 24.394736842105264)","(12.0, 19.5, 19.464285714285715)","(6.5, 11.5, 11.232793522267206)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:11.480915,"(1.6, 1.76, 1.7513333333333334)","(4.2, 5.0, 4.80377358490566)","(16.0, 27.0, 25.625)","(21.0, 26.0, 24.231884057971016)","(12.0, 19.5, 19.464285714285715)","(7.5, 11.5, 11.232793522267206)","(101.0, 540.0, 202.22222222222223)"
07-12-2022 14:24:12.947299,"(1.6, 1.76, 1.7513333333333334)","(4.2, 5.0, 4.81)","(16.0, 27.0, 25.88235294117647)","(21.0, 26.0, 24.231884057971016)","(12.0, 19.5, 19.4)","(7.5, 11.5, 11.199588477366255)","(101.0, 540.0, 198.0)"
07-12-2022 14:24:14.453913,"(1.6, 1.77, 1.7539130434782608)","(4.2, 4.9, 4.81)","(16.0, 26.0, 26.363636363636363)","(20.0, 26.0, 24.231884057971016)","(13.0, 19.5, 19.444444444444443)","(7.5, 11.5, 11.199588477366255)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:16.501545,"(1.55, 1.77, 1.7658252427184467)","(4.2, 4.9, 4.762857142857143)","(16.0, 27.0, 26.185185185185183)","(20.0, 26.0, 24.231884057971016)","(13.0, 19.5, 19.46875)","(7.5, 11.5, 11.205645161290322)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:17.729818,"(1.55, 1.77, 1.7658252427184467)","(4.2, 4.9, 4.762857142857143)","(16.0, 27.0, 26.142857142857142)","(20.0, 26.0, 24.231884057971016)","(13.0, 19.5, 19.9375)","(7.5, 11.5, 11.205645161290322)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:18.993258,"(1.55, 1.78, 1.7712)","(4.2, 4.9, 4.75)","(16.0, 27.0, 26.142857142857142)","(20.0, 26.0, 24.231884057971016)","(13.0, 20.0, 19.88888888888889)","(7.5, 11.5, 11.199588477366255)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:20.212987,"(1.55, 1.78, 1.7712)","(4.2, 4.9, 4.75)","(16.0, 27.0, 26.142857142857142)","(20.0, 26.0, 24.666666666666668)","(13.0, 20.0, 19.90909090909091)","(7.5, 11.5, 11.199588477366255)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:21.413601,"(1.55, 1.78, 1.7703508771929826)","(4.2, 4.9, 4.772)","(16.0, 27.0, 26.142857142857142)","(20.0, 25.0, 24.333333333333332)","(13.0, 20.0, 19.9375)","(7.5, 11.5, 11.204453441295547)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:22.527779,"(1.55, 1.78, 1.7698333333333334)","(4.2, 4.9, 4.772)","(16.0, 27.0, 26.142857142857142)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.9375)","(7.5, 11.5, 11.216049382716049)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:23.689629,"(1.55, 1.78, 1.7670588235294118)","(4.2, 4.9, 4.772)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.928571428571427)","(7.5, 11.5, 11.204453441295547)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:24.951877,"(1.55, 1.78, 1.7661538461538462)","(4.2, 4.9, 4.772)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.928571428571427)","(7.5, 11.5, 11.204453441295547)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:26.209949,"(1.55, 1.78, 1.7641176470588236)","(4.2, 4.9, 4.75)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.88888888888889)","(7.5, 11.5, 11.04)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:27.348835,"(1.55, 1.77, 1.7693333333333334)","(4.2, 4.9, 4.75)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.90909090909091)","(7.5, 11.5, 11.063291139240507)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:28.539246,"(1.55, 1.77, 1.7692)","(4.2, 4.9, 4.745070422535211)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 20.0, 19.441176470588236)","(7.5, 11.5, 11.205607476635514)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:29.797651,"(1.55, 1.77, 1.7692)","(4.2, 4.9, 4.745070422535211)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 19.5, 19.441176470588236)","(7.5, 11.5, 11.217821782178218)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:30.993599,"(1.55, 1.77, 1.7691304347826087)","(4.2, 4.9, 4.739506172839507)","(16.0, 27.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 19.5, 19.441176470588236)","(7.5, 11.5, 11.209183673469388)","(91.0, 540.0, 198.0)"
07-12-2022 14:24:32.216651,"(1.55, 1.77, 1.7691304347826087)","(4.2, 4.9, 4.739506172839507)","(16.0, 26.0, 26.0)","(20.0, 25.0, 24.32)","(13.0, 19.5, 19.40909090909091)","(7.5, 11.5, 11.227272727272727)","(91.0, 540.0, 478.8235294117647)"
07-12-2022 14:24:33.485645,"(1.55, 1.77, 1.7694117647058825)","(4.2, 4.8, 4.647058823529411)","(16.0, 27.0, 26.03448275862069)","(20.0, 25.0, 24.32)","(13.0, 19.5, 19.681818181818183)","(7.5, 11.5, 11.227272727272727)","(91.0, 540.0, 478.8235294117647)"
07-12-2022 14:24:34.631004,"(1.55, 1.77, 1.7694117647058825)","(4.2, 4.8, 4.647058823529411)","(16.0, 27.0, 26.185185185185183)","(20.0, 25.0, 24.5)","(13.0, 21.0, 19.85)","(7.5, 11.5, 11.32258064516129)","(91.0, 540.0, 478.8235294117647)"
07-12-2022 14:24:35.863124,"(1.55, 1.75, 1.7422994652406416)","(4.2, 4.8, 4.7190082644628095)","(16.0, 27.0, 26.185185185185183)","(20.0, 25.0, 24.40740740740741)","(13.0, 21.0, 19.85)","(7.5, 11.5, 12.214285714285714)","(91.0, 540.0, 472.5)"
07-12-2022 14:24:37.102454,"(1.55, 1.74, 1.73675)","(4.2, 4.8, 4.649230769230769)","(16.0, 27.0, 25.59259259259259)","(20.0, 26.0, 25.035714285714285)","(13.0, 21.0, 19.85)","(7.5, 12.5, 11.626582278481013)","(91.0, 540.0, 472.5)"
07-12-2022 14:24:38.478904,"(1.55, 1.75, 1.7350943396226415)","(4.2, 4.8, 4.671052631578947)","(16.0, 27.0, 25.56140350877193)","(20.0, 26.0, 25.029411764705884)","(13.0, 21.0, 19.85)","(7.5, 12.5, 11.882352941176471)","(91.0, 540.0, 472.5)"
