,Jumbo Ozaki,Miss Destruction,Eve And Jan,Fan Cool Unit,Alinta Fire,Smart Times,Who Roux Dude,Lees Bonus
15-12-2022 11:33:46.286523,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:47.439877,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:48.467084,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:49.554161,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:50.633901,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:51.802120,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:52.917635,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:54.076712,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:55.146527,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:56.202602,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:57.294974,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:58.357837,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:33:59.486653,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:00.651472,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:01.829508,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:03.031181,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:04.183575,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:05.374038,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:06.569652,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:07.669920,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:08.762795,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:09.869339,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:10.987813,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:12.162467,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:13.307840,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:14.446705,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:15.562899,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:16.639054,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:17.713513,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:18.794040,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:19.892943,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:21.066537,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:22.195781,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:23.303776,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:24.370765,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:25.479355,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:26.645858,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:27.821905,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:29.004141,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:30.199372,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:31.472866,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:32.867095,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:33.980683,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:35.090545,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:36.323184,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:37.539286,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:38.653253,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:39.840307,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:41.197315,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:42.496763,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:43.695838,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:44.865869,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:46.228105,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:47.548394,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:48.968219,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:50.361836,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:51.593335,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:52.767205,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:54.020980,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
15-12-2022 11:34:55.261539,"(3.0, 4.1, 3.2291666666666665)","(18.0, 60.0, 40.68181818181819)","(41.0, 300.0, 168.0)","(41.0, 290.0, 164.0)","(4.0, 7.0, 4.535)","(5.0, 10.0, 8.2)","(4.8, 8.4, 7.384615384615385)","(4.4, 8.2, 5.235294117647058)"
