,Farmor Hype,Pump My Tyre,Rosdue Kodiak,Ninja Redemption,On Any Day,Magique Noir,Champagne Ivy,Wild Apatite
09-01-2023 11:09:04.652464,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:05.649453,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:06.726905,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.0)"
09-01-2023 11:09:07.837525,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.818181818181818)"
09-01-2023 11:09:08.931380,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:10.049337,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:11.200403,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:12.348280,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:13.489053,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:14.638079,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:15.793507,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:16.947226,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:18.094683,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:19.228886,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:20.413252,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.125)"
09-01-2023 11:09:21.527168,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:22.652269,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:23.826198,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:24.929755,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:25.996849,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:27.358483,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:28.580615,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:29.920436,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:31.087906,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:32.132103,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:33.193412,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:34.270509,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:35.447252,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:36.691324,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:37.933384,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 16.333333333333332)"
09-01-2023 11:09:39.204441,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:40.465645,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:41.649672,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:42.839210,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:44.019060,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:45.246866,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:46.408834,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:47.569431,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:48.764803,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:49.903650,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:51.058165,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:52.231580,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:53.442011,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.0)"
09-01-2023 11:09:54.648682,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 15.214285714285714)"
09-01-2023 11:09:55.839647,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.399999999999999)"
09-01-2023 11:09:57.063859,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 13.399999999999999)"
09-01-2023 11:09:58.240112,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:09:59.439770,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:00.665594,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:01.835930,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:03.042827,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:04.257683,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:05.440936,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:06.588742,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:07.771861,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:08.945602,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:10.188000,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:11.370375,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:12.544741,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:13.746523,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:14.940670,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:16.141587,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:17.307336,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:18.460632,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
09-01-2023 11:10:19.639984,"(2.2, 3.05, 2.5335135135135136)","(5.0, 9.6, 5.418181818181818)","(12.0, 28.0, 22.333333333333332)","(31.0, 120.0, 55.0)","(10.0, 24.0, 20.10526315789474)","(31.0, 130.0, 57.14285714285714)","(3.4, 5.4, 4.233333333333333)","(7.5, 20.0, 14.090909090909092)"
