,Stormy Paradise,Hyperdrive,Fast Liar,King Cujo,Little Capers,Lets Win Money,Kingsbrae Bear,Backcreek Bingo
05-01-2023 12:28:55.836661,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:56.953389,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:58.115284,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:28:59.237634,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 103.33333333333333)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:00.396807,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:01.425002,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:02.474542,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:03.532831,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:04.677837,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:05.744890,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:06.846799,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:07.904678,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:08.924102,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:10.013284,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:11.135284,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:12.255724,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:13.378341,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:14.449500,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:15.482710,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:16.582719,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:17.676790,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:18.796862,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.55531914893617)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:29:19.927455,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:21.040872,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:22.159546,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:23.253691,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:24.287386,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:25.339419,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:26.401541,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:27.557041,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:28.653235,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:29.785879,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:30.867146,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(71.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:31.955417,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:32.991330,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.546511627906977)"
05-01-2023 12:29:34.071085,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:35.122238,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:36.242661,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:37.368607,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:38.450847,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:39.627709,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 97.5)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:40.704765,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:41.763727,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:42.808047,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:43.878191,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 8.208333333333334)"
05-01-2023 12:29:44.972993,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:46.057215,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:47.191982,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 124.66666666666667)","(3.9, 7.8, 7.155978260869565)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:48.244982,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.466666666666667)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 113.5)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:49.300644,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.1375)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:50.391381,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:51.441894,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:52.524468,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:53.578025,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:54.703991,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:55.801809,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:56.854772,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:57.863215,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.606122448979592)","(4.8, 10.5, 5.15625)"
05-01-2023 12:29:58.956386,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:00.023475,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:01.126136,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:02.210045,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:03.296451,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 6.730555555555556)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:04.353133,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 5.157142857142857)","(4.8, 10.5, 5.15625)"
05-01-2023 12:30:05.428301,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 3.6568181818181817)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 5.157142857142857)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:30:06.577919,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.448529411764706)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 5.157142857142857)","(4.8, 10.5, 8.307692307692307)"
05-01-2023 12:30:07.631988,"(3.3, 5.3, 3.3909090909090907)","(3.4, 5.9, 4.448529411764706)","(5.5, 9.0, 8.428571428571429)","(51.0, 230.0, 199.33333333333334)","(31.0, 200.0, 93.125)","(81.0, 140.0, 102.5)","(3.9, 7.8, 5.157142857142857)","(4.8, 10.5, 8.307692307692307)"
