,Homebush Tails,Wills Prodigy,Alpaca Lunch,Opawa Lilly,Homebush Tessa,Impressive Charm,Nick Baxter,Famous Grouse
20,"[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 47, 998542), 1.6, 1.72]"
21,"[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 49, 137896), 1.6, 1.72]"
22,"[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 50, 265862), 1.6, 1.72]"
23,"[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 51, 469714), 1.6, 1.72]"
24,"[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 606475), 1.6, 1.72]"
25,"[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 732283), 1.6, 1.72]"
26,"[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 864968), 1.6, 1.72]"
27,"[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 992499), 1.6, 1.72]"
28,"[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 125345), 1.6, 1.72]"
29,"[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 58, 263063), 1.6, 1.72]"
30,"[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 398484), 1.6, 1.72]"
31,"[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 534970), 1.6, 1.72]"
32,"[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 4.8, 9.8]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 21.0, 240.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 9.0, 20.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 26.0, 290.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 674602), 1.6, 1.72]"
