,Unusual Culture,Defining,Intisar,Field Of Praise,Colorado Cruz,Girl,Little Miss Kubi
11-01-2023 17:44:19.136890,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.731147540983606)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:20.243177,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:21.423046,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:22.533591,"(7.5, 8.4, 8.341333333333333)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:23.581774,"(7.5, 8.6, 8.447619047619048)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:24.603623,"(7.5, 8.6, 8.507246376811594)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:25.610712,"(7.5, 8.6, 8.507246376811594)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:26.638415,"(7.5, 8.6, 8.507246376811594)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:27.635355,"(7.5, 8.6, 8.575510204081633)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.1)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:28.705615,"(7.5, 8.6, 8.575510204081633)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:29.730899,"(7.5, 8.6, 8.575510204081633)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.0, 8.965217391304348)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:30.715537,"(7.5, 8.6, 8.575510204081633)","(3.9, 5.2, 5.114285714285714)","(8.0, 9.2, 8.971428571428572)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:31.726352,"(7.5, 8.6, 8.575510204081633)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 8.971428571428572)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:32.746249,"(7.5, 8.6, 8.575510204081633)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 8.971428571428572)","(7.0, 8.2, 8.083333333333332)","(5.5, 7.4, 7.2)","(7.5, 8.8, 8.740845070422536)","(4.2, 5.4, 5.392380952380953)"
11-01-2023 17:44:33.828409,"(7.5, 8.6, 8.575510204081633)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.143859649122806)","(7.0, 8.2, 7.941935483870967)","(5.5, 7.4, 7.026388888888889)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.4, 5.265584415584415)"
11-01-2023 17:44:34.819053,"(7.5, 8.6, 8.575510204081633)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.302857142857142)","(7.0, 8.0, 7.941935483870967)","(5.5, 7.2, 7.025333333333333)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:35.889936,"(7.5, 8.8, 8.691525423728814)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.321212121212122)","(7.0, 8.0, 7.920634920634921)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:36.942633,"(7.5, 8.8, 8.691525423728814)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.321212121212122)","(7.0, 8.0, 7.920634920634921)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:37.931442,"(7.5, 8.8, 8.707142857142857)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.321212121212122)","(7.0, 8.0, 7.920634920634921)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:39.020236,"(7.5, 8.8, 8.707142857142857)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.321212121212122)","(7.0, 8.0, 7.920634920634921)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:40.035446,"(7.5, 8.8, 8.705454545454547)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.4, 9.321212121212122)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.760377358490567)","(4.2, 5.3, 5.2846153846153845)"
11-01-2023 17:44:41.030422,"(7.5, 8.8, 8.705454545454547)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.8, 8.445454545454545)","(4.2, 5.3, 5.347368421052631)"
11-01-2023 17:44:42.035705,"(7.5, 8.8, 8.705454545454547)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.471428571428572)","(4.2, 5.4, 5.433333333333334)"
11-01-2023 17:44:43.164350,"(7.5, 8.8, 8.705454545454547)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.433333333333334)"
11-01-2023 17:44:44.225460,"(7.5, 8.8, 8.705454545454547)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.433333333333334)"
11-01-2023 17:44:45.243586,"(7.5, 8.6, 8.52)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.433333333333334)"
11-01-2023 17:44:46.300898,"(7.5, 8.6, 8.52)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.433333333333334)"
11-01-2023 17:44:47.334240,"(7.5, 8.6, 8.52)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.4125)"
11-01-2023 17:44:48.394851,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 6.965022421524663)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:44:49.438786,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:50.480672,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:51.580817,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:52.532068,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:53.544033,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.929577464788732)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:54.597567,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.95575221238938)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.385714285714285)"
11-01-2023 17:44:55.638836,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.2, 9.06)","(7.0, 8.0, 7.95575221238938)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:44:56.603178,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.0, 8.942857142857143)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:44:57.560293,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.0, 8.942857142857143)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:44:58.668909,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.0, 8.942857142857143)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:44:59.615088,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.0, 8.942857142857143)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.394736842105263)"
11-01-2023 17:45:00.726131,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 9.0, 8.771428571428572)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.4125)"
11-01-2023 17:45:01.919949,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 8.8, 8.771428571428572)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.470588235294118)"
11-01-2023 17:45:02.980765,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.114285714285714)","(8.0, 8.8, 8.771428571428572)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.2, 7.047674418604651)","(7.5, 8.6, 8.5)","(4.2, 5.6, 5.5)"
11-01-2023 17:45:03.927770,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.2, 5.166666666666667)","(8.0, 9.0, 8.91578947368421)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.6, 8.5)","(4.2, 5.5, 5.470588235294118)"
11-01-2023 17:45:05.016307,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.793548387096775)","(7.0, 8.0, 7.966037735849056)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.6, 8.5)","(4.2, 5.6, 5.470588235294118)"
11-01-2023 17:45:06.083179,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.766666666666667)","(7.0, 8.0, 7.983333333333333)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.6, 8.5)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:07.091374,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.157142857142857)","(8.0, 8.8, 8.766666666666667)","(7.0, 8.0, 8.064)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.6, 8.63529411764706)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:08.062384,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.157142857142857)","(8.0, 8.8, 8.766666666666667)","(7.0, 8.4, 8.176)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.63529411764706)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:09.119480,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.157142857142857)","(8.0, 8.8, 8.766666666666667)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.5, 5.416666666666667)"
11-01-2023 17:45:10.109400,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.157142857142857)","(8.0, 8.8, 8.766666666666667)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:11.096522,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:12.083913,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:13.175397,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.6, 5.416666666666667)"
11-01-2023 17:45:14.378579,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.59047619047619)","(4.2, 5.5, 5.416666666666667)"
11-01-2023 17:45:15.400549,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.157142857142857)","(5.5, 7.0, 6.97196261682243)","(7.5, 8.8, 8.46896551724138)","(4.2, 5.5, 5.416666666666667)"
11-01-2023 17:45:16.380132,"(7.5, 8.8, 8.538461538461538)","(3.8, 5.3, 5.147058823529411)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.151724137931035)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.6, 5.4125000000000005)"
11-01-2023 17:45:17.476211,"(7.5, 8.8, 8.533333333333333)","(3.8, 5.3, 5.1421052631578945)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97037037037037)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.6, 5.42)"
11-01-2023 17:45:18.477258,"(7.5, 8.8, 8.74375)","(3.8, 5.2, 5.18)","(8.0, 8.8, 8.771428571428572)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.5, 5.355555555555556)"
11-01-2023 17:45:19.578496,"(7.5, 8.8, 8.746031746031747)","(3.8, 5.3, 5.134782608695652)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.4, 5.355555555555556)"
11-01-2023 17:45:20.640372,"(7.5, 8.8, 8.746031746031747)","(3.8, 5.3, 5.134782608695652)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.4, 5.411111111111111)"
11-01-2023 17:45:21.635480,"(7.5, 8.8, 8.746031746031747)","(3.8, 5.3, 5.134782608695652)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.700970873786407)","(4.2, 5.5, 5.411111111111111)"
11-01-2023 17:45:22.606360,"(7.5, 8.8, 8.746031746031747)","(3.8, 5.3, 5.134782608695652)","(8.0, 8.8, 8.776470588235295)","(7.0, 8.4, 8.141935483870968)","(5.5, 7.0, 6.97196261682243)","(7.5, 9.0, 8.785714285714286)","(4.2, 5.5, 5.355555555555556)"
11-01-2023 17:45:23.664409,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.338461538461538)"
11-01-2023 17:45:24.767685,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.355555555555556)"
11-01-2023 17:45:25.907753,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.355555555555556)"
11-01-2023 17:45:26.893105,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.355555555555556)"
11-01-2023 17:45:27.900995,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.355555555555556)"
11-01-2023 17:45:28.964929,"(7.5, 8.8, 8.73939393939394)","(3.8, 5.2, 5.14)","(8.0, 8.8, 8.762162162162163)","(7.0, 8.2, 8.169230769230769)","(5.5, 7.2, 7.176923076923077)","(7.5, 8.8, 8.785714285714286)","(4.2, 5.4, 5.292523364485981)"
11-01-2023 17:45:30.084053,"(7.5, 8.8, 8.735849056603774)","(3.8, 5.1, 5.0777777777777775)","(8.0, 8.8, 8.773333333333333)","(7.0, 8.8, 8.733333333333334)","(5.5, 7.2, 7.144)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.3, 5.373684210526316)"
11-01-2023 17:45:31.162819,"(7.5, 8.8, 8.742372881355932)","(3.8, 5.2, 5.143589743589744)","(8.0, 8.8, 8.75294117647059)","(7.0, 8.4, 8.375)","(5.5, 7.4, 7.144)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.4, 5.373684210526316)"
11-01-2023 17:45:32.161291,"(7.5, 8.8, 8.742372881355932)","(3.8, 5.3, 5.119999999999999)","(8.0, 8.6, 8.583050847457628)","(7.0, 8.6, 8.511111111111111)","(5.5, 7.4, 7.163636363636364)","(7.5, 9.0, 8.687999999999999)","(4.2, 5.3, 5.3861386138613865)"
11-01-2023 17:45:33.200989,"(7.5, 8.8, 8.742372881355932)","(3.8, 5.3, 5.119999999999999)","(8.0, 8.6, 8.486956521739131)","(7.0, 8.6, 8.327272727272726)","(5.5, 7.4, 7.175609756097561)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.4, 5.381818181818182)"
11-01-2023 17:45:34.214322,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 5.033333333333333)","(8.0, 8.4, 8.386486486486486)","(7.0, 8.8, 8.39090909090909)","(5.5, 7.4, 7.175609756097561)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.4, 5.4125)"
11-01-2023 17:45:35.175395,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 5.022222222222222)","(8.0, 8.4, 8.388235294117647)","(7.0, 8.8, 8.39090909090909)","(5.5, 7.4, 7.175609756097561)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:36.211287,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 5.022222222222222)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.688888888888888)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:37.331024,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 5.04)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.868376068376069)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:38.383219,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 4.984)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.868376068376069)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:39.401572,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 4.984)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.868376068376069)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:40.450460,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 4.984)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.868376068376069)","(4.2, 5.5, 5.39)"
11-01-2023 17:45:41.577884,"(7.5, 8.8, 8.763829787234043)","(3.8, 5.2, 4.984)","(8.0, 8.4, 8.394520547945206)","(7.0, 8.8, 8.5)","(5.5, 7.4, 7.218181818181819)","(7.5, 9.0, 8.868376068376069)","(4.2, 5.5, 5.39)"
