,Pat Me Down,Henning,Nasty Exaggerator,Oso Negro,Optimistic,Big Boss Man,Gs Storm,Caribe Nights,Miss Jennys Halo,Heathers Request
15-12-2022 12:32:35.960470,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 30.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:37.369433,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:38.962821,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:40.526725,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:42.058536,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.575)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:43.839444,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.1, 4.76)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:45.457149,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:47.108579,"(21.0, 65.0, 35.0)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 78.5)"
15-12-2022 12:32:48.818439,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:50.426138,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 9.057142857142857)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:51.921879,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.5)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:53.366863,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.5)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:54.866358,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.5)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:56.279027,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.763636363636364)","(4.4, 6.2, 5.783333333333333)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:57.701917,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.763636363636364)","(4.4, 6.0, 5.85)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:32:59.144347,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.763636363636364)","(4.4, 6.0, 5.85)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:33:00.598423,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.25)","(5.0, 6.0, 5.85)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.763636363636364)","(4.4, 6.0, 5.85)","(16.0, 46.0, 33.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 87.28571428571429)"
15-12-2022 12:33:02.047447,"(21.0, 65.0, 47.0)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.7)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.763636363636364)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.666666666666664)","(31.0, 390.0, 208.0)","(18.0, 140.0, 47.75)"
15-12-2022 12:33:03.456681,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.666666666666664)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:04.887028,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:06.334413,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.75)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:07.889370,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.75)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:09.381035,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.555555555555555)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:10.891445,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.2)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:12.538222,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.2)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:14.168151,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.2)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:15.948284,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.2)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.399999999999999)","(4.4, 6.0, 5.85)","(16.0, 46.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 58.0)"
15-12-2022 12:33:17.709276,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.2)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.75)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.356521739130434)","(4.4, 6.0, 5.85)","(16.0, 46.0, 35.2)","(31.0, 390.0, 148.0)","(18.0, 140.0, 47.75)"
15-12-2022 12:33:19.165617,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.356521739130434)","(4.4, 6.0, 5.828571428571428)","(16.0, 46.0, 35.2)","(31.0, 390.0, 148.0)","(18.0, 140.0, 47.75)"
15-12-2022 12:33:20.608848,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.82)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.356521739130434)","(4.6, 6.0, 5.828571428571428)","(16.0, 46.0, 35.2)","(31.0, 390.0, 148.0)","(18.0, 140.0, 47.75)"
15-12-2022 12:33:22.102237,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 13.0)","(5.0, 6.0, 5.78888888888889)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.7)","(4.6, 6.0, 5.828571428571428)","(16.0, 46.0, 34.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 47.75)"
15-12-2022 12:33:23.645539,"(21.0, 65.0, 43.0)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 13.0)","(5.0, 5.9, 5.78888888888889)","(3.8, 5.0, 4.76)","(6.5, 9.2, 8.7)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.75)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:25.066035,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 13.0)","(5.0, 5.9, 5.78888888888889)","(3.8, 5.0, 4.9655172413793105)","(6.5, 9.2, 8.7)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 38.0)","(31.0, 390.0, 269.33333333333337)","(18.0, 140.0, 111.26923076923077)"
15-12-2022 12:33:26.447872,"(21.0, 65.0, 54.0)","(5.0, 9.0, 8.428571428571429)","(12.0, 14.5, 12.625)","(5.0, 5.9, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.2, 8.418181818181818)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.75)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:27.896574,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.36)","(12.0, 14.5, 12.625)","(5.0, 6.4, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.418181818181818)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.75)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:29.351645,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.4, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.418181818181818)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 35.66666666666667)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:30.820606,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.4, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.418181818181818)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 35.66666666666667)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:32.400073,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.4, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.418181818181818)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.5)","(31.0, 390.0, 148.0)","(18.0, 140.0, 46.25)"
15-12-2022 12:33:33.796565,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.4, 6.275)","(3.8, 5.0, 4.76)","(6.5, 9.4, 8.866666666666665)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.5)","(31.0, 390.0, 148.0)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:35.342004,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.2, 6.022222222222222)","(3.8, 5.0, 4.76)","(6.5, 9.2, 8.866666666666665)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.5)","(31.0, 390.0, 148.0)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:36.932195,"(21.0, 65.0, 42.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.2, 6.022222222222222)","(3.8, 5.0, 4.76)","(6.5, 9.2, 8.866666666666665)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 31.5)","(31.0, 390.0, 148.0)","(18.0, 140.0, 112.33333333333334)"
15-12-2022 12:33:38.572372,"(21.0, 65.0, 35.666666666666664)","(5.0, 9.0, 8.822222222222223)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.8)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 269.33333333333337)","(18.0, 140.0, 112.33333333333334)"
15-12-2022 12:33:40.403891,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:42.198866,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:43.784876,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 148.0)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:45.380462,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 207.5)","(18.0, 140.0, 56.666666666666664)"
15-12-2022 12:33:46.848542,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 286.0)","(18.0, 140.0, 112.33333333333334)"
15-12-2022 12:33:48.266670,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:49.596172,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:50.951444,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:52.336152,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:53.701247,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:54.952912,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:56.215776,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:57.512189,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:33:58.903837,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:34:00.187969,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:34:01.499775,"(21.0, 65.0, 36.333333333333336)","(5.0, 9.0, 8.1)","(12.0, 14.5, 12.625)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.866666666666667)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 208.5)","(18.0, 140.0, 47.0)"
15-12-2022 12:34:02.976130,"(21.0, 65.0, 43.5)","(5.0, 9.0, 8.1)","(12.0, 14.5, 13.25)","(5.0, 6.0, 5.866666666666667)","(3.8, 5.0, 4.76)","(6.5, 9.0, 8.822222222222223)","(4.6, 6.0, 5.828571428571428)","(16.0, 44.0, 28.0)","(31.0, 390.0, 207.5)","(18.0, 140.0, 57.666666666666664)"
