,Chilly Bin,Limerance,Mt View Ivy,Clever Trevor,Mt View Ginger,Aston Delight,Balmoral,Audacious Flame
20,"[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 1, 350393), 10.0, 24.0]"
21,"[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 2, 512677), 10.0, 24.0]"
22,"[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 3, 648861), 10.0, 24.0]"
23,"[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 4, 793489), 10.0, 24.0]"
24,"[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 5, 934321), 10.0, 24.0]"
25,"[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 7, 61717), 10.0, 24.0]"
26,"[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 8, 200709), 10.0, 24.0]"
27,"[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 9, 330700), 10.0, 24.0]"
28,"[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 10, 482743), 10.0, 24.0]"
29,"[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 11, 618558), 10.0, 24.0]"
