,Applejack Fly,Whiskey Deluxe,Baronga Breeze,Miss Captivator,Miss Sassy,Rolling Start,Daniher Hayze
11-01-2023 16:18:27.029143,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 26.545454545454547)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:28.103375,"(2.8, 4.6, 3.3899999999999997)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 26.545454545454547)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:29.280703,"(2.8, 4.6, 3.0688)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.705882352941178)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 26.545454545454547)","(7.5, 14.5, 11.82)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:30.481472,"(2.8, 4.6, 3.0688)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 26.545454545454547)","(7.5, 14.5, 11.66)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:31.513856,"(2.8, 4.6, 3.0688)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 26.545454545454547)","(7.5, 14.5, 11.66)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:32.641462,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:33.760933,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:34.878530,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.775)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:36.000995,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.585714285714285)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:37.197487,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.585714285714285)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:38.288643,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.585714285714285)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:39.345169,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.5, 12.585714285714285)","(3.3, 6.4, 4.591935483870968)"
11-01-2023 16:18:40.418851,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.54)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.4, 5.807142857142857)"
11-01-2023 16:18:41.593868,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:42.736180,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 220.0, 97.85714285714286)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:43.836153,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:44.955281,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:46.125209,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:47.210084,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:48.333549,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:49.496851,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:50.517965,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:51.675087,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:52.770264,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 28.666666666666664)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:53.876392,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:55.068629,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:56.312905,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.5)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:57.411559,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 160.0, 138.33333333333334)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.4)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:58.462199,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 210.0, 180.0)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:18:59.657696,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 210.0, 180.0)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:00.789512,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 210.0, 180.0)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:01.858138,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 9.327272727272728)","(31.0, 210.0, 180.0)","(21.0, 48.0, 32.266666666666666)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:03.010281,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.715789473684211)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:04.141477,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:05.211014,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:06.222857,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:07.287196,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:08.414460,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 31.61111111111111)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:09.478337,"(2.8, 4.5, 2.9516129032258065)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 11.547368421052632)","(31.0, 210.0, 180.0)","(21.0, 48.0, 33.25)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:10.610210,"(2.8, 4.4, 3.0875)","(3.4, 5.8, 3.561904761904762)","(7.0, 15.0, 10.0)","(31.0, 210.0, 180.0)","(21.0, 48.0, 33.25)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:11.775922,"(2.8, 4.4, 3.0875)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.5, 9.8)","(31.0, 210.0, 180.0)","(21.0, 48.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:12.864569,"(2.8, 4.4, 3.0875)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:13.875217,"(2.8, 4.6, 3.00625)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:15.046778,"(2.8, 4.6, 3.00625)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:16.194198,"(2.8, 4.6, 3.00625)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:17.309458,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:18.504485,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 125.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:19.552106,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 220.0, 188.33333333333334)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:20.588777,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:21.666460,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:22.834985,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:23.946091,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:24.983335,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:26.082955,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:27.220922,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:28.354435,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:29.466633,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 125.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:30.653768,"(2.8, 4.6, 2.9739130434782606)","(3.4, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 220.0, 180.0)","(21.0, 55.0, 36.75)","(7.5, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:31.760895,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 210.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:32.739310,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:33.762337,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:34.896873,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:35.868117,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:37.001137,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:38.175717,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:39.267660,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:40.341542,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:41.462062,"(2.8, 4.6, 2.9739130434782606)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:42.534472,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:43.577547,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:44.682986,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:45.803245,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:47.049034,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:48.162791,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:49.118603,"(2.8, 4.5, 2.9516129032258065)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:50.161669,"(2.8, 4.4, 3.0875)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 34.72222222222222)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:51.182789,"(2.8, 4.4, 3.0875)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:52.281677,"(2.8, 4.4, 3.0875)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:53.312834,"(2.8, 4.4, 3.0875)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:54.381699,"(2.8, 4.4, 3.0875)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
11-01-2023 16:19:55.340522,"(2.8, 4.6, 3.00625)","(3.3, 5.8, 3.561904761904762)","(7.0, 14.0, 9.8)","(31.0, 190.0, 163.33333333333334)","(21.0, 55.0, 36.75)","(8.0, 14.0, 12.966666666666667)","(3.3, 6.2, 5.807142857142857)"
