,Windsors Star,Des Castle,Dont Get Caughtup,Im The Money Man,Tobi Wan Kenobi,Kaylees Spitfire,Ziggy Stardust,Denizetti,Grumpys Buddy,Little Roo Roo
15-12-2022 11:17:11.418438,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 138.92857142857144)"
15-12-2022 11:17:12.699364,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:13.948736,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:15.183103,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:16.383707,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:17.566020,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:18.770017,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:20.039601,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:21.267893,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:22.557225,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:23.813980,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:25.075523,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:26.271640,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:27.651586,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:29.004255,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 25.5)","(41.0, 99999, 5014.0)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 209.5)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 23.166666666666664)","(12.0, 26.0, 22.0)","(17.0, 160.0, 123.25)"
15-12-2022 11:17:30.401058,"(16.0, 150.0, 136.14999999999998)","(12.0, 38.0, 24.666666666666664)","(41.0, 99999, 206.75)","(1.8, 2.18, 2.1416666666666666)","(31.0, 400.0, 154.25)","(41.0, 99999, 7505.25)","(3.6, 5.2, 4.8)","(12.0, 28.0, 31.166666666666668)","(12.0, 26.0, 22.0)","(17.0, 160.0, 63.2)"
15-12-2022 11:17:31.772262,"(16.0, 170.0, 50.375)","(12.0, 48.0, 24.666666666666664)","(41.0, 740.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 99999, 412.0)","(3.6, 5.2, 4.8)","(12.0, 40.0, 31.166666666666668)","(12.0, 26.0, 22.0)","(17.0, 140.0, 215.2)"
15-12-2022 11:17:33.020191,"(16.0, 170.0, 101.64285714285714)","(12.0, 130.0, 42.25)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 412.0)","(3.6, 5.2, 4.8)","(12.0, 40.0, 31.166666666666668)","(12.0, 26.0, 22.0)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:34.288361,"(16.0, 170.0, 101.64285714285714)","(12.0, 130.0, 42.25)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 412.0)","(3.6, 5.2, 4.8)","(12.0, 40.0, 31.166666666666668)","(12.0, 26.0, 22.0)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:35.542453,"(16.0, 170.0, 101.64285714285714)","(12.0, 130.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 65.0, 25.950000000000003)","(12.0, 40.0, 25.27777777777778)","(12.0, 38.0, 34.5)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:36.800672,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 90.0, 25.950000000000003)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:38.027608,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 90.0, 25.950000000000003)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:39.312501,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 90.0, 25.950000000000003)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:40.753531,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 90.0, 110.94999999999999)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:42.148561,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:43.471264,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 31.166666666666668)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:44.674717,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 28.6)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:45.868189,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 28.6)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:47.111676,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 28.6)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:48.447111,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 28.6)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:49.852188,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:51.267985,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:52.550165,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:53.876335,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:55.148410,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:56.549875,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:57.944557,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:17:59.216365,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:18:00.449971,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:18:01.887370,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.8, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(12.0, 40.0, 22.1875)","(12.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:18:03.238458,"(16.0, 670.0, 387.35714285714283)","(12.0, 420.0, 114.75)","(41.0, 570.0, 164.25)","(1.75, 2.18, 2.1416666666666666)","(31.0, 560.0, 154.25)","(41.0, 800.0, 334.4)","(3.6, 430.0, 110.94999999999999)","(13.0, 40.0, 22.1875)","(13.0, 38.0, 28.833333333333332)","(17.0, 520.0, 215.2)"
15-12-2022 11:18:04.688685,"(16.0, 370.0, 280.125)","(12.0, 30.0, 18.666666666666668)","(41.0, 610.0, 319.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 299.3)","(41.0, 620.0, 421.3333333333333)","(3.6, 29.0, 12.733333333333333)","(13.0, 29.0, 22.0)","(13.0, 38.0, 28.833333333333332)","(17.0, 280.0, 190.66666666666666)"
15-12-2022 11:18:06.311055,"(16.0, 150.0, 130.07142857142856)","(12.0, 30.0, 18.666666666666668)","(41.0, 760.0, 394.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 99999, 5012.5)","(3.6, 5.4, 4.647058823529411)","(13.0, 29.0, 22.0)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:07.881388,"(16.0, 150.0, 130.07142857142856)","(12.0, 30.0, 18.666666666666668)","(41.0, 760.0, 394.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 99999, 5012.5)","(3.6, 5.4, 4.647058823529411)","(13.0, 29.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:09.482432,"(16.0, 150.0, 130.07142857142856)","(12.0, 30.0, 18.666666666666668)","(41.0, 760.0, 394.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 99999, 5012.5)","(3.6, 5.4, 4.647058823529411)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:11.122591,"(16.0, 150.0, 130.07142857142856)","(12.0, 30.0, 18.666666666666668)","(41.0, 760.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 99999, 433.0)","(3.6, 5.4, 4.647058823529411)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:12.586060,"(16.0, 150.0, 130.07142857142856)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 433.0)","(3.6, 5.4, 4.647058823529411)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:14.175528,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 433.0)","(3.6, 5.4, 4.647058823529411)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:15.514923,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 433.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:16.740009,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 433.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:18.222979,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 433.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 18.0, 13.45)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:19.580737,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 730.0, 379.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 840.0, 438.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 18.0, 23.875)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:20.912761,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 740.0, 384.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 850.0, 438.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 28.0, 23.875)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
15-12-2022 11:18:22.230707,"(16.0, 150.0, 103.66666666666667)","(12.0, 30.0, 18.666666666666668)","(41.0, 740.0, 384.5)","(1.75, 2.18, 2.1416666666666666)","(31.0, 370.0, 325.8125)","(41.0, 850.0, 438.0)","(3.6, 5.4, 4.6421052631578945)","(13.0, 28.0, 23.875)","(13.0, 26.0, 18.25)","(17.0, 150.0, 104.0)"
